a,sigma,beta,k,u_hat,delta_correct
0,0.01,0,0.2,0.05,0
4.736842105263158e-5,0.01,0.004736842105263158,0.2,0.05,-9.238443359409036e-7
9.473684210526316e-5,0.01,0.009473684210526316,0.2,0.05,-1.8007827340386256e-6
1.4210526315789474e-4,0.01,0.014210526315789474,0.2,0.05,-2.6310293056147204e-6
1.8947368421052632e-4,0.01,0.018947368421052633,0.2,0.05,-3.4147991525322672e-6
2.368421052631579e-4,0.01,0.02368421052631579,0.2,0.05,-4.1523083345115655e-6
2.8421052631578947e-4,0.01,0.028421052631578948,0.2,0.05,-4.8437738368997045e-6
3.315789473684211e-4,0.01,0.03315789473684211,0.2,0.05,-5.48941353890821e-6
3.7894736842105265e-4,0.01,0.037894736842105266,0.2,0.05,-6.089446182287977e-6
4.263157894736842e-4,0.01,0.04263157894736842,0.2,0.05,-6.644091340464312e-6
4.736842105263158e-4,0.01,0.04736842105263158,0.2,0.05,-7.153569388098767e-6
5.210526315789474e-4,0.01,0.05210526315789474,0.2,0.05,-7.618101471100003e-6
5.684210526315789e-4,0.01,0.056842105263157895,0.2,0.05,-8.037909477056075e-6
6.157894736842105e-4,0.01,0.06157894736842105,0.2,0.05,-8.413216006097641e-6
6.631578947368422e-4,0.01,0.06631578947368422,0.2,0.05,-8.744244342177442e-6
7.105263157894737e-4,0.01,0.07105263157894737,0.2,0.05,-9.031218424770948e-6
7.578947368421053e-4,0.01,0.07578947368421053,0.2,0.05,-9.274362820986125e-6
8.052631578947369e-4,0.01,0.08052631578947368,0.2,0.05,-9.473902698079449e-6
8.526315789473684e-4,0.01,0.08526315789473685,0.2,0.05,-9.630063796369284e-6
9e-4,0.01,0.09,0.2,0.05,-9.743072402560934e-6
0.001,0.01,0.1,0.2,0.05,-9.840956773137389e-6
0.001205263,0.01,0.1205263,0.2,0.05,-9.451581151658645e-6
0.001410526,0.01,0.1410526,0.2,0.05,-8.283815591344449e-6
0.001615789,0.01,0.1615789,0.2,0.05,-6.3564036149033314e-6
0.001821053,0.01,0.1821053,0.2,0.05,-3.6881583958111794e-6
0.002026316,0.01,0.20263159999999997,0.2,0.05,-2.9798610579273924e-7
0.002231579,0.01,0.2231579,0.2,0.05,3.795222365758199e-6
0.002436842,0.01,0.2436842,0.2,0.05,8.57257104704915e-6
0.002642105,0.01,0.2642105,0.2,0.05,1.4015196307475084e-5
0.002847368,0.01,0.28473679999999996,0.2,0.05,2.0104291253118366e-5
0.003052632,0.01,0.3052632,0.2,0.05,2.6821162619167487e-5
0.003257895,0.01,0.32578949999999995,0.2,0.05,3.414711783909048e-5
0.003463158,0.01,0.3463158,0.2,0.05,4.206368100279339e-5
0.003668421,0.01,0.36684209999999995,0.2,0.05,5.0552482929685106e-5
0.003873684,0.01,0.3873684,0.2,0.05,5.9595308998489516e-5
0.004078947,0.01,0.4078947,0.2,0.05,6.917411444894248e-5
0.004284211,0.01,0.42842109999999994,0.2,0.05,7.927108885831622e-5
0.004489474,0.01,0.4489474,0.2,0.05,8.9868469714296e-5
0.004694737,0.01,0.4694737,0.2,0.05,1.0094884943903648e-4
0.005,0.01,0.5,0.2,0.05,1.1828365087744337e-4
0.005,0.01,0.5,0.2,0.05,1.1828365087744337e-4
