a,sigma,beta,k,u_hat,delta,p_increase
0.013787879,0.01,1.3787878999999998,0.2,0.05,8.285611415222794e-4,1
0.013939394,0.01,1.3939394,0.2,0.05,8.307648917612823e-4,1
0.013939394,0.01,1.3939394,0.2,0.05,8.307648917612823e-4,1
0.014090909,0.01,1.4090909,0.2,0.05,8.332817441497926e-4,1
0.014090909,0.01,1.4090909,0.2,0.05,8.332817441497926e-4,1
0.014242424,0.01,1.4242424,0.2,0.05,8.360990850889086e-4,1
0.014242424,0.01,1.4242424,0.2,0.05,8.360990850889086e-4,1
0.014393939,0.01,1.4393939,0.2,0.05,8.392046913173828e-4,1
0.014393939,0.01,1.4393939,0.2,0.05,8.392046913173828e-4,1
0.014545455,0.01,1.4545455,0.2,0.05,8.425867415619832e-4,1
0.014545455,0.01,1.4545455,0.2,0.05,8.425867415619832e-4,1
0.01469697,0.01,1.469697,0.2,0.05,8.462337142092183e-4,1
0.01469697,0.01,1.469697,0.2,0.05,8.462337142092183e-4,1
0.014848485,0.01,1.4848485,0.2,0.05,8.501345104795128e-4,1
0.014848485,0.01,1.4848485,0.2,0.05,8.501345104795128e-4,1
0.015,0.01,1.5,0.2,0.05,8.542783563367542e-4,1
0.015,0.01,1.5,0.2,0.05,8.542783563367542e-4,1
0.015151515,0.01,1.5151515,0.2,0.05,8.586548136892558e-4,1
0.015151515,0.01,1.5151515,0.2,0.05,8.586548136892558e-4,1
0.01530303,0.01,1.530303,0.2,0.05,8.632537704767662e-4,1
0.01530303,0.01,1.530303,0.2,0.05,8.632537704767662e-4,1
0.015454545,0.01,1.5454545,0.2,0.05,8.680654310557996e-4,1
0.015454545,0.01,1.5454545,0.2,0.05,8.680654310557996e-4,1
0.015606061,0.01,1.5606061,0.2,0.05,8.730803406223355e-4,1
0.015606061,0.01,1.5606061,0.2,0.05,8.730803406223355e-4,1
0.015757576,0.01,1.5757575999999998,0.2,0.05,8.78289242422954e-4,1
0.015757576,0.01,1.5757575999999998,0.2,0.05,8.78289242422954e-4,1
0.015909091,0.01,1.5909091,0.2,0.05,8.836832676601481e-4,1
0.015909091,0.01,1.5909091,0.2,0.05,8.836832676601481e-4,1
0.016060606,0.01,1.6060606000000002,0.2,0.05,8.892537958561644e-4,1
0.016060606,0.01,1.6060606000000002,0.2,0.05,8.892537958561644e-4,1
0.016212121,0.01,1.6212121,0.2,0.05,8.94992479032716e-4,1
0.016212121,0.01,1.6212121,0.2,0.05,8.94992479032716e-4,1
0.016363636,0.01,1.6363636000000001,0.2,0.05,9.008912336991297e-4,1
0.016363636,0.01,1.6363636000000001,0.2,0.05,9.008912336991297e-4,1
0.016515152,0.01,1.6515152000000002,0.2,0.05,9.069422735013667e-4,1
0.016515152,0.01,1.6515152000000002,0.2,0.05,9.069422735013667e-4,1
0.016666667,0.01,1.6666667,0.2,0.05,9.131379409213542e-4,1
0.016666667,0.01,1.6666667,0.2,0.05,9.131379409213542e-4,1
0.016818182,0.01,1.6818182000000002,0.2,0.05,9.194709396537706e-4,1
0.016818182,0.01,1.6818182000000002,0.2,0.05,9.194709396537706e-4,1
0.016969697,0.01,1.6969697,0.2,0.05,9.259341687038844e-4,1
0.016969697,0.01,1.6969697,0.2,0.05,9.259341687038844e-4,1
0.017121212,0.01,1.7121212,0.2,0.05,9.325207549395879e-4,1
0.017121212,0.01,1.7121212,0.2,0.05,9.325207549395879e-4,1
0.017272727,0.01,1.7272727,0.2,0.05,9.392240464045385e-4,1
