a,sigma,k,u_hat,delta,p_increase
0.001,0.01,0.2,0.05,-9.84e-6,0.04
0.001141414,0.01,0.2,0.05,-9.66e-6,0.08
0.001282828,0.01,0.2,0.05,-9.1e-6,0.12
0.001424242,0.01,0.2,0.05,-8.18e-6,0.12
0.001565657,0.01,0.2,0.05,-6.9e-6,0.18
0.001707071,0.01,0.2,0.05,-5.26e-6,0.04
0.001848485,0.01,0.2,0.05,-3.28e-6,0.08
0.001989899,0.01,0.2,0.05,-9.51e-7,0.06
0.002131313,0.01,0.2,0.05,1.71e-6,0.1
0.002272727,0.01,0.2,0.05,4.7e-6,0.12
0.002414141,0.01,0.2,0.05,8.01e-6,0.04
0.002555556,0.01,0.2,0.05,1.16e-5,0.1
0.00269697,0.01,0.2,0.05,1.56e-5,0.18
0.002838384,0.01,0.2,0.05,1.98e-5,0.08
0.002979798,0.01,0.2,0.05,2.44e-5,0.06
0.003121212,0.01,0.2,0.05,2.92e-5,0.14
0.003262626,0.01,0.2,0.05,3.43e-5,0.1
0.00340404,0.01,0.2,0.05,3.97e-5,0.08
0.003545455,0.01,0.2,0.05,4.54e-5,0.18
0.003686869,0.01,0.2,0.05,5.13e-5,0.2
0.003828283,0.01,0.2,0.05,5.75e-5,0.12
0.003969697,0.01,0.2,0.05,6.4e-5,0.08
0.004111111,0.01,0.2,0.05,7.07e-5,0.16
0.004252525,0.01,0.2,0.05,7.77e-5,0.14
0.004393939,0.01,0.2,0.05,8.49e-5,0.2
0.004535354,0.01,0.2,0.05,9.23e-5,0.12
0.004676768,0.01,0.2,0.05,1e-4,0.14
0.004818182,0.01,0.2,0.05,1.07838e-4,0.14
0.004959596,0.01,0.2,0.05,1.15932e-4,0.2
0.00510101,0.01,0.2,0.05,1.24237e-4,0.22
0.005242424,0.01,0.2,0.05,1.32747e-4,0.32
0.005383838,0.01,0.2,0.05,1.41457e-4,0.24
0.005525253,0.01,0.2,0.05,1.50361e-4,0.26
0.005666667,0.01,0.2,0.05,1.59454e-4,0.42
0.005808081,0.01,0.2,0.05,1.68731e-4,0.22
0.005949495,0.01,0.2,0.05,1.78187e-4,0.3
0.006090909,0.01,0.2,0.05,1.87817e-4,0.32
0.006232323,0.01,0.2,0.05,1.97615e-4,0.38
0.006373737,0.01,0.2,0.05,2.07576e-4,0.42
0.006515152,0.01,0.2,0.05,2.17696e-4,0.46
0.006656566,0.01,0.2,0.05,2.2797e-4,0.54
0.00679798,0.01,0.2,0.05,2.38392e-4,0.5
0.006939394,0.01,0.2,0.05,2.48959e-4,0.52
0.007080808,0.01,0.2,0.05,2.59665e-4,0.48
0.007222222,0.01,0.2,0.05,2.70505e-4,0.52
0.007363636,0.01,0.2,0.05,2.81476e-4,0.54
0.007505051,0.01,0.2,0.05,2.92573e-4,0.74
0.007646465,0.01,0.2,0.05,3.03791e-4,0.68
0.007787879,0.01,0.2,0.05,3.15126e-4,0.64
0.007929293,0.01,0.2,0.05,3.26573e-4,0.6
0.008070707,0.01,0.2,0.05,3.38129e-4,0.76
0.008212121,0.01,0.2,0.05,3.49789e-4,0.64
0.008353535,0.01,0.2,0.05,3.61549e-4,0.66
0.008494949,0.01,0.2,0.05,3.73405e-4,0.8
0.008636364,0.01,0.2,0.05,3.85354e-4,0.88
0.008777778,0.01,0.2,0.05,3.9739e-4,0.78
0.008919192,0.01,0.2,0.05,4.09511e-4,0.8
0.009060606,0.01,0.2,0.05,4.21712e-4,0.96
0.00920202,0.01,0.2,0.05,4.3399e-4,0.8
0.009343434,0.01,0.2,0.05,4.46341e-4,0.84
0.009484848,0.01,0.2,0.05,4.58761e-4,0.9
0.009626263,0.01,0.2,0.05,4.71248e-4,0.9
0.009767677,0.01,0.2,0.05,4.83797e-4,0.94
0.009909091,0.01,0.2,0.05,4.96405e-4,0.88
0.010050505,0.01,0.2,0.05,5.09069e-4,0.96
0.010191919,0.01,0.2,0.05,5.21785e-4,0.94
0.010333333,0.01,0.2,0.05,5.3455e-4,0.98
0.010474747,0.01,0.2,0.05,5.47362e-4,0.94
0.010616162,0.01,0.2,0.05,5.60216e-4,0.94
0.010757576,0.01,0.2,0.05,5.73111e-4,0.96
0.01089899,0.01,0.2,0.05,5.86042e-4,1
0.011040404,0.01,0.2,0.05,5.99007e-4,0.98
0.011181818,0.01,0.2,0.05,6.12003e-4,1
0.011323232,0.01,0.2,0.05,6.25027e-4,0.98
0.011464646,0.01,0.2,0.05,6.38077e-4,0.98
0.011606061,0.01,0.2,0.05,6.51149e-4,1
0.011747475,0.01,0.2,0.05,6.64242e-4,0.98
0.011888889,0.01,0.2,0.05,6.77352e-4,1
0.012030303,0.01,0.2,0.05,6.90477e-4,1
0.012171717,0.01,0.2,0.05,7.03614e-4,1
0.012313131,0.01,0.2,0.05,7.16761e-4,1
0.012454545,0.01,0.2,0.05,7.29916e-4,0.98
0.01259596,0.01,0.2,0.05,7.43077e-4,1
0.012737374,0.01,0.2,0.05,7.5624e-4,1
0.012878788,0.01,0.2,0.05,7.69404e-4,1
0.013020202,0.01,0.2,0.05,7.82566e-4,1
0.013161616,0.01,0.2,0.05,7.95725e-4,1
0.01330303,0.01,0.2,0.05,8.08879e-4,1
0.013444444,0.01,0.2,0.05,8.22024e-4,1
0.013585859,0.01,0.2,0.05,8.3516e-4,1
0.013727273,0.01,0.2,0.05,8.48284e-4,1
0.013868687,0.01,0.2,0.05,8.61395e-4,1
0.014010101,0.01,0.2,0.05,8.74491e-4,1
0.014151515,0.01,0.2,0.05,8.87569e-4,1
0.014292929,0.01,0.2,0.05,9.00628e-4,1
0.014434343,0.01,0.2,0.05,9.13666e-4,1
0.014575758,0.01,0.2,0.05,9.26682e-4,1
0.014717172,0.01,0.2,0.05,9.39674e-4,1
0.014858586,0.01,0.2,0.05,9.52641e-4,1
0.015,0.01,0.2,0.05,9.6558e-4,1
0.02,0.01,0.2,0.05,0.001395999,1
0.04,0.01,0.2,0.05,0.002382804,1
0.06,0.01,0.2,0.05,0.002637777,1
0.08,0.01,0.2,0.05,0.002688963,1
0.1,0.01,0.2,0.05,0.002698152,1
0.12,0.01,0.2,0.05,0.002699702,1
0.14,0.01,0.2,0.05,0.002699953,1
0.16,0.01,0.2,0.05,0.002699993,1
0.18,0.01,0.2,0.05,0.002699999,1
0.2,0.01,0.2,0.05,0.0027,1
0.22,0.01,0.2,0.05,0.0027,1
0.24,0.01,0.2,0.05,0.0027,1
0.26,0.01,0.2,0.05,0.0027,1
0.28,0.01,0.2,0.05,0.0027,1
0.3,0.01,0.2,0.05,0.0027,1
0.32,0.01,0.2,0.05,0.0027,1
0.34,0.01,0.2,0.05,0.0027,1
0.36,0.01,0.2,0.05,0.0027,1
0.38,0.01,0.2,0.05,0.0027,1
0.4,0.01,0.2,0.05,0.0027,1
0.42,0.01,0.2,0.05,0.0027,1
0.44,0.01,0.2,0.05,0.0027,1
0.46,0.01,0.2,0.05,0.0027,1
0.48,0.01,0.2,0.05,0.0027,1
0.5,0.01,0.2,0.05,0.0027,1
0.52,0.01,0.2,0.05,0.0027,1
0.54,0.01,0.2,0.05,0.0027,1
0.56,0.01,0.2,0.05,0.0027,1
0.58,0.01,0.2,0.05,0.0027,1
0.6,0.01,0.2,0.05,0.0027,1
0.62,0.01,0.2,0.05,0.0027,1
0.64,0.01,0.2,0.05,0.0027,1
0.66,0.01,0.2,0.05,0.0027,1
0.68,0.01,0.2,0.05,0.0027,1
0.7,0.01,0.2,0.05,0.0027,1
0.72,0.01,0.2,0.05,0.0027,1
0.74,0.01,0.2,0.05,0.0027,1
0.76,0.01,0.2,0.05,0.0027,1
0.78,0.01,0.2,0.05,0.0027,1
0.8,0.01,0.2,0.05,0.0027,1
0.82,0.01,0.2,0.05,0.0027,1
0.84,0.01,0.2,0.05,0.0027,1
0.86,0.01,0.2,0.05,0.0027,1
0.88,0.01,0.2,0.05,0.0027,1
0.9,0.01,0.2,0.05,0.0027,1
0.92,0.01,0.2,0.05,0.0027,1
0.94,0.01,0.2,0.05,0.0027,1
0.96,0.01,0.2,0.05,0.0027,1
0.98,0.01,0.2,0.05,0.0027,1
1,0.01,0.2,0.05,0.0027,0
