a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.001,0.01,0.1,0.2,0.05,0.00477614771528065,0.08,-9.840956773137389e-6
0.001205263,0.01,0.1205263,0.2,0.05,0.00455813022902431,0.04,-9.451581151658645e-6
0.001410526,0.01,0.1410526,0.2,0.05,0.00435032533212599,0.12,-8.283815591344449e-6
0.001615789,0.01,0.1615789,0.2,0.05,0.00415229601803835,0.12,-6.3564036149033314e-6
0.001821053,0.01,0.1821053,0.2,0.05,0.00396362329386257,0.12,-3.6881583958111794e-6
0.002026316,0.01,0.20263159999999997,0.2,0.05,0.00378390895417386,0.1,-2.9798610579273924e-7
0.002231579,0.01,0.2231579,0.2,0.05,0.00361276925293057,0.08,3.795222365758199e-6
0.002436842,0.01,0.2436842,0.2,0.05,0.00344983784638169,0.06,8.57257104704915e-6
0.002642105,0.01,0.2642105,0.2,0.05,0.00329476411139503,0.24,1.4015196307475084e-5
0.002847368,0.01,0.28473679999999996,0.2,0.05,0.00314721244055758,0.1,2.0104291253118366e-5
0.003052632,0.01,0.3052632,0.2,0.05,0.00300686090393216,0.1,2.6821162619167487e-5
0.003257895,0.01,0.32578949999999995,0.2,0.05,0.00287340330901234,0.12,3.414711783909048e-5
0.003463158,0.01,0.3463158,0.2,0.05,0.00274654449073644,0.16,4.206368100279339e-5
0.003668421,0.01,0.3668420999999999,0.2,0.05,0.0026260024987967,0.24,5.0552482929685106e-5
0.003873684,0.01,0.3873684,0.2,0.05,0.00251150734279069,0.28,5.9595308998489516e-5
0.004078947,0.01,0.4078947,0.2,0.05,0.0024028004642956,0.22,6.917411444894248e-5
0.004284211,0.01,0.42842109999999994,0.2,0.05,0.00229963374404576,0.34,7.927108885831622e-5
0.004489474,0.01,0.4489474,0.2,0.05,0.0022017710052668,0.32,8.9868469714296e-5
0.004694737,0.01,0.4694737,0.2,0.05,0.00210898454208775,0.34,1.0094884943903648e-4
0.005,0.01,0.5,0.2,0.05,0.00197991719469715,0.5,1.1828365087744337e-4
0.005,0.01,0.5,0.2,0.05,0.00197991719469715,0.46,1.1828365087744337e-4
0.005151515,0.01,0.5151515,0.2,0.05,0.00191963538101642,0.4,1.2725293422758722e-4
0.005151515,0.01,0.5151515,0.2,0.05,0.00191963538101642,0.42,1.2725293422758722e-4
0.00530303,0.01,0.530303,0.2,0.05,0.00186175437261093,0.48,1.364555462667564e-4
0.00530303,0.01,0.530303,0.2,0.05,0.00186175437261093,0.42,1.364555462667564e-4
0.005454545,0.01,0.5454545,0.2,0.05,0.00180619750987549,0.52,1.458848504266655e-4
0.005454545,0.01,0.5454545,0.2,0.05,0.00180619750987549,0.58,1.458848504266655e-4
0.005606061,0.01,0.5606061,0.2,0.05,0.00175289016715307,0.62,1.5553434946926226e-4
0.005606061,0.01,0.5606061,0.2,0.05,0.00175289016715307,0.56,1.5553434946926226e-4
0.005757576,0.01,0.5757576,0.2,0.05,0.00170176106889274,0.58,1.6539743067495866e-4
0.005757576,0.01,0.5757576,0.2,0.05,0.00170176106889274,0.38,1.6539743067495866e-4
0.005909091,0.01,0.5909091,0.2,0.05,0.00165274010574986,0.62,1.7546774929518352e-4
0.005909091,0.01,0.5909091,0.2,0.05,0.00165274010574986,0.66,1.7546774929518352e-4
0.006060606,0.01,0.6060606,0.2,0.05,0.00160575968500823,0.64,1.8573897636233166e-4
0.006060606,0.01,0.6060606,0.2,0.05,0.00160575968500823,0.64,1.8573897636233166e-4
0.006212121,0.01,0.6212121,0.2,0.05,0.00156075430263657,0.62,1.9620486269704505e-4
0.006212121,0.01,0.6212121,0.2,0.05,0.00156075430263657,0.62,1.9620486269704505e-4
0.006363636,0.01,0.6363635999999999,0.2,0.05,0.00151766047682617,0.58,2.0685923984084965e-4
0.006363636,0.01,0.6363635999999999,0.2,0.05,0.00151766047682617,0.68,2.0685923984084965e-4
0.006515152,0.01,0.6515152,0.2,0.05,0.00147641641752049,0.72,2.1769609299745335e-4
0.006515152,0.01,0.6515152,0.2,0.05,0.00147641641752049,0.76,2.1769609299745335e-4
0.006666667,0.01,0.6666667000000001,0.2,0.05,0.00143696304089997,0.88,2.2870927446283322e-4
0.006666667,0.01,0.6666667000000001,0.2,0.05,0.00143696304089997,0.84,2.2870927446283322e-4
0.006818182,0.01,0.6818181999999999,0.2,0.05,0.00139924227670505,0.86,2.3989293345935345e-4
0.006818182,0.01,0.6818181999999999,0.2,0.05,0.00139924227670505,0.82,2.3989293345935345e-4
0.006969697,0.01,0.6969697,0.2,0.05,0.00136319811080474,0.84,2.51241231749807e-4
