a,replicate,gen,num_dd, num_dwt, d_fitness
0.08,0,0,2076,0,2242.08
0.08,0,1,1956,692,2403.12
0.08,0,2,1791,877,2302.62
0.08,0,3,1713,1020,2278.44
0.08,0,4,1650,1021,2210.82
0.08,0,5,1664,1135,2273.82
0.08,0,6,1606,1263,2264.94
0.08,0,7,1618,1345,2312.34
0.08,0,8,1635,1435,2368.5
0.08,0,9,1608,1451,2346.06
0.08,0,10,1576,1422,2299.32
0.08,0,11,1566,1452,2301.12
0.08,0,12,1477,1425,2193.66
0.08,0,13,1534,1537,2302.26
0.08,0,14,1641,1480,2393.88
0.08,0,15,1668,1534,2445.72
0.08,0,16,1592,1565,2376.66
0.08,0,17,1488,1601,2279.46
0.08,0,18,1526,1695,2359.98
0.08,0,19,1583,1672,2411.88
0.08,0,20,1679,1633,2499.18
0.08,0,21,1734,1615,2551.02
0.08,0,22,1842,1661,2686.98
0.08,0,23,1892,1739,2773.74
0.08,0,24,2026,1666,2887.8
0.08,0,25,2052,1714,2936.04
0.08,0,26,2119,1657,2984.46
0.08,0,27,2125,1664,2993.88
0.08,0,28,2193,1652,3062.28
0.08,0,29,2263,1755,3181.14
0.08,0,30,2222,1747,3133.5
0.08,0,31,2451,1788,3398.04
0.08,0,32,2531,1702,3448.32
0.08,0,33,2553,1743,3489.3
0.08,0,34,2529,1869,3516.3
0.08,0,35,2486,1836,3456.0
0.08,0,36,2514,1925,3523.62
0.08,0,37,2587,1889,3587.34
0.08,0,38,2659,1865,3655.02
0.08,0,39,2826,1878,3840.84
0.08,0,40,2825,1861,3832.62
0.08,0,41,2869,1871,3884.34
0.08,0,42,2908,1857,3920.58
0.08,0,43,2864,1955,3914.22
0.08,0,44,3047,1871,4076.58
0.08,0,45,3031,1825,4039.98
0.08,0,46,3121,1840,4143.48
0.08,0,47,3173,1782,4175.28
0.08,0,48,3261,1787,4272.42
0.08,0,49,3337,1825,4370.46
0.08,0,50,3427,1841,4474.38
0.08,0,51,3606,1883,4685.34
0.08,0,52,3531,1846,4588.8
0.08,0,53,3458,1814,4496.52
0.08,0,54,3422,1835,4466.46
0.08,0,55,3487,1838,4537.92
0.08,0,56,3505,1762,4525.44
0.08,0,57,3628,1817,4681.38
0.08,0,58,3743,1814,4804.32
0.08,0,59,3841,1869,4933.26
0.08,0,60,3929,1910,5045.52
0.08,0,61,4079,1935,5218.02
0.08,0,62,3985,1932,5115.24
0.08,0,63,3974,1876,5079.84
0.08,0,64,4103,1913,5234.7
0.08,0,65,4258,1866,5382.36
0.08,0,66,4281,1805,5381.58
0.08,0,67,4418,1703,5486.7
0.08,0,68,4543,1748,5640.6
0.08,0,69,4777,1641,5848.38
0.08,0,70,4871,1688,5969.64
0.08,0,71,4845,1731,5959.62
0.08,0,72,4849,1793,5989.98
0.08,0,73,4864,1740,5983.92
0.08,0,74,4794,1808,5936.88
0.08,0,75,4793,1814,5938.32
0.08,0,76,4943,1908,6139.8
0.08,0,77,5046,1938,6263.64
0.08,0,78,5037,1925,6248.46
0.08,0,79,5134,1812,6305.76
0.08,0,80,5050,1856,6233.52
0.08,0,81,5018,1816,6182.16
0.08,0,82,5252,1835,6442.86
0.08,0,83,5356,1849,6561.06
0.08,0,84,5426,1866,6643.8
0.08,0,85,5256,1834,6446.76
0.08,0,86,5250,1813,6431.46
0.08,0,87,5320,1745,6478.5
0.08,0,88,5500,1749,6674.58
0.08,0,89,5673,1707,6843.78
0.08,0,90,5717,1731,6901.38
0.08,0,91,5730,1777,6934.74
0.08,0,92,5813,1725,7002.54
0.08,0,93,5917,1732,7117.8
0.08,0,94,5978,1838,7228.2
0.08,0,95,5956,1833,7202.34
0.08,0,96,5920,1707,7110.54
0.08,0,97,6046,1773,7274.34
0.08,0,98,6212,1819,7472.94
0.08,0,99,6281,1835,7554.18
0.08,0,100,6239,1716,7458.84
0.08,1,0,2053,0,2217.24
0.08,1,1,1735,602,2126.64
0.08,1,2,1624,900,2131.92
0.08,1,3,1518,1081,2093.46
0.08,1,4,1529,1197,2154.06
0.08,1,5,1426,1217,2051.22
0.08,1,6,1284,1349,1953.3
0.08,1,7,1365,1373,2050.86
