a,replicate,gen,num_dd, num_dwt, d_fitness
0.0586,0,0,1550,0,1674.0
0.0586,0,1,1258,699,1652.22
0.0586,0,2,1159,862,1613.76
0.0586,0,3,1092,1037,1614.9
0.0586,0,4,962,1139,1517.34
0.0586,0,5,916,1162,1477.32
0.0586,0,6,934,1262,1538.76
0.0586,0,7,866,1379,1514.46
0.0586,0,8,816,1464,1496.16
0.0586,0,9,731,1471,1407.3
0.0586,0,10,763,1473,1442.7
0.0586,0,11,734,1440,1397.52
0.0586,0,12,671,1516,1361.4
0.0586,0,13,647,1474,1317.84
0.0586,0,14,704,1463,1374.78
0.0586,0,15,673,1486,1350.96
0.0586,0,16,603,1489,1276.62
0.0586,0,17,625,1479,1296.18
0.0586,0,18,619,1489,1293.9
0.0586,0,19,525,1534,1211.28
0.0586,0,20,492,1498,1160.52
0.0586,0,21,448,1470,1101.24
0.0586,0,22,411,1374,1020.96
0.0586,0,23,406,1311,989.1
0.0586,0,24,348,1283,914.7
0.0586,0,25,282,1241,825.78
0.0586,0,26,298,1172,814.08
0.0586,0,27,200,1150,699.0
0.0586,0,28,174,1099,649.5
0.0586,0,29,183,980,609.24
0.0586,0,30,134,970,552.12
0.0586,0,31,117,868,490.92
0.0586,0,32,92,827,446.7
0.0586,0,33,75,738,390.96
0.0586,0,34,39,682,328.56
0.0586,0,35,33,575,277.14
0.0586,0,36,24,503,237.18
0.0586,0,37,15,435,198.9
0.0586,0,38,13,364,166.92
0.0586,0,39,6,323,142.14
0.0586,0,40,5,250,110.4
0.0586,0,41,1,235,99.78
0.0586,0,42,4,238,104.28
0.0586,0,43,2,214,92.04
0.0586,0,44,4,185,82.02
0.0586,0,45,3,134,59.52
0.0586,0,46,1,105,45.18
0.0586,0,47,1,74,32.16
0.0586,0,48,0,58,24.36
0.0586,0,49,0,43,18.06
0.0586,0,50,0,38,15.96
0.0586,0,51,0,27,11.34
0.0586,0,52,0,12,5.04
0.0586,0,53,0,12,5.04
0.0586,0,54,0,14,5.88
0.0586,0,55,0,17,7.14
0.0586,0,56,0,18,7.56
0.0586,0,57,0,10,4.2
0.0586,0,58,0,9,3.78
0.0586,0,59,0,9,3.78
0.0586,0,60,0,11,4.62
0.0586,0,61,0,4,1.68
0.0586,0,62,0,1,0.42
0.0586,0,63,0,1,0.42
0.0586,0,64,0,0,0.0
0.0586,1,0,1483,0,1601.64
0.0586,1,1,1180,641,1543.62
0.0586,1,2,1038,862,1483.08
0.0586,1,3,1021,910,1484.88
0.0586,1,4,980,1086,1514.52
