a,replicate,gen,num_dd, num_dwt, d_fitness
0.0586,0,0,1483,0,1601.64
0.0586,0,1,1243,641,1611.66
0.0586,0,2,1141,865,1595.58
0.0586,0,3,1096,1000,1603.68
0.0586,0,4,1093,1126,1653.36
0.0586,0,5,977,1250,1580.16
0.0586,0,6,942,1191,1517.58
0.0586,0,7,870,1245,1462.5
0.0586,0,8,836,1380,1482.48
0.0586,0,9,836,1464,1517.76
0.0586,0,10,830,1400,1484.4
0.0586,0,11,800,1482,1486.44
0.0586,0,12,842,1498,1538.52
0.0586,0,13,751,1618,1490.64
0.0586,0,14,793,1563,1512.9
0.0586,0,15,709,1589,1433.1
0.0586,0,16,671,1708,1442.04
0.0586,0,17,645,1557,1350.54
0.0586,0,18,632,1612,1359.6
0.0586,0,19,586,1571,1292.7
0.0586,0,20,540,1523,1222.86
0.0586,0,21,576,1507,1255.02
0.0586,0,22,571,1513,1252.14
0.0586,0,23,511,1534,1196.16
0.0586,0,24,530,1488,1197.36
0.0586,0,25,522,1461,1177.38
0.0586,0,26,453,1407,1080.18
0.0586,0,27,470,1413,1101.06
0.0586,0,28,457,1369,1068.54
0.0586,0,29,455,1335,1052.1
0.0586,0,30,363,1391,976.26
0.0586,0,31,369,1289,939.9
0.0586,0,32,326,1282,890.52
0.0586,0,33,299,1245,845.82
0.0586,0,34,251,1160,758.28
0.0586,0,35,190,1184,702.48
0.0586,0,36,193,1062,654.48
0.0586,0,37,151,1069,612.06
0.0586,0,38,123,1046,572.16
0.0586,0,39,91,1000,518.28
0.0586,0,40,83,955,490.74
0.0586,0,41,68,854,432.12
0.0586,0,42,54,756,375.84
0.0586,0,43,44,672,329.76
0.0586,0,44,28,596,280.56
0.0586,0,45,32,528,256.32
0.0586,0,46,16,439,201.66
0.0586,0,47,13,425,192.54
0.0586,0,48,20,335,162.3
0.0586,0,49,6,319,140.46
0.0586,0,50,4,280,121.92
0.0586,0,51,8,225,103.14
0.0586,0,52,2,210,90.36
0.0586,0,53,0,167,70.14
0.0586,0,54,0,143,60.06
0.0586,0,55,2,141,61.38
0.0586,0,56,1,124,53.16
0.0586,0,57,1,107,46.02
0.0586,0,58,0,106,44.52
0.0586,0,59,0,78,32.76
0.0586,0,60,0,63,26.46
0.0586,0,61,0,41,17.22
0.0586,0,62,0,31,13.02
0.0586,0,63,0,29,12.18
0.0586,0,64,0,32,13.44
0.0586,0,65,0,25,10.5
0.0586,0,66,0,19,7.98
0.0586,0,67,0,17,7.14
0.0586,0,68,0,11,4.62
0.0586,0,69,0,16,6.72
0.0586,0,70,0,10,4.2
0.0586,0,71,0,13,5.46
0.0586,0,72,0,10,4.2
0.0586,0,73,0,11,4.62
0.0586,0,74,0,7,2.94
0.0586,0,75,0,5,2.1
0.0586,0,76,0,3,1.26
0.0586,0,77,0,3,1.26
0.0586,0,78,0,3,1.26
0.0586,0,79,0,0,0.0
0.0586,1,0,1531,0,1653.48
0.0586,1,1,1184,614,1536.6
0.0586,1,2,1016,853,1455.54
0.0586,1,3,985,938,1457.76
0.0586,1,4,895,1100,1428.6
0.0586,1,5,835,1204,1407.48
0.0586,1,6,881,1228,1467.24
0.0586,1,7,837,1260,1433.16
0.0586,1,8,827,1301,1439.58
0.0586,1,9,832,1357,1468.5
0.0586,1,10,744,1385,1385.22
0.0586,1,11,771,1387,1415.22
0.0586,1,12,715,1375,1349.7
0.0586,1,13,674,1297,1272.66
0.0586,1,14,657,1437,1313.1
0.0586,1,15,698,1432,1355.28
0.0586,1,16,649,1468,1317.48
0.0586,1,17,683,1490,1363.44
0.0586,1,18,582,1476,1248.48
0.0586,1,19,557,1430,1202.16
0.0586,1,20,445,1472,1098.84
0.0586,1,21,374,1475,1023.42
0.0586,1,22,348,1418,971.4
0.0586,1,23,309,1390,917.52
0.0586,1,24,285,1287,848.34
0.0586,1,25,248,1265,799.14
0.0586,1,26,229,1165,736.62
0.0586,1,27,152,1163,652.62
0.0586,1,28,139,949,548.7
0.0586,1,29,105,945,510.3
0.0586,1,30,86,906,473.4
0.0586,1,31,70,774,400.68
0.0586,1,32,52,685,343.86
0.0586,1,33,32,590,282.36
0.0586,1,34,34,552,268.56
0.0586,1,35,20,521,240.42
0.0586,1,36,18,499,229.02
0.0586,1,37,10,432,192.24
0.0586,1,38,9,388,172.68
0.0586,1,39,7,316,140.28
0.0586,1,40,14,238,115.08
0.0586,1,41,7,186,85.68
0.0586,1,42,2,159,68.94
0.0586,1,43,1,156,66.6
0.0586,1,44,1,104,44.76
0.0586,1,45,0,80,33.6
0.0586,1,46,0,59,24.78
0.0586,1,47,0,43,18.06
0.0586,1,48,0,24,10.08
0.0586,1,49,0,17,7.14
0.0586,1,50,0,7,2.94
0.0586,1,51,0,1,0.42
0.0586,1,52,0,1,0.42
0.0586,1,53,0,3,1.26
0.0586,1,54,0,0,0.0
0.0586,2,0,1529,0,1651.32
0.0586,2,1,1255,690,1645.2
0.0586,2,2,1143,885,1606.14
0.0586,2,3,1006,1027,1517.82
0.0586,2,4,951,1226,1542.0
0.0586,2,5,934,1264,1539.6
0.0586,2,6,816,1262,1411.32
0.0586,2,7,736,1369,1369.86
0.0586,2,8,726,1287,1324.62
0.0586,2,9,736,1245,1317.78
0.0586,2,10,680,1246,1257.72
0.0586,2,11,646,1372,1273.92
0.0586,2,12,547,1392,1175.4
0.0586,2,13,523,1449,1173.42
0.0586,2,14,493,1431,1133.46
0.0586,2,15,517,1386,1140.48
0.0586,2,16,454,1401,1078.74
0.0586,2,17,421,1464,1069.56
0.0586,2,18,440,1485,1098.9
0.0586,2,19,381,1450,1020.48
0.0586,2,20,383,1374,990.72
0.0586,2,21,342,1304,917.04
0.0586,2,22,331,1227,872.82
0.0586,2,23,274,1296,840.24
0.0586,2,24,231,1214,759.36
0.0586,2,25,212,1104,692.64
0.0586,2,26,192,1097,668.1
0.0586,2,27,162,1048,615.12
0.0586,2,28,133,965,548.94
0.0586,2,29,94,900,479.52
0.0586,2,30,79,897,462.06
0.0586,2,31,82,752,404.4
0.0586,2,32,49,699,346.5
0.0586,2,33,53,639,325.62
0.0586,2,34,34,655,311.82
0.0586,2,35,20,560,256.8
0.0586,2,36,17,511,232.98
0.0586,2,37,4,441,189.54
0.0586,2,38,7,395,173.46
0.0586,2,39,12,359,163.74
0.0586,2,40,8,295,132.54
0.0586,2,41,2,254,108.84
0.0586,2,42,4,200,88.32
0.0586,2,43,1,178,75.84
0.0586,2,44,0,144,60.48
0.0586,2,45,2,140,60.96
0.0586,2,46,3,125,55.74
0.0586,2,47,0,105,44.1
0.0586,2,48,0,99,41.58
0.0586,2,49,0,82,34.44
0.0586,2,50,2,69,31.14
0.0586,2,51,0,81,34.02
0.0586,2,52,1,71,30.9
0.0586,2,53,0,63,26.46
0.0586,2,54,0,50,21.0
0.0586,2,55,0,60,25.2
0.0586,2,56,0,45,18.9
0.0586,2,57,0,22,9.24
0.0586,2,58,0,23,9.66
0.0586,2,59,0,17,7.14
0.0586,2,60,0,16,6.72
0.0586,2,61,0,13,5.46
0.0586,2,62,0,5,2.1
0.0586,2,63,0,6,2.52
0.0586,2,64,0,7,2.94
0.0586,2,65,0,4,1.68
0.0586,2,66,0,0,0.0
0.0586,3,0,1511,0,1631.88
0.0586,3,1,1183,711,1576.26
0.0586,3,2,1121,826,1557.6
0.0586,3,3,1053,986,1551.36
0.0586,3,4,897,1068,1417.32
0.0586,3,5,849,1148,1399.08
0.0586,3,6,766,1144,1307.76
0.0586,3,7,693,1227,1263.78
0.0586,3,8,677,1149,1213.74
0.0586,3,9,611,1203,1165.14
0.0586,3,10,601,1206,1155.6
0.0586,3,11,656,1349,1275.06
0.0586,3,12,596,1282,1182.12
0.0586,3,13,526,1293,1111.14
0.0586,3,14,541,1409,1176.06
0.0586,3,15,495,1386,1116.72
0.0586,3,16,472,1364,1082.64
0.0586,3,17,440,1411,1067.82
0.0586,3,18,424,1276,993.84
0.0586,3,19,392,1323,979.02
