a,replicate,gen,num_dd, num_dwt, d_fitness
0.02,0,0,505,0,545.4
0.02,0,1,231,523,469.14
0.02,0,2,137,651,421.38
0.02,0,3,102,632,375.6
0.02,0,4,89,583,340.98
0.02,0,5,41,545,273.18
0.02,0,6,51,457,247.02
0.02,0,7,32,458,226.92
0.02,0,8,29,385,193.02
0.02,0,9,13,373,170.7
0.02,0,10,7,315,139.86
0.02,0,11,12,270,126.36
0.02,0,12,4,274,119.4
0.02,0,13,4,249,108.9
0.02,0,14,6,193,87.54
0.02,0,15,1,179,76.26
0.02,0,16,3,128,57.0
0.02,0,17,0,103,43.26
0.02,0,18,0,87,36.54
0.02,0,19,0,81,34.02
0.02,0,20,2,60,27.36
0.02,0,21,0,58,24.36
0.02,0,22,0,42,17.64
0.02,0,23,0,31,13.02
0.02,0,24,0,23,9.66
0.02,0,25,0,14,5.88
0.02,0,26,0,8,3.36
0.02,0,27,0,11,4.62
0.02,0,28,0,12,5.04
0.02,0,29,0,15,6.3
0.02,0,30,0,11,4.62
0.02,0,31,0,8,3.36
0.02,0,32,0,5,2.1
0.02,0,33,0,4,1.68
0.02,0,34,0,1,0.42
0.02,0,35,0,0,0.0
0.02,1,0,520,0,561.6
0.02,1,1,246,482,468.12
0.02,1,2,197,577,455.1
0.02,1,3,132,624,404.64
0.02,1,4,123,636,399.96
0.02,1,5,83,669,370.62
0.02,1,6,80,619,346.38
0.02,1,7,59,581,307.74
0.02,1,8,44,506,260.04
0.02,1,9,34,460,229.92
0.02,1,10,24,431,206.94
0.02,1,11,24,357,175.86
0.02,1,12,14,339,157.5
0.02,1,13,7,290,129.36
0.02,1,14,5,277,121.74
0.02,1,15,7,228,103.32
0.02,1,16,0,167,70.14
0.02,1,17,3,143,63.3
0.02,1,18,6,105,50.58
0.02,1,19,2,97,42.9
0.02,1,20,0,66,27.72
0.02,1,21,0,72,30.24
0.02,1,22,2,56,25.68
0.02,1,23,0,50,21.0
0.02,1,24,0,54,22.68
0.02,1,25,0,49,20.58
0.02,1,26,0,51,21.42
0.02,1,27,0,40,16.8
0.02,1,28,0,39,16.38
0.02,1,29,1,42,18.72
0.02,1,30,1,39,17.46
0.02,1,31,0,27,11.34
0.02,1,32,0,16,6.72
0.02,1,33,0,11,4.62
0.02,1,34,0,10,4.2
0.02,1,35,0,11,4.62
0.02,1,36,0,9,3.78
0.02,1,37,0,6,2.52
0.02,1,38,0,3,1.26
0.02,1,39,0,5,2.1
0.02,1,40,0,7,2.94
0.02,1,41,0,11,4.62
0.02,1,42,0,5,2.1
0.02,1,43,0,4,1.68
0.02,1,44,0,6,2.52
0.02,1,45,0,6,2.52
0.02,1,46,0,5,2.1
0.02,1,47,0,7,2.94
0.02,1,48,0,3,1.26
0.02,1,49,0,1,0.42
0.02,1,50,0,3,1.26
0.02,1,51,0,3,1.26
0.02,1,52,0,5,2.1
0.02,1,53,0,1,0.42
0.02,1,54,0,1,0.42
0.02,1,55,0,2,0.84
0.02,1,56,0,0,0.0
0.02,2,0,501,0,541.08
0.02,2,1,233,498,460.8
0.02,2,2,166,627,442.62
0.02,2,3,145,619,416.58
0.02,2,4,112,619,380.94
0.02,2,5,77,576,325.08
0.02,2,6,60,610,321.0
0.02,2,7,34,562,272.76
0.02,2,8,34,481,238.74
0.02,2,9,17,465,213.66
0.02,2,10,22,407,194.7
0.02,2,11,26,332,167.52
0.02,2,12,9,291,131.94
0.02,2,13,5,224,99.48
0.02,2,14,1,210,89.28
0.02,2,15,5,220,97.8
0.02,2,16,0,195,81.9
0.02,2,17,2,169,73.14
0.02,2,18,5,145,66.3
0.02,2,19,4,127,57.66
0.02,2,20,0,106,44.52
0.02,2,21,0,82,34.44
0.02,2,22,0,66,27.72
0.02,2,23,1,39,17.46
0.02,2,24,0,37,15.54
0.02,2,25,0,25,10.5
0.02,2,26,0,23,9.66
0.02,2,27,0,20,8.4
0.02,2,28,0,6,2.52
0.02,2,29,0,12,5.04
0.02,2,30,0,12,5.04
0.02,2,31,0,8,3.36
0.02,2,32,0,7,2.94
0.02,2,33,0,6,2.52
0.02,2,34,0,4,1.68
0.02,2,35,0,3,1.26
0.02,2,36,0,3,1.26
0.02,2,37,0,5,2.1
0.02,2,38,0,4,1.68
0.02,2,39,0,3,1.26
0.02,2,40,0,9,3.78
0.02,2,41,0,7,2.94
0.02,2,42,0,6,2.52
0.02,2,43,0,1,0.42
0.02,2,44,0,2,0.84
0.02,2,45,0,0,0.0
0.02,3,0,521,0,562.68
0.02,3,1,232,514,466.44
0.02,3,2,157,604,423.24
0.02,3,3,146,563,394.14
0.02,3,4,90,627,360.54
0.02,3,5,56,565,297.78
0.02,3,6,49,492,259.56
0.02,3,7,49,525,273.42
0.02,3,8,26,529,250.26
0.02,3,9,19,388,183.48
0.02,3,10,16,332,156.72
0.02,3,11,18,306,147.96
0.02,3,12,12,259,121.74
0.02,3,13,6,231,103.5
0.02,3,14,3,166,72.96
0.02,3,15,1,152,64.92
0.02,3,16,4,129,58.5
0.02,3,17,1,111,47.7
0.02,3,18,0,105,44.1
0.02,3,19,2,75,33.66
0.02,3,20,0,67,28.14
0.02,3,21,0,52,21.84
0.02,3,22,1,56,24.6
0.02,3,23,0,49,20.58
0.02,3,24,0,49,20.58
0.02,3,25,0,33,13.86
0.02,3,26,0,31,13.02
0.02,3,27,0,25,10.5
0.02,3,28,0,27,11.34
0.02,3,29,0,24,10.08
0.02,3,30,0,29,12.18
0.02,3,31,0,22,9.24
0.02,3,32,0,19,7.98
0.02,3,33,0,14,5.88
0.02,3,34,0,10,4.2
0.02,3,35,0,8,3.36
0.02,3,36,0,8,3.36
0.02,3,37,0,4,1.68
0.02,3,38,0,4,1.68
0.02,3,39,0,2,0.84
0.02,3,40,0,0,0.0
0.02,4,0,484,0,522.72
0.02,4,1,180,456,385.92
0.02,4,2,135,462,339.84
0.02,4,3,102,470,307.56
0.02,4,4,64,490,274.92
0.02,4,5,31,442,219.12
0.02,4,6,30,367,186.54
0.02,4,7,15,380,175.8
0.02,4,8,13,345,158.94
0.02,4,9,8,281,126.66
0.02,4,10,6,250,111.48
0.02,4,11,8,175,82.14
0.02,4,12,5,159,72.18
0.02,4,13,2,150,65.16
0.02,4,14,0,122,51.24
0.02,4,15,5,101,47.82
0.02,4,16,0,123,51.66
0.02,4,17,3,88,40.2
0.02,4,18,0,87,36.54
0.02,4,19,2,67,30.3
0.02,4,20,0,48,20.16
0.02,4,21,0,54,22.68
0.02,4,22,0,56,23.52
0.02,4,23,1,50,22.08
0.02,4,24,0,44,18.48
0.02,4,25,0,44,18.48
0.02,4,26,0,38,15.96
0.02,4,27,0,31,13.02
0.02,4,28,3,27,14.58
0.02,4,29,0,24,10.08
0.02,4,30,0,30,12.6
0.02,4,31,0,26,10.92
0.02,4,32,0,17,7.14
0.02,4,33,0,14,5.88
0.02,4,34,0,8,3.36
0.02,4,35,0,7,2.94
0.02,4,36,0,4,1.68
0.02,4,37,0,2,0.84
0.02,4,38,0,1,0.42
0.02,4,39,0,1,0.42
0.02,4,40,0,0,0.0
0.02,5,0,551,0,595.08
0.02,5,1,257,540,504.36
0.02,5,2,231,585,495.18
0.02,5,3,115,647,395.94
0.02,5,4,94,587,348.06
0.02,5,5,68,563,309.9
0.02,5,6,48,538,277.8
0.02,5,7,53,456,248.76
0.02,5,8,23,468,221.4
0.02,5,9,24,370,181.32
0.02,5,10,19,333,160.38
0.02,5,11,12,339,155.34
0.02,5,12,7,330,146.16
0.02,5,13,7,308,136.92
0.02,5,14,4,262,114.36
0.02,5,15,6,215,96.78
0.02,5,16,4,205,90.42
0.02,5,17,2,219,94.14
0.02,5,18,1,175,74.58
0.02,5,19,6,174,79.56
0.02,5,20,0,154,64.68
0.02,5,21,0,149,62.58
0.02,5,22,1,115,49.38
0.02,5,23,0,99,41.58
0.02,5,24,0,85,35.7
0.02,5,25,1,60,26.28
0.02,5,26,0,47,19.74
0.02,5,27,1,38,17.04
0.02,5,28,0,31,13.02
0.02,5,29,0,22,9.24
0.02,5,30,0,12,5.04
0.02,5,31,0,5,2.1
0.02,5,32,0,1,0.42
0.02,5,33,0,1,0.42
0.02,5,34,0,0,0.0
0.02,6,0,533,0,575.64
0.02,6,1,289,542,539.76
0.02,6,2,171,614,442.56
0.02,6,3,121,659,407.46
0.02,6,4,108,639,385.02
0.02,6,5,82,628,352.32
0.02,6,6,60,569,303.78
0.02,6,7,59,528,285.48
0.02,6,8,43,530,269.04
0.02,6,9,33,464,230.52
0.02,6,10,30,432,213.84
0.02,6,11,15,422,193.44
0.02,6,12,14,357,165.06
0.02,6,13,15,337,157.74
0.02,6,14,4,303,131.58
0.02,6,15,4,272,118.56
0.02,6,16,4,222,97.56
0.02,6,17,1,201,85.5
0.02,6,18,3,167,73.38
0.02,6,19,4,123,55.98
0.02,6,20,0,106,44.52
0.02,6,21,1,70,30.48
0.02,6,22,0,65,27.3
0.02,6,23,0,60,25.2
0.02,6,24,1,35,15.78
0.02,6,25,0,36,15.12
0.02,6,26,0,31,13.02
0.02,6,27,0,21,8.82
0.02,6,28,0,28,11.76
0.02,6,29,0,27,11.34
0.02,6,30,0,21,8.82
0.02,6,31,0,14,5.88
0.02,6,32,0,10,4.2
0.02,6,33,0,4,1.68
0.02,6,34,0,2,0.84
0.02,6,35,0,4,1.68
0.02,6,36,0,2,0.84
0.02,6,37,0,2,0.84
0.02,6,38,0,1,0.42
0.02,6,39,0,2,0.84
0.02,6,40,0,1,0.42
0.02,6,41,0,2,0.84
0.02,6,42,0,0,0.0
0.02,7,0,497,0,536.76
0.02,7,1,177,455,382.26
0.02,7,2,137,505,360.06
0.02,7,3,97,587,351.3
0.02,7,4,63,558,302.4
0.02,7,5,34,565,274.02
0.02,7,6,45,502,259.44
0.02,7,7,24,462,219.96
0.02,7,8,21,382,183.12
0.02,7,9,12,360,164.16
0.02,7,10,6,303,133.74
0.02,7,11,5,228,101.16
0.02,7,12,6,197,89.22
0.02,7,13,9,158,76.08
0.02,7,14,3,147,64.98
0.02,7,15,0,109,45.78
0.02,7,16,0,88,36.96
0.02,7,17,1,77,33.42
0.02,7,18,1,56,24.6
0.02,7,19,0,51,21.42
0.02,7,20,0,31,13.02
0.02,7,21,0,22,9.24
0.02,7,22,0,19,7.98
0.02,7,23,0,19,7.98
0.02,7,24,0,28,11.76
0.02,7,25,0,28,11.76
0.02,7,26,0,22,9.24
0.02,7,27,0,24,10.08
0.02,7,28,0,23,9.66
0.02,7,29,0,16,6.72
0.02,7,30,0,8,3.36
0.02,7,31,0,12,5.04
0.02,7,32,0,9,3.78
0.02,7,33,0,7,2.94
0.02,7,34,0,1,0.42
0.02,7,35,0,3,1.26
0.02,7,36,0,1,0.42
0.02,7,37,0,0,0.0
0.02,8,0,567,0,612.36
0.02,8,1,247,530,489.36
0.02,8,2,161,659,450.66
0.02,8,3,126,656,411.6
0.02,8,4,99,613,364.38
0.02,8,5,81,614,345.36
0.02,8,6,64,570,308.52
0.02,8,7,43,534,270.72
0.02,8,8,37,496,248.28
0.02,8,9,13,438,198.0
0.02,8,10,20,395,187.5
0.02,8,11,17,380,177.96
0.02,8,12,9,338,151.68
0.02,8,13,17,294,141.84
0.02,8,14,2,265,113.46
0.02,8,15,10,227,106.14
0.02,8,16,1,180,76.68
0.02,8,17,0,159,66.78
0.02,8,18,0,124,52.08
0.02,8,19,0,90,37.8
0.02,8,20,0,58,24.36
0.02,8,21,0,35,14.7
0.02,8,22,0,40,16.8
0.02,8,23,0,33,13.86
0.02,8,24,0,17,7.14
0.02,8,25,0,19,7.98
0.02,8,26,0,17,7.14
0.02,8,27,0,12,5.04
0.02,8,28,0,14,5.88
0.02,8,29,0,8,3.36
0.02,8,30,0,10,4.2
0.02,8,31,0,11,4.62
0.02,8,32,0,12,5.04
0.02,8,33,0,16,6.72
0.02,8,34,0,9,3.78
0.02,8,35,0,5,2.1
0.02,8,36,0,6,2.52
0.02,8,37,0,7,2.94
0.02,8,38,2,7,5.1
0.02,8,39,0,22,9.24
0.02,8,40,0,17,7.14
0.02,8,41,0,21,8.82
0.02,8,42,1,24,11.16
0.02,8,43,0,17,7.14
0.02,8,44,0,6,2.52
0.02,8,45,0,6,2.52
0.02,8,46,0,9,3.78
0.02,8,47,0,3,1.26
0.02,8,48,0,0,0.0
0.02,9,0,509,0,549.72
0.02,9,1,201,508,430.44
0.02,9,2,141,546,381.6
0.02,9,3,113,537,347.58
0.02,9,4,74,639,348.3
0.02,9,5,74,550,310.92
0.02,9,6,56,489,265.86
0.02,9,7,34,489,242.1
0.02,9,8,28,456,221.76
0.02,9,9,15,398,183.36
0.02,9,10,11,315,144.18
0.02,9,11,9,275,125.22
0.02,9,12,8,231,105.66
0.02,9,13,4,206,90.84
0.02,9,14,0,188,78.96
0.02,9,15,3,182,79.68
0.02,9,16,6,151,69.9
0.02,9,17,1,124,53.16
0.02,9,18,1,93,40.14
0.02,9,19,2,69,31.14
0.02,9,20,0,87,36.54
0.02,9,21,0,75,31.5
0.02,9,22,1,61,26.7
0.02,9,23,2,36,17.28
0.02,9,24,0,32,13.44
0.02,9,25,0,41,17.22
0.02,9,26,2,36,17.28
0.02,9,27,0,25,10.5
0.02,9,28,0,18,7.56
0.02,9,29,0,19,7.98
0.02,9,30,0,20,8.4
0.02,9,31,0,11,4.62
0.02,9,32,0,12,5.04
0.02,9,33,0,9,3.78
0.02,9,34,0,10,4.2
0.02,9,35,0,14,5.88
0.02,9,36,0,15,6.3
0.02,9,37,0,18,7.56
0.02,9,38,0,10,4.2
0.02,9,39,0,4,1.68
0.02,9,40,0,8,3.36
0.02,9,41,0,4,1.68
0.02,9,42,0,1,0.42
0.02,9,43,0,0,0.0
0.02,10,0,519,0,560.52
0.02,10,1,173,643,456.9
0.02,10,2,172,611,442.38
0.02,10,3,105,648,385.56
0.02,10,4,81,554,320.16
0.02,10,5,50,496,262.32
0.02,10,6,45,461,242.22
0.02,10,7,37,435,222.66
0.02,10,8,26,378,186.84
0.02,10,9,23,331,163.86
0.02,10,10,9,319,143.7
0.02,10,11,6,286,126.6
0.02,10,12,4,250,109.32
0.02,10,13,2,208,89.52
0.02,10,14,4,196,86.64
0.02,10,15,2,157,68.1
0.02,10,16,2,134,58.44
0.02,10,17,1,122,52.32
0.02,10,18,0,115,48.3
0.02,10,19,5,94,44.88
0.02,10,20,0,92,38.64
0.02,10,21,0,77,32.34
0.02,10,22,0,70,29.4
0.02,10,23,0,59,24.78
0.02,10,24,0,66,27.72
0.02,10,25,0,52,21.84
0.02,10,26,0,50,21.0
0.02,10,27,0,44,18.48
0.02,10,28,0,43,18.06
0.02,10,29,0,31,13.02
0.02,10,30,0,19,7.98
0.02,10,31,0,20,8.4
0.02,10,32,0,17,7.14
0.02,10,33,0,14,5.88
0.02,10,34,0,9,3.78
0.02,10,35,0,3,1.26
0.02,10,36,0,1,0.42
0.02,10,37,0,0,0.0
0.02,11,0,523,0,564.84
0.02,11,1,208,521,443.46
0.02,11,2,167,602,433.2
0.02,11,3,138,643,419.1
0.02,11,4,97,643,374.82
0.02,11,5,67,596,322.68
0.02,11,6,59,601,316.14
0.02,11,7,55,504,271.08
0.02,11,8,25,446,214.32
0.02,11,9,26,381,188.1
0.02,11,10,20,323,157.26
0.02,11,11,2,300,128.16
0.02,11,12,5,253,111.66
0.02,11,13,4,226,99.24
0.02,11,14,7,171,79.38
0.02,11,15,0,124,52.08
0.02,11,16,0,94,39.48
0.02,11,17,1,53,23.34
0.02,11,18,0,38,15.96
0.02,11,19,0,37,15.54
0.02,11,20,0,24,10.08
0.02,11,21,0,25,10.5
0.02,11,22,0,15,6.3
0.02,11,23,0,9,3.78
0.02,11,24,0,10,4.2
0.02,11,25,0,13,5.46
0.02,11,26,0,12,5.04
0.02,11,27,0,10,4.2
0.02,11,28,0,13,5.46
0.02,11,29,0,21,8.82
0.02,11,30,0,14,5.88
0.02,11,31,0,12,5.04
0.02,11,32,0,14,5.88
0.02,11,33,0,6,2.52
0.02,11,34,0,7,2.94
0.02,11,35,0,5,2.1
0.02,11,36,0,8,3.36
0.02,11,37,0,10,4.2
0.02,11,38,0,6,2.52
0.02,11,39,0,1,0.42
0.02,11,40,0,1,0.42
0.02,11,41,0,0,0.0
0.02,12,0,515,0,556.2
0.02,12,1,234,492,459.36
0.02,12,2,172,654,460.44
0.02,12,3,114,586,369.24
0.02,12,4,80,598,337.56
0.02,12,5,57,531,284.58
0.02,12,6,48,480,253.44
0.02,12,7,23,464,219.72
0.02,12,8,19,427,199.86
0.02,12,9,21,361,174.3
0.02,12,10,14,291,137.34
0.02,12,11,8,293,131.7
0.02,12,12,10,228,106.56
0.02,12,13,4,193,85.38
0.02,12,14,7,159,74.34
0.02,12,15,1,127,54.42
0.02,12,16,1,92,39.72
0.02,12,17,0,77,32.34
0.02,12,18,0,72,30.24
0.02,12,19,1,75,32.58
0.02,12,20,3,57,27.18
0.02,12,21,0,50,21.0
0.02,12,22,0,46,19.32
0.02,12,23,0,46,19.32
0.02,12,24,0,40,16.8
0.02,12,25,0,53,22.26
0.02,12,26,0,44,18.48
0.02,12,27,0,38,15.96
0.02,12,28,0,37,15.54
0.02,12,29,1,35,15.78
0.02,12,30,0,44,18.48
0.02,12,31,0,29,12.18
0.02,12,32,0,31,13.02
0.02,12,33,0,29,12.18
0.02,12,34,0,21,8.82
0.02,12,35,0,14,5.88
0.02,12,36,0,10,4.2
0.02,12,37,0,5,2.1
0.02,12,38,0,9,3.78
0.02,12,39,0,3,1.26
0.02,12,40,0,3,1.26
0.02,12,41,0,2,0.84
0.02,12,42,0,1,0.42
0.02,12,43,0,4,1.68
0.02,12,44,0,3,1.26
0.02,12,45,0,2,0.84
0.02,12,46,0,1,0.42
0.02,12,47,0,0,0.0
0.02,13,0,523,0,564.84
0.02,13,1,260,551,512.22
0.02,13,2,183,633,463.5
0.02,13,3,144,611,412.14
0.02,13,4,86,639,361.26
0.02,13,5,71,645,347.58
0.02,13,6,53,540,284.04
0.02,13,7,46,538,275.64
0.02,13,8,46,463,244.14
0.02,13,9,33,436,218.76
0.02,13,10,24,417,201.06
0.02,13,11,16,374,174.36
0.02,13,12,14,335,155.82
0.02,13,13,7,291,129.78
0.02,13,14,3,277,119.58
0.02,13,15,5,263,115.86
0.02,13,16,3,222,96.48
0.02,13,17,4,199,87.9
0.02,13,18,4,158,70.68
0.02,13,19,0,124,52.08
0.02,13,20,0,88,36.96
0.02,13,21,0,66,27.72
0.02,13,22,0,63,26.46
0.02,13,23,0,44,18.48
0.02,13,24,0,35,14.7
0.02,13,25,0,23,9.66
0.02,13,26,0,17,7.14
0.02,13,27,0,12,5.04
0.02,13,28,0,13,5.46
0.02,13,29,0,8,3.36
