a,replicate,gen,num_dd, num_dwt, d_fitness
0.25,0,0,6554,0,7078.32
0.25,0,1,6494,646,7284.84
0.25,0,2,6558,907,7463.58
0.25,0,3,6741,1141,7759.5
0.25,0,4,6799,1177,7837.26
0.25,0,5,6660,1248,7716.96
0.25,0,6,6586,1285,7652.58
0.25,0,7,6679,1355,7782.42
0.25,0,8,6894,1381,8025.54
0.25,0,9,7016,1362,8149.32
0.25,0,10,7078,1421,8241.06
0.25,0,11,6896,1455,8058.78
0.25,0,12,6725,1439,7867.38
0.25,0,13,6662,1501,7825.38
0.25,0,14,6771,1509,7946.46
0.25,0,15,6909,1656,8157.24
0.25,0,16,6769,1654,8005.2
0.25,0,17,6623,1644,7843.32
0.25,0,18,6735,1734,8002.08
0.25,0,19,6909,1772,8205.96
0.25,0,20,6887,1844,8212.44
0.25,0,21,7026,1744,8320.56
0.25,0,22,7088,1824,8421.12
0.25,0,23,7143,1843,8488.5
0.25,0,24,7241,1802,8577.12
0.25,0,25,7269,1771,8594.34
0.25,0,26,7364,1767,8695.26
0.25,0,27,7440,1739,8765.58
0.25,0,28,7441,1610,8712.48
0.25,0,29,7645,1639,8944.98
0.25,0,30,7617,1672,8928.6
0.25,0,31,7677,1666,8990.88
0.25,0,32,7827,1675,9156.66
0.25,0,33,7858,1690,9196.44
0.25,0,34,7907,1660,9236.76
0.25,0,35,7909,1610,9217.92
0.25,0,36,8075,1610,9397.2
0.25,0,37,8141,1658,9488.64
0.25,0,38,8114,1740,9493.92
0.25,0,39,8160,1680,9518.4
0.25,0,40,8079,1730,9451.92
0.25,0,41,8354,1719,9744.3
0.25,0,42,8503,1664,9882.12
0.25,0,43,8283,1604,9619.32
0.25,0,44,8506,1684,9893.76
0.25,0,45,8615,1720,10026.6
0.25,0,46,8767,1755,10205.5
0.25,0,47,8889,1614,10278.0
0.25,0,48,9042,1639,10453.7
0.25,0,49,9123,1618,10532.4
0.25,0,50,9167,1673,10603.0
0.25,0,51,8901,1696,10325.4
0.25,0,52,9091,1746,10551.6
0.25,0,53,9068,1806,10552.0
0.25,0,54,9339,1791,10838.3
0.25,0,55,9404,1689,10865.7
0.25,0,56,9354,1725,10826.8
0.25,0,57,9213,1720,10672.4
0.25,0,58,9218,1797,10710.2
0.25,0,59,9564,1715,11049.4
0.25,0,60,9675,1728,11174.8
0.25,0,61,9617,1676,11090.3
0.25,0,62,9514,1741,11006.3
0.25,0,63,9993,1774,11537.5
0.25,0,64,9905,1813,11458.9
0.25,0,65,9890,1770,11424.6
0.25,0,66,9930,1734,11452.7
0.25,0,67,9975,1818,11536.6
0.25,0,68,10042,1752,11581.2
0.25,0,69,10181,1731,11722.5
0.25,0,70,10101,1707,11626.0
0.25,0,71,10234,1656,11748.2
0.25,0,72,10035,1725,11562.3
0.25,0,73,10031,1716,11554.2
0.25,0,74,10009,1790,11561.5
0.25,0,75,10056,1722,11583.7
0.25,0,76,10111,1717,11641.0
0.25,0,77,10526,1749,12102.7
0.25,0,78,10614,1732,12190.6
0.25,0,79,10414,1735,11975.8
0.25,0,80,10442,1726,12002.3
0.25,0,81,10534,1730,12103.3
0.25,0,82,10633,1731,12210.7
0.25,0,83,10909,1757,12519.7
0.25,0,84,11095,1735,12711.3
0.25,0,85,10854,1795,12476.2
0.25,0,86,10874,1765,12485.2
0.25,0,87,10930,1755,12541.5
0.25,0,88,10885,1780,12503.4
0.25,0,89,11228,1766,12868.0
0.25,0,90,10972,1712,12568.8
0.25,0,91,11368,1625,12959.9
0.25,0,92,11204,1733,12828.2
0.25,0,93,11452,1741,13099.4
0.25,0,94,11772,1765,13455.1
0.25,0,95,11859,1742,13539.4
0.25,0,96,11851,1658,13495.4
0.25,0,97,11737,1622,13357.2
0.25,0,98,11968,1731,13652.5
0.25,0,99,12027,1691,13699.4
0.25,0,100,12020,1690,13691.4
0.25,1,0,6358,0,6866.64
0.25,1,1,6416,706,7225.8
0.25,1,2,6435,928,7339.56
0.25,1,3,6407,1005,7341.66
0.25,1,4,6618,1123,7619.1
0.25,1,5,6657,1204,7695.24
0.25,1,6,6843,1431,7991.46
0.25,1,7,6758,1427,7897.98
0.25,1,8,6846,1388,7976.64
0.25,1,9,6867,1563,8072.82
0.25,1,10,6708,1455,7855.74
0.25,1,11,6669,1589,7869.9
0.25,1,12,6674,1603,7881.18
0.25,1,13,6565,1580,7753.8
0.25,1,14,6740,1674,7982.28
0.25,1,15,6842,1587,8055.9
0.25,1,16,6678,1665,7911.54
0.25,1,17,6830,1655,8071.5
0.25,1,18,6827,1763,8113.62
0.25,1,19,6762,1862,8085.0
0.25,1,20,6937,1804,8249.64
0.25,1,21,6844,1714,8111.4
0.25,1,22,6952,1766,8249.88
0.25,1,23,7101,1708,8386.44
0.25,1,24,7219,1747,8530.26
0.25,1,25,7305,1642,8579.04
0.25,1,26,7495,1620,8775.0
0.25,1,27,7681,1620,8975.88
0.25,1,28,7823,1686,9156.96
0.25,1,29,7764,1689,9094.5
0.25,1,30,7645,1743,8988.66
0.25,1,31,7834,1830,9229.32
0.25,1,32,7663,1909,9077.82
0.25,1,33,7777,1785,9148.86
0.25,1,34,7993,1906,9432.96
0.25,1,35,7868,1861,9279.06
0.25,1,36,7908,1753,9276.9
0.25,1,37,7871,1709,9218.46
0.25,1,38,8055,1636,9386.52
0.25,1,39,8031,1715,9393.78
0.25,1,40,8017,1717,9379.5
0.25,1,41,8150,1726,9526.92
0.25,1,42,8275,1730,9663.6
0.25,1,43,8316,1735,9709.98
0.25,1,44,8454,1739,9860.7
0.25,1,45,8483,1866,9945.36
0.25,1,46,8678,1820,10136.6
0.25,1,47,8826,1717,10253.2
