a,replicate,gen,num_dd, num_dwt, d_fitness
0.06,0,0,1614,0,1743.12
0.06,0,1,1300,640,1672.8
0.06,0,2,1205,905,1681.5
0.06,0,3,1117,1008,1629.72
0.06,0,4,1115,1077,1656.54
0.06,0,5,1043,1278,1663.2
0.06,0,6,1066,1214,1661.16
0.06,0,7,1022,1252,1629.6
0.06,0,8,1116,1329,1763.46
0.06,0,9,1075,1362,1733.04
0.06,0,10,1098,1508,1819.2
0.06,0,11,1051,1505,1767.18
0.06,0,12,997,1409,1668.54
0.06,0,13,979,1384,1638.6
0.06,0,14,993,1593,1741.5
0.06,0,15,1011,1595,1761.78
0.06,0,16,1008,1507,1721.58
0.06,0,17,917,1572,1650.6
0.06,0,18,899,1606,1645.44
0.06,0,19,869,1629,1622.7
0.06,0,20,869,1680,1644.12
0.06,0,21,841,1629,1592.46
0.06,0,22,846,1733,1641.54
0.06,0,23,819,1654,1579.2
0.06,0,24,778,1608,1515.6
0.06,0,25,784,1703,1561.98
0.06,0,26,750,1697,1522.74
0.06,0,27,707,1705,1479.66
0.06,0,28,741,1640,1489.08
0.06,0,29,730,1636,1475.52
0.06,0,30,716,1622,1454.52
0.06,0,31,679,1517,1370.46
0.06,0,32,617,1522,1305.6
0.06,0,33,539,1479,1203.3
0.06,0,34,525,1461,1180.62
0.06,0,35,485,1494,1151.28
0.06,0,36,437,1531,1114.98
0.06,0,37,459,1440,1100.52
0.06,0,38,432,1471,1084.38
0.06,0,39,429,1331,1022.34
0.06,0,40,429,1327,1020.66
0.06,0,41,375,1380,984.6
0.06,0,42,384,1356,984.24
0.06,0,43,324,1342,913.56
0.06,0,44,245,1233,782.46
0.06,0,45,219,1288,777.48
0.06,0,46,201,1266,748.8
0.06,0,47,200,1145,696.9
0.06,0,48,155,1136,644.52
0.06,0,49,121,1064,577.56
0.06,0,50,127,1006,559.68
0.06,0,51,99,942,502.56
0.06,0,52,63,909,449.82
0.06,0,53,84,837,442.26
0.06,0,54,57,787,392.1
0.06,0,55,56,690,350.28
0.06,0,56,31,631,298.5
0.06,0,57,34,593,285.78
0.06,0,58,22,570,263.16
0.06,0,59,25,510,241.2
0.06,0,60,22,456,215.28
0.06,0,61,7,373,164.22
0.06,0,62,3,309,133.02
0.06,0,63,3,274,118.32
0.06,0,64,1,226,96.0
0.06,0,65,2,199,85.74
0.06,0,66,2,169,73.14
0.06,0,67,0,165,69.3
0.06,0,68,1,130,55.68
0.06,0,69,2,97,42.9
0.06,0,70,0,76,31.92
0.06,0,71,0,55,23.1
0.06,0,72,0,44,18.48
