a,replicate,gen,num_dd, num_dwt, d_fitness
0.0637,0,0,1606,0,1734.48
0.0637,0,1,1226,618,1583.64
0.0637,0,2,1045,791,1460.82
0.0637,0,3,1012,991,1509.18
0.0637,0,4,1034,1056,1560.24
0.0637,0,5,920,1120,1464.0
0.0637,0,6,866,1181,1431.3
0.0637,0,7,766,1202,1332.12
0.0637,0,8,714,1219,1283.1
0.0637,0,9,643,1232,1211.88
0.0637,0,10,640,1397,1277.94
0.0637,0,11,561,1438,1209.84
0.0637,0,12,562,1435,1209.66
0.0637,0,13,511,1420,1148.28
0.0637,0,14,485,1386,1105.92
0.0637,0,15,446,1297,1026.42
0.0637,0,16,472,1381,1089.78
0.0637,0,17,380,1466,1026.12
0.0637,0,18,359,1392,972.36
0.0637,0,19,369,1366,972.24
0.0637,0,20,301,1337,886.62
0.0637,0,21,280,1340,865.2
0.0637,0,22,227,1359,815.94
0.0637,0,23,193,1220,720.84
0.0637,0,24,174,1178,682.68
0.0637,0,25,133,1116,612.36
0.0637,0,26,120,1085,585.3
0.0637,0,27,117,983,539.22
0.0637,0,28,82,905,468.66
0.0637,0,29,63,805,406.14
0.0637,0,30,59,744,376.2
0.0637,0,31,45,708,345.96
0.0637,0,32,50,622,315.24
0.0637,0,33,38,571,280.86
0.0637,0,34,28,507,243.18
0.0637,0,35,6,490,212.28
0.0637,0,36,17,416,193.08
0.0637,0,37,8,347,154.38
0.0637,0,38,6,286,126.6
0.0637,0,39,7,243,109.62
0.0637,0,40,3,201,87.66
0.0637,0,41,3,160,70.44
0.0637,0,42,0,140,58.8
0.0637,0,43,1,91,39.3
0.0637,0,44,3,81,37.26
0.0637,0,45,1,81,35.1
0.0637,0,46,0,63,26.46
0.0637,0,47,0,48,20.16
0.0637,0,48,0,48,20.16
0.0637,0,49,0,46,19.32
0.0637,0,50,0,37,15.54
0.0637,0,51,0,30,12.6
0.0637,0,52,0,26,10.92
0.0637,0,53,0,20,8.4
0.0637,0,54,0,17,7.14
0.0637,0,55,0,17,7.14
0.0637,0,56,0,13,5.46
0.0637,0,57,0,11,4.62
0.0637,0,58,0,4,1.68
0.0637,0,59,0,6,2.52
0.0637,0,60,0,6,2.52
0.0637,0,61,0,7,2.94
0.0637,0,62,0,8,3.36
0.0637,0,63,0,5,2.1
0.0637,0,64,0,1,0.42
0.0637,0,65,0,4,1.68
0.0637,0,66,0,3,1.26
0.0637,0,67,0,1,0.42
0.0637,0,68,0,0,0.0
0.0637,1,0,1687,0,1821.96
0.0637,1,1,1374,722,1787.16
0.0637,1,2,1282,928,1774.32
0.0637,1,3,1178,1105,1736.34
0.0637,1,4,1148,1244,1762.32
0.0637,1,5,1130,1246,1743.72
0.0637,1,6,1083,1341,1732.86
0.0637,1,7,964,1323,1596.78
0.0637,1,8,995,1430,1675.2
0.0637,1,9,1028,1353,1678.5
0.0637,1,10,1003,1445,1690.14
0.0637,1,11,1010,1387,1673.34
0.0637,1,12,1002,1427,1681.5
0.0637,1,13,1015,1455,1707.3
0.0637,1,14,960,1452,1646.64
0.0637,1,15,973,1466,1666.56
0.0637,1,16,973,1521,1689.66
0.0637,1,17,999,1529,1721.1
0.0637,1,18,1008,1634,1774.92
0.0637,1,19,1010,1615,1769.1
0.0637,1,20,1021,1640,1791.48
0.0637,1,21,931,1751,1740.9
0.0637,1,22,946,1740,1752.48
0.0637,1,23,936,1664,1709.76
