uprime_x0.47	uprime_x0.5	uprime_x0.54	u_x0.47	u_x0.5	u_x0.54
0.551724	0.942857	0.375	0.765625	0.981481	0.392857
0.75	1	0.230769	0.724138	1	0.321429
0.75	0.928571	0.142857	0.736842	1	0.257576
0.916667	0.969697	0.282051	0.82	1	0.428571
0.75	0.884615	0.392857	0.576923	0.833333	0.333333
0.789474	0.966667	0.413793	0.857143	0.982143	0.423077
0.75	0.970588	0.318182	0.704545	0.955556	0.358974
0.541667	0.90625	0.321429	0.5	0.903846	0.322917
0.821429	0.969697	0.321429	0.897059	0.974359	0.22973
0.714286	0.941176	0.296296	0.782051	0.833333	0.425
0.588235	0.941176	0.25	0.471429	0.972222	0.3
0.756757	0.966667	0.377778	0.75	1	0.368421
0.677419	0.875	0.458333	0.644444	0.833333	0.409091
0.69697	0.952381	0.321429	0.85	0.958333	0.242424
0.612903	0.96	0.227273	0.75	0.94	0.217391
0.740741	0.925	0.363636	0.706897	0.943182	0.4
0.684211	0.9	0.204545	0.596154	0.895833	0.272727
0.76	0.967742	0.121212	0.804878	1	0.166667
0.714286	0.961538	0.357143	0.671429	0.984848	0.232143
0.8	0.969697	0.241379	0.558824	1	0.413462
0.756098	0.96875	0.153846	0.743902	0.982759	0.333333
0.621622	0.96875	0.3125	0.6	0.9	0.414286
0.689655	0.833333	0.1875	0.78125	0.897436	0.184211
0.6875	0.954545	0.194444	0.608696	1	0.272727
0.689655	1	0.272727	0.828571	1	0.222222
0.621622	0.935484	0.2	0.790323	1	0.106061
0.677419	0.891892	0.4	0.804348	0.986111	0.289474
0.72973	0.884615	0.222222	0.625	0.972222	0.267442
