a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.08,1,0.47,1,0.942308,0.0,0.884615,0.0,0.115385,0.0,0.0,1.0
0.08,1,0.5,1,0.961538,0.0,0.923077,0.0,0.0769231,0.0,0.0,1.0
0.08,1,0.54,1,0.633333,0.0,0.153846,0.0,0.179487,0.0,0.0512821,1.0
0.08,1,0.47,2,0.875,0.9535,0.75,0.910159,0.25,0.0866818,0.0,0.00315896
0.08,1,0.5,2,1.0,0.969359,1.0,0.940111,0.0,0.0584958,0.0,0.00139276
0.08,1,0.54,2,0.759259,0.655963,0.833333,0.452297,0.611111,0.407332,0.0555556,0.140371
0.08,1,0.47,3,0.705882,0.89525,0.588235,0.805725,0.235294,0.17905,0.176471,0.0152253
0.08,1,0.5,3,0.954545,1.0,0.909091,1.0,0.0909091,0.0,0.0,0.0
0.08,1,0.54,3,0.763158,0.785855,0.30303,0.630393,0.272727,0.310925,0.0,0.0586822
0.08,1,0.47,4,0.590909,0.731978,0.363636,0.552822,0.454545,0.358311,0.181818,0.0888668
0.08,1,0.5,4,0.9375,0.963634,0.875,0.929218,0.125,0.068831,0.0,0.00195099
0.08,1,0.54,4,0.555556,0.789713,0.375,0.636157,0.5,0.30711,0.25,0.0567322
0.08,1,0.47,5,0.66,0.610329,0.44,0.396714,0.44,0.42723,0.12,0.176056
0.08,1,0.5,5,1.0,0.94948,1.0,0.902675,0.0,0.0936107,0.0,0.00371471
0.08,1,0.54,5,0.673077,0.571802,1.25,0.35248,1.875,0.438642,0.125,0.208877
0.08,1,0.47,6,0.735294,0.684233,0.529412,0.488503,0.411765,0.39146,0.0588235,0.120037
0.08,1,0.5,6,0.9375,1.0,0.875,1.0,0.125,0.0,0.0,0.0
0.08,1,0.54,6,0.578947,0.697963,0.25,0.506586,0.1875,0.382754,0.15625,0.11066
0.08,1,0.47,7,0.652778,0.761905,0.444444,0.595238,0.416667,0.333333,0.138889,0.0714286
