a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,21,0.3,0.377229,0.04,0.165981,0.52,0.422497,0.44,0.411523
0.0688,1,0.5,21,0.142857,0.338335,0.0,0.136159,0.285714,0.404351,0.714286,0.45949
0.0688,1,0.54,21,0.128571,0.273268,0.0,0.0920925,0.321429,0.362351,0.928571,0.545556
0.0688,1,0.47,22,0.289474,0.291064,0.0,0.103404,0.578947,0.375319,0.421053,0.521277
0.0688,1,0.5,22,0.192308,0.129771,0.0,0.0229008,0.384615,0.21374,0.615385,0.763359
0.0688,1,0.54,22,0.15,0.115972,0.0,0.0184916,0.461538,0.194961,1.07692,0.786548
0.0688,1,0.47,23,0.176471,0.279809,0.0882353,0.0961844,0.176471,0.36725,0.735294,0.536566
0.0688,1,0.5,23,0.222222,0.178771,0.0,0.0418994,0.444444,0.273743,0.555556,0.684358
0.0688,1,0.54,23,0.223684,0.136733,0.444444,0.0252862,1.0,0.222893,2.77778,0.751821
0.0688,1,0.47,24,0.152778,0.162878,0.0277778,0.0351817,0.25,0.255393,0.722222,0.709425
0.0688,1,0.5,24,0.14,0.209266,0.0,0.0562207,0.28,0.306091,0.72,0.637689
0.0688,1,0.54,24,0.078125,0.210771,0.0,0.0569753,0.2,0.307592,1.08,0.635432
0.0688,1,0.47,25,0.170455,0.139451,0.0454545,0.0262464,0.25,0.226409,0.704545,0.747345
0.0688,1,0.5,25,0.204545,0.126998,0.0,0.0219804,0.409091,0.210035,0.590909,0.767985
0.0688,1,0.54,25,0.185714,0.0686382,0.0,0.00674393,0.590909,0.123789,1.0,0.869467
0.0688,1,0.47,26,0.103448,0.156889,0.0,0.0327864,0.206897,0.248206,0.793103,0.719008
0.0688,1,0.5,26,0.182927,0.191173,0.0243902,0.0475001,0.317073,0.287346,0.658537,0.665154
0.0688,1,0.54,26,0.0769231,0.172132,0.0,0.03903,0.0487805,0.266205,0.268293,0.694765
0.0688,1,0.47,27,0.0,0.0921201,0.0,0.0119007,0.0,0.160439,1.0,0.827661
0.0688,1,0.5,27,0.181818,0.169335,0.0,0.0378481,0.363636,0.262974,0.636364,0.699178
0.0688,1,0.54,27,0.0681818,0.0675381,0.0,0.00653595,0.136364,0.122004,0.863636,0.87146
0.0688,1,0.47,28,0.19697,0.0,0.0606061,0.0,0.272727,0.0,0.666667,1.0
0.0688,1,0.5,28,0.0769231,0.168224,0.0,0.0373832,0.153846,0.261682,0.846154,0.700935
0.0688,1,0.54,28,0.0869565,0.0595775,0.0,0.00512291,0.102564,0.108909,0.487179,0.885968
0.0688,1,0.47,29,0.172414,0.183483,0.0344828,0.0439909,0.275862,0.278985,0.689655,0.677024
0.0688,1,0.5,29,0.166667,0.0675381,0.037037,0.00653595,0.259259,0.122004,0.703704,0.87146
0.0688,1,0.54,29,0.0625,0.076762,0.0,0.00837404,0.111111,0.136776,0.777778,0.85485
0.0688,1,0.47,30,0.1,0.158837,0.0,0.033557,0.2,0.250559,0.8,0.715884
0.0688,1,0.5,30,0.189189,0.153132,0.0,0.0313225,0.378378,0.243619,0.621622,0.725058
0.0688,1,0.54,30,0.0294118,0.0544413,0.0,0.00429799,0.027027,0.100287,0.432432,0.895415
0.0688,1,0.47,31,0.05,0.0888889,0.0,0.0111111,0.1,0.155556,0.9,0.833333
0.0688,1,0.5,31,0.0322581,0.175627,0.0,0.0405294,0.0645161,0.270196,0.935484,0.689275
0.0688,1,0.54,31,0.114286,0.0251414,0.0,0.000942803,0.258065,0.0483972,0.870968,0.95066
0.0688,1,0.47,32,0.18,0.0432487,0.0,0.00274112,0.36,0.0810152,0.64,0.916244
0.0688,1,0.5,32,0.0416667,0.0276201,0.0,0.00113507,0.0833333,0.0529701,0.916667,0.945895
0.0688,1,0.54,32,0.0263158,0.102343,0.0,0.0145626,0.0833333,0.17556,1.5,0.809877
0.0688,1,0.47,33,0.0833333,0.166404,0.0,0.036627,0.166667,0.259555,0.833333,0.703818
0.0688,1,0.5,33,0.0681818,0.03587,0.0,0.001899,0.136364,0.067942,0.863636,0.930159
0.0688,1,0.54,33,0.0576923,0.0224543,0.0,0.000754064,0.136364,0.0434005,1.04545,0.955845
0.0688,1,0.47,34,0.0961538,0.0734206,0.0,0.00768355,0.192308,0.131474,0.807692,0.860842
0.0688,1,0.5,34,0.0,0.0595775,0.0,0.00512291,0.0,0.108909,1.0,0.885968
0.0688,1,0.54,34,0.0,0.0501189,0.0,0.00365733,0.0,0.0929232,0.535714,0.90342
0.0688,1,0.47,35,0.0,0.0852972,0.0,0.010263,0.0,0.150068,1.0,0.839669
0.0688,1,0.5,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,35,0.0,0.0,0.0,0.0,0.0,0.0,1.03704,1.0
0.0688,1,0.47,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,36,0.02,0.0,0.0,0.0,0.04,0.0,0.96,1.0
0.0688,1,0.54,36,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0
0.0688,1,0.47,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,37,0.0,0.0170021,0.0,0.000434713,0.0,0.0331348,1.0,0.966431
0.0688,1,0.54,37,0.0,0.0,0.0,0.0,0.0,0.0,1.43478,1.0
0.0688,1,0.47,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,38,0.0178571,0.0,0.0,0.0,0.0294118,0.0,0.794118,1.0
0.0688,1,0.47,39,0.0375,0.0,0.0,0.0,0.075,0.0,0.925,1.0
0.0688,1,0.5,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,39,0.0185185,0.0151612,0.0,0.000346323,0.0227273,0.0296298,0.590909,0.970024
