a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.54,20,0.407407,0.384982,0.116279,0.172229,0.27907,0.425507,0.232558,0.402265
0.0688,1,0.47,21,0.62,0.352941,0.44,0.147059,0.36,0.411765,0.2,0.441176
0.0688,1,0.5,21,0.946429,0.687171,0.892857,0.492345,0.107143,0.389653,0.0,0.118003
0.0688,1,0.54,21,0.653846,0.408172,0.214286,0.191512,0.178571,0.43332,0.0714286,0.375169
0.0688,1,0.47,22,0.558824,0.641702,0.294118,0.43455,0.529412,0.414302,0.176471,0.151147
0.0688,1,0.5,22,0.76087,0.956928,0.652174,0.916576,0.217391,0.0807048,0.130435,0.00271916
0.0688,1,0.54,22,0.6,0.677741,0.521739,0.480066,0.521739,0.395349,0.26087,0.124585
0.0688,1,0.47,23,0.560606,0.575379,0.393939,0.356485,0.333333,0.437788,0.272727,0.205727
0.0688,1,0.5,23,0.814286,0.78745,0.628571,0.632772,0.371429,0.309355,0.0,0.0578726
0.0688,1,0.54,23,0.397059,0.620168,0.0571429,0.408403,0.657143,0.423529,0.257143,0.168067
0.0688,1,0.47,24,0.553571,0.577328,0.321429,0.358676,0.464286,0.437305,0.214286,0.204019
0.0688,1,0.5,24,0.73913,0.83923,0.521739,0.712789,0.434783,0.25288,0.0434783,0.0343301
0.0688,1,0.54,24,0.529412,0.396758,0.173913,0.18191,0.434783,0.429696,0.130435,0.388394
0.0688,1,0.47,25,0.434783,0.569628,0.130435,0.350058,0.608696,0.439141,0.26087,0.210801
0.0688,1,0.5,25,0.545455,0.765766,0.181818,0.600832,0.727273,0.329868,0.0909091,0.0693001
0.0688,1,0.54,25,0.5,0.543092,0.363636,0.321098,0.227273,0.443988,0.363636,0.234914
0.0688,1,0.47,26,0.8,0.438434,0.65,0.218006,0.3,0.440856,0.05,0.341138
0.0688,1,0.5,26,0.729167,0.560728,0.541667,0.340217,0.375,0.441022,0.0833333,0.218761
0.0688,1,0.54,26,0.5,0.510638,0.208333,0.287234,0.25,0.446809,0.208333,0.265957
0.0688,1,0.47,27,0.5,0.8256,0.192308,0.6912,0.615385,0.2688,0.192308,0.04
0.0688,1,0.5,27,0.807692,0.755717,0.641026,0.586332,0.333333,0.33877,0.025641,0.0748981
0.0688,1,0.54,27,0.631579,0.510638,0.179487,0.287234,0.25641,0.446809,0.0512821,0.265957
0.0688,1,0.47,28,0.612903,0.510638,0.451613,0.287234,0.322581,0.446809,0.225806,0.265957
0.0688,1,0.5,28,0.52381,0.83296,0.238095,0.70281,0.571429,0.2603,0.190476,0.0368906
0.0688,1,0.54,28,0.535714,0.654091,0.285714,0.449948,0.142857,0.408286,0.238095,0.141766
0.0688,1,0.47,29,0.564516,0.634079,0.322581,0.425206,0.483871,0.417746,0.193548,0.157048
0.0688,1,0.5,29,0.68,0.536921,0.56,0.314528,0.24,0.444787,0.2,0.240685
