a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.0662,1,0,1652,0,3304,1784.16,decrease
0.0662,1,1,1349,587,3285,1703.46,decrease
0.0662,1,2,1327,778,3432,1759.92,decrease
0.0662,1,3,1287,980,3554,1801.56,decrease
0.0662,1,4,1239,1099,3577,1799.7,decrease
0.0662,1,5,1147,1381,3675,1818.78,decrease
0.0662,1,6,1165,1293,3623,1801.26,decrease
0.0662,1,7,1036,1331,3403,1677.9,decrease
0.0662,1,8,1091,1415,3597,1772.58,decrease
0.0662,1,9,1039,1506,3584,1754.64,decrease
0.0662,1,10,966,1525,3457,1683.78,decrease
0.0662,1,11,949,1505,3403,1657.02,decrease
0.0662,1,12,931,1573,3435,1666.14,decrease
0.0662,1,13,962,1676,3600,1742.88,decrease
0.0662,1,14,953,1587,3493,1695.78,decrease
0.0662,1,15,970,1680,3620,1753.2,decrease
0.0662,1,16,900,1540,3340,1618.8,decrease
0.0662,1,17,888,1622,3398,1640.28,decrease
0.0662,1,18,843,1663,3349,1608.9,decrease
0.0662,1,19,885,1539,3309,1602.18,decrease
0.0662,1,20,830,1532,3192,1539.84,decrease
0.0662,1,21,874,1626,3374,1626.84,decrease
0.0662,1,22,857,1601,3315,1597.98,decrease
0.0662,1,23,845,1599,3289,1584.18,decrease
0.0662,1,24,798,1605,3201,1535.94,decrease
0.0662,1,25,832,1552,3216,1550.4,decrease
0.0662,1,26,762,1640,3164,1511.76,decrease
0.0662,1,27,733,1559,3025,1446.42,decrease
0.0662,1,28,824,1620,3268,1570.32,decrease
0.0662,1,29,807,1687,3301,1580.1,decrease
0.0662,1,30,761,1677,3199,1526.22,decrease
0.0662,1,31,719,1661,3099,1474.14,decrease
0.0662,1,32,689,1590,2968,1411.92,decrease
0.0662,1,33,657,1685,2999,1417.26,decrease
0.0662,1,34,636,1628,2900,1370.64,decrease
0.0662,1,35,576,1579,2731,1285.26,decrease
0.0662,1,36,532,1654,2718,1269.24,decrease
0.0662,1,37,517,1588,2622,1225.32,decrease
0.0662,1,38,467,1613,2547,1181.82,decrease
0.0662,1,39,451,1596,2498,1157.4,decrease
0.0662,1,40,426,1459,2311,1072.86,decrease
0.0662,1,41,342,1538,2222,1015.32,decrease
0.0662,1,42,353,1355,2061,950.34,decrease
0.0662,1,43,311,1435,2057,938.58,decrease
0.0662,1,44,282,1335,1899,865.26,decrease
0.0662,1,45,266,1184,1716,784.56,decrease
0.0662,1,46,219,1146,1584,717.84,decrease
0.0662,1,47,211,1098,1520,689.04,decrease
0.0662,1,48,170,1023,1363,613.26,decrease
0.0662,1,49,165,1019,1349,606.18,decrease
0.0662,1,50,173,990,1336,602.64,decrease
0.0662,1,51,170,960,1300,586.8,decrease
0.0662,1,52,116,939,1171,519.66,decrease
0.0662,1,53,90,852,1032,455.04,decrease
0.0662,1,54,97,808,1002,444.12,decrease
0.0662,1,55,60,775,895,390.3,decrease
0.0662,1,56,47,684,778,338.04,decrease
0.0662,1,57,33,593,659,284.7,decrease
0.0662,1,58,32,493,557,241.62,decrease
0.0662,1,59,27,453,507,219.42,decrease
0.0662,1,60,13,389,415,177.42,decrease
0.0662,1,61,10,335,355,151.5,decrease
0.0662,1,62,10,283,303,129.66,decrease
0.0662,1,63,9,260,278,118.92,decrease
0.0662,1,64,1,227,229,96.42,decrease
0.0662,1,65,2,195,199,84.06,decrease
0.0662,1,66,2,162,166,70.2,decrease
0.0662,1,67,0,148,148,62.16,decrease
0.0662,1,68,0,122,122,51.24,decrease
0.0662,1,69,0,106,106,44.52,decrease
0.0662,1,70,0,82,82,34.44,decrease
0.0662,1,71,0,73,73,30.66,decrease
0.0662,1,72,0,60,60,25.2,decrease
0.0662,1,73,0,54,54,22.68,decrease
0.0662,1,74,0,41,41,17.22,decrease
0.0662,1,75,0,49,49,20.58,decrease
0.0662,1,76,0,51,51,21.42,decrease
0.0662,1,77,0,53,53,22.26,decrease
0.0662,1,78,0,48,48,20.16,decrease
0.0662,1,79,0,38,38,15.96,decrease
0.0662,1,80,0,33,33,13.86,decrease
0.0662,1,81,0,37,37,15.54,decrease
0.0662,1,82,0,34,34,14.28,decrease
0.0662,1,83,0,24,24,10.08,decrease
0.0662,1,84,0,21,21,8.82,decrease
0.0662,1,85,0,21,21,8.82,decrease
0.0662,1,86,0,22,22,9.24,decrease
0.0662,1,87,0,21,21,8.82,decrease
0.0662,1,88,0,13,13,5.46,decrease
0.0662,1,89,0,5,5,2.1,decrease
0.0662,1,90,0,3,3,1.26,decrease
0.0662,1,91,0,5,5,2.1,decrease
0.0662,1,92,0,1,1,0.42,decrease
0.0662,1,93,0,0,0,0,decrease
0.0662,2,0,1595,0,3190,1722.6,decrease
0.0662,2,1,1397,678,3472,1793.52,decrease
0.0662,2,2,1336,805,3477,1780.98,decrease
0.0662,2,3,1348,996,3692,1874.16,decrease
0.0662,2,4,1312,1092,3716,1875.6,decrease
0.0662,2,5,1229,1113,3571,1794.78,decrease
0.0662,2,6,1159,1222,3540,1764.96,decrease
0.0662,2,7,1165,1380,3710,1837.8,decrease
0.0662,2,8,1111,1479,3701,1821.06,decrease
0.0662,2,9,1138,1542,3818,1876.68,decrease
0.0662,2,10,1010,1522,3542,1730.04,decrease
0.0662,2,11,1022,1490,3534,1729.56,decrease
0.0662,2,12,1003,1589,3595,1750.62,decrease
0.0662,2,13,953,1587,3493,1695.78,decrease
0.0662,2,14,968,1528,3464,1687.2,decrease
