a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.08,1,0,2076,0,4152,2242.08,increase
0.08,1,1,1956,692,4604,2403.12,increase
0.08,1,2,1791,877,4459,2302.62,increase
0.08,1,3,1713,1020,4446,2278.44,increase
0.08,1,4,1650,1021,4321,2210.82,increase
0.08,1,5,1664,1135,4463,2273.82,increase
0.08,1,6,1606,1263,4475,2264.94,increase
0.08,1,7,1618,1345,4581,2312.34,increase
0.08,1,8,1635,1435,4705,2368.5,increase
0.08,1,9,1608,1451,4667,2346.06,increase
0.08,1,10,1576,1422,4574,2299.32,increase
0.08,1,11,1566,1452,4584,2301.12,increase
0.08,1,12,1477,1425,4379,2193.66,increase
0.08,1,13,1534,1537,4605,2302.26,increase
0.08,1,14,1641,1480,4762,2393.88,increase
0.08,1,15,1668,1534,4870,2445.72,increase
0.08,1,16,1592,1565,4749,2376.66,increase
0.08,1,17,1488,1601,4577,2279.46,increase
0.08,1,18,1526,1695,4747,2359.98,increase
0.08,1,19,1583,1672,4838,2411.88,increase
0.08,1,20,1679,1633,4991,2499.18,increase
0.08,1,21,1734,1615,5083,2551.02,increase
0.08,1,22,1842,1661,5345,2686.98,increase
0.08,1,23,1892,1739,5523,2773.74,increase
0.08,1,24,2026,1666,5718,2887.8,increase
0.08,1,25,2052,1714,5818,2936.04,increase
0.08,1,26,2119,1657,5895,2984.46,increase
0.08,1,27,2125,1664,5914,2993.88,increase
0.08,1,28,2193,1652,6038,3062.28,increase
0.08,1,29,2263,1755,6281,3181.14,increase
0.08,1,30,2222,1747,6191,3133.5,increase
0.08,1,31,2451,1788,6690,3398.04,increase
0.08,1,32,2531,1702,6764,3448.32,increase
0.08,1,33,2553,1743,6849,3489.3,increase
0.08,1,34,2529,1869,6927,3516.3,increase
0.08,1,35,2486,1836,6808,3456,increase
0.08,1,36,2514,1925,6953,3523.62,increase
0.08,1,37,2587,1889,7063,3587.34,increase
0.08,1,38,2659,1865,7183,3655.02,increase
0.08,1,39,2826,1878,7530,3840.84,increase
0.08,1,40,2825,1861,7511,3832.62,increase
0.08,1,41,2869,1871,7609,3884.34,increase
0.08,1,42,2908,1857,7673,3920.58,increase
0.08,1,43,2864,1955,7683,3914.22,increase
0.08,1,44,3047,1871,7965,4076.58,increase
0.08,1,45,3031,1825,7887,4039.98,increase
0.08,1,46,3121,1840,8082,4143.48,increase
0.08,1,47,3173,1782,8128,4175.28,increase
0.08,1,48,3261,1787,8309,4272.42,increase
0.08,1,49,3337,1825,8499,4370.46,increase
0.08,1,50,3427,1841,8695,4474.38,increase
0.08,1,51,3606,1883,9095,4685.34,increase
0.08,1,52,3531,1846,8908,4588.8,increase
0.08,1,53,3458,1814,8730,4496.52,increase
0.08,1,54,3422,1835,8679,4466.46,increase
0.08,1,55,3487,1838,8812,4537.92,increase
0.08,1,56,3505,1762,8772,4525.44,increase
0.08,1,57,3628,1817,9073,4681.38,increase
0.08,1,58,3743,1814,9300,4804.32,increase
0.08,1,59,3841,1869,9551,4933.26,increase
0.08,1,60,3929,1910,9768,5045.52,increase
0.08,1,61,4079,1935,10093,5218.02,increase
0.08,1,62,3985,1932,9902,5115.24,increase
0.08,1,63,3974,1876,9824,5079.84,increase
0.08,1,64,4103,1913,10119,5234.7,increase
0.08,1,65,4258,1866,10382,5382.36,increase
0.08,1,66,4281,1805,10367,5381.58,increase
0.08,1,67,4418,1703,10539,5486.7,increase
0.08,1,68,4543,1748,10834,5640.6,increase
0.08,1,69,4777,1641,11195,5848.38,increase
0.08,1,70,4871,1688,11430,5969.64,increase
0.08,1,71,4845,1731,11421,5959.62,increase
0.08,1,72,4849,1793,11491,5989.98,increase
0.08,1,73,4864,1740,11468,5983.92,increase
0.08,1,74,4794,1808,11396,5936.88,increase
0.08,1,75,4793,1814,11400,5938.32,increase
0.08,1,76,4943,1908,11794,6139.8,increase
0.08,1,77,5046,1938,12030,6263.64,increase
0.08,1,78,5037,1925,11999,6248.46,increase
0.08,1,79,5134,1812,12080,6305.76,increase
0.08,1,80,5050,1856,11956,6233.52,increase
0.08,1,81,5018,1816,11852,6182.16,increase
0.08,1,82,5252,1835,12339,6442.86,increase
0.08,1,83,5356,1849,12561,6561.06,increase
0.08,1,84,5426,1866,12718,6643.8,increase
0.08,1,85,5256,1834,12346,6446.76,increase
0.08,1,86,5250,1813,12313,6431.46,increase
0.08,1,87,5320,1745,12385,6478.5,increase
0.08,1,88,5500,1749,12749,6674.58,increase
0.08,1,89,5673,1707,13053,6843.78,increase
0.08,1,90,5717,1731,13165,6901.38,increase
0.08,1,91,5730,1777,13237,6934.74,increase
0.08,1,92,5813,1725,13351,7002.54,increase
0.08,1,93,5917,1732,13566,7117.8,increase
0.08,1,94,5978,1838,13794,7228.2,increase
0.08,1,95,5956,1833,13745,7202.34,increase
0.08,1,96,5920,1707,13547,7110.54,increase
0.08,1,97,6046,1773,13865,7274.34,increase
0.08,1,98,6212,1819,14243,7472.94,increase
0.08,1,99,6281,1835,14397,7554.18,increase
0.08,1,100,6239,1716,14194,7458.84,increase
0.08,2,0,2053,0,4106,2217.24,increase
0.08,2,1,1735,602,4072,2126.64,increase
0.08,2,2,1624,900,4148,2131.92,increase
0.08,2,3,1518,1081,4117,2093.46,increase
0.08,2,4,1529,1197,4255,2154.06,increase
0.08,2,5,1426,1217,4069,2051.22,increase
0.08,2,6,1284,1349,3917,1953.3,increase
0.08,2,7,1365,1373,4103,2050.86,increase
0.08,2,8,1337,1379,4053,2023.14,increase
0.08,2,9,1288,1439,4015,1995.42,increase
0.08,2,10,1260,1535,4055,2005.5,increase
0.08,2,11,1316,1508,4140,2054.64,increase
0.08,2,12,1366,1614,4346,2153.16,increase
0.08,2,13,1447,1651,4545,2256.18,increase
0.08,2,14,1460,1586,4506,2242.92,increase
0.08,2,15,1382,1591,4355,2160.78,increase
0.08,2,16,1404,1546,4354,2165.64,increase
0.08,2,17,1530,1585,4645,2318.1,increase
0.08,2,18,1568,1596,4732,2363.76,increase
0.08,2,19,1679,1564,4922,2470.2,increase
0.08,2,20,1701,1638,5040,2525.04,increase
0.08,2,21,1723,1781,5227,2608.86,increase
0.08,2,22,1805,1737,5347,2678.94,increase
0.08,2,23,1803,1732,5338,2674.68,increase
0.08,2,24,1839,1848,5526,2762.28,increase
0.08,2,25,1739,1903,5381,2677.38,increase
0.08,2,26,1771,1816,5358,2675.4,increase
0.08,2,27,1874,1849,5597,2800.5,increase
0.08,2,28,1890,1829,5609,2809.38,increase
0.08,2,29,2128,1775,6031,3043.74,increase
0.08,2,30,2236,1764,6236,3155.76,increase
0.08,2,31,2324,1805,6453,3268.02,increase
0.08,2,32,2323,1723,6369,3232.5,increase
0.08,2,33,2415,1681,6511,3314.22,increase
0.08,2,34,2392,1705,6489,3299.46,increase
0.08,2,35,2406,1683,6495,3305.34,increase
0.08,2,36,2499,1629,6627,3383.1,increase
0.08,2,37,2582,1722,6886,3511.8,increase
0.08,2,38,2582,1785,6949,3538.26,increase
0.08,2,39,2605,1792,7002,3566.04,increase
0.08,2,40,2778,1804,7360,3757.92,increase
0.08,2,41,2765,1779,7309,3733.38,increase
0.08,2,42,2872,1838,7582,3873.72,increase
0.08,2,43,3036,1843,7915,4052.94,increase
0.08,2,44,3095,1710,7900,4060.8,increase
0.08,2,45,3164,1671,7999,4118.94,increase
0.08,2,46,3349,1733,8431,4344.78,increase
0.08,2,47,3360,1751,8471,4364.22,increase
0.08,2,48,3362,1737,8461,4360.5,increase
0.08,2,49,3420,1618,8458,4373.16,increase
0.08,2,50,3561,1679,8801,4551.06,increase
0.08,2,51,3635,1639,8909,4614.18,increase
0.08,2,52,3722,1584,9028,4685.04,increase
0.08,2,53,3919,1745,9583,4965.42,increase
0.08,2,54,3938,1721,9597,4975.86,increase
0.08,2,55,4141,1713,9995,5191.74,increase
0.08,2,56,4177,1745,10099,5244.06,increase
0.08,2,57,4068,1685,9821,5101.14,increase
0.08,2,58,4246,1796,10288,5340,increase
0.08,2,59,4166,1945,10277,5316.18,increase
0.08,2,60,4269,1873,10411,5397.18,increase
0.08,2,61,4323,1853,10499,5447.1,increase
0.08,2,62,4517,1739,10773,5608.74,increase
0.08,2,63,4542,1788,10872,5656.32,increase
0.08,2,64,4611,1748,10970,5714.04,increase
0.08,2,65,4503,1754,10760,5599.92,increase
0.08,2,66,4505,1669,10679,5566.38,increase
0.08,2,67,4494,1726,10714,5578.44,increase
0.08,2,68,4665,1732,11062,5765.64,increase
0.08,2,69,4886,1829,11601,6045.06,increase
0.08,2,70,5041,1744,11826,6176.76,increase
0.08,2,71,4918,1778,11614,6058.2,increase
