a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.07,1,0,1816,0,3632,1961.28,decrease
0.07,1,1,1587,657,3831,1989.9,decrease
0.07,1,2,1384,1011,3779,1919.34,decrease
0.07,1,3,1256,1042,3554,1794.12,decrease
0.07,1,4,1138,1210,3486,1737.24,decrease
0.07,1,5,1151,1204,3506,1748.76,decrease
0.07,1,6,1066,1224,3356,1665.36,decrease
0.07,1,7,1044,1295,3383,1671.42,decrease
0.07,1,8,1036,1401,3473,1707.3,decrease
0.07,1,9,942,1348,3232,1583.52,decrease
0.07,1,10,976,1401,3353,1642.5,decrease
0.07,1,11,972,1414,3358,1643.64,decrease
0.07,1,12,961,1431,3353,1638.9,decrease
0.07,1,13,1022,1406,3450,1694.28,decrease
0.07,1,14,953,1525,3431,1669.74,decrease
0.07,1,15,987,1596,3570,1736.28,decrease
0.07,1,16,927,1531,3385,1644.18,decrease
0.07,1,17,978,1535,3491,1700.94,decrease
0.07,1,18,881,1670,3432,1652.88,decrease
0.07,1,19,1013,1684,3710,1801.32,decrease
0.07,1,20,931,1777,3639,1751.82,decrease
0.07,1,21,893,1658,3444,1660.8,decrease
0.07,1,22,863,1763,3489,1672.5,decrease
0.07,1,23,806,1737,3349,1600.02,decrease
0.07,1,24,794,1759,3347,1596.3,decrease
0.07,1,25,867,1725,3459,1660.86,decrease
0.07,1,26,866,1622,3354,1616.52,decrease
0.07,1,27,834,1643,3311,1590.78,decrease
0.07,1,28,926,1725,3577,1724.58,decrease
0.07,1,29,946,1786,3678,1771.8,decrease
0.07,1,30,976,1688,3640,1763.04,decrease
0.07,1,31,924,1812,3660,1758.96,decrease
0.07,1,32,957,1803,3717,1790.82,decrease
0.07,1,33,924,1755,3603,1735.02,decrease
0.07,1,34,851,1652,3354,1612.92,decrease
0.07,1,35,775,1720,3270,1559.4,decrease
0.07,1,36,819,1695,3333,1596.42,decrease
0.07,1,37,839,1654,3332,1600.8,decrease
0.07,1,38,789,1789,3367,1603.5,decrease
0.07,1,39,873,1797,3543,1697.58,decrease
0.07,1,40,874,1680,3428,1649.52,decrease
0.07,1,41,786,1632,3204,1534.32,decrease
0.07,1,42,698,1672,3068,1456.08,decrease
0.07,1,43,710,1560,2980,1422,decrease
0.07,1,44,656,1575,2887,1369.98,decrease
0.07,1,45,646,1580,2872,1361.28,decrease
0.07,1,46,620,1744,2984,1402.08,decrease
0.07,1,47,593,1636,2822,1327.56,decrease
0.07,1,48,567,1634,2768,1298.64,decrease
0.07,1,49,550,1615,2715,1272.3,decrease
0.07,1,50,545,1548,2638,1238.76,decrease
0.07,1,51,493,1550,2536,1183.44,decrease
0.07,1,52,535,1462,2532,1191.84,decrease
0.07,1,53,468,1492,2428,1132.08,decrease
0.07,1,54,447,1480,2374,1104.36,decrease
0.07,1,55,412,1358,2182,1015.32,decrease
0.07,1,56,388,1348,2124,985.2,decrease
0.07,1,57,417,1345,2179,1015.26,decrease
0.07,1,58,369,1358,2096,968.88,decrease
0.07,1,59,370,1436,2176,1002.72,decrease
0.07,1,60,306,1365,1977,903.78,decrease
0.07,1,61,293,1281,1867,854.46,decrease
0.07,1,62,264,1189,1717,784.5,decrease
0.07,1,63,220,1144,1584,718.08,decrease
0.07,1,64,199,1092,1490,673.56,decrease
0.07,1,65,159,1017,1335,598.86,decrease
0.07,1,66,137,966,1240,553.68,decrease
0.07,1,67,126,860,1112,497.28,decrease
0.07,1,68,87,847,1021,449.7,decrease
0.07,1,69,78,796,952,418.56,decrease
0.07,1,70,60,767,887,386.94,decrease
0.07,1,71,52,684,788,343.44,decrease
0.07,1,72,19,610,648,276.72,decrease
0.07,1,73,30,498,558,241.56,decrease
0.07,1,74,22,443,487,209.82,decrease
0.07,1,75,18,429,465,199.62,decrease
0.07,1,76,10,380,400,170.4,decrease
0.07,1,77,14,350,378,162.12,decrease
0.07,1,78,11,282,304,130.32,decrease
0.07,1,79,3,260,266,112.44,decrease
0.07,1,80,3,242,248,104.88,decrease
0.07,1,81,0,213,213,89.46,decrease
0.07,1,82,1,187,189,79.62,decrease
0.07,1,83,1,168,170,71.64,decrease
0.07,1,84,0,162,162,68.04,decrease
0.07,1,85,0,147,147,61.74,decrease
0.07,1,86,0,120,120,50.4,decrease
0.07,1,87,0,99,99,41.58,decrease
0.07,1,88,0,89,89,37.38,decrease
0.07,1,89,0,66,66,27.72,decrease
0.07,1,90,0,63,63,26.46,decrease
0.07,1,91,0,58,58,24.36,decrease
0.07,1,92,0,43,43,18.06,decrease
0.07,1,93,1,45,47,19.98,decrease
0.07,1,94,0,37,37,15.54,decrease
0.07,1,95,0,22,22,9.24,decrease
0.07,1,96,0,21,21,8.82,decrease
0.07,1,97,0,19,19,7.98,decrease
0.07,1,98,0,10,10,4.2,decrease
0.07,1,99,0,14,14,5.88,decrease
0.07,1,100,0,10,10,4.2,decrease
0.07,2,0,1854,0,3708,2002.32,increase
0.07,2,1,1518,690,3726,1929.24,increase
0.07,2,2,1422,877,3721,1904.1,increase
0.07,2,3,1289,1104,3682,1855.8,increase
0.07,2,4,1242,1189,3673,1840.74,increase
0.07,2,5,1215,1222,3652,1825.44,increase
0.07,2,6,1117,1383,3617,1787.22,increase
0.07,2,7,1119,1337,3575,1770.06,increase
0.07,2,8,1075,1387,3537,1743.54,increase
0.07,2,9,1028,1420,3476,1706.64,increase
0.07,2,10,1007,1440,3454,1692.36,increase
