a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.25,1,0,6367,0,12734,6876.36,increase
0.25,1,1,6595,693,13883,7413.66,increase
0.25,1,2,6519,928,13966,7430.28,increase
0.25,1,3,6869,1148,14886,7900.68,increase
0.25,1,4,6709,1338,14756,7807.68,increase
0.25,1,5,6831,1447,15109,7985.22,increase
0.25,1,6,6485,1573,14543,7664.46,increase
0.25,1,7,6408,1464,14280,7535.52,increase
0.25,1,8,6386,1545,14317,7545.78,increase
0.25,1,9,6572,1521,14665,7736.58,increase
0.25,1,10,6695,1600,14990,7902.6,increase
0.25,1,11,6717,1619,15053,7934.34,increase
0.25,1,12,6610,1599,14819,7810.38,increase
0.25,1,13,6903,1548,15354,8105.4,increase
0.25,1,14,6743,1687,15173,7990.98,increase
0.25,1,15,6964,1669,15597,8222.1,increase
0.25,1,16,7086,1626,15798,8335.8,increase
0.25,1,17,7336,1713,16385,8642.34,increase
0.25,1,18,7282,1661,16225,8562.18,increase
0.25,1,19,7485,1553,16523,8736.06,increase
0.25,1,20,7519,1476,16514,8740.44,increase
0.25,1,21,7530,1533,16593,8776.26,increase
0.25,1,22,7616,1551,16783,8876.7,increase
0.25,1,23,7566,1579,16711,8834.46,increase
0.25,1,24,7580,1594,16754,8855.88,increase
0.25,1,25,7623,1718,16964,8954.4,increase
0.25,1,26,7529,1705,16763,8847.42,increase
0.25,1,27,7566,1648,16780,8863.44,increase
0.25,1,28,7706,1629,17041,9006.66,increase
0.25,1,29,7495,1584,16574,8759.88,increase
0.25,1,30,7510,1619,16639,8790.78,increase
0.25,1,31,7554,1629,16737,8842.5,increase
0.25,1,32,7649,1632,16930,8946.36,increase
0.25,1,33,7653,1723,17029,8988.9,increase
0.25,1,34,7926,1613,17465,9237.54,increase
0.25,1,35,7649,1615,16913,8939.22,increase
0.25,1,36,7874,1633,17381,9189.78,increase
0.25,1,37,8069,1693,17831,9425.58,increase
0.25,1,38,8395,1649,18439,9759.18,increase
0.25,1,39,8413,1609,18435,9761.82,increase
0.25,1,40,8472,1696,18640,9862.08,increase
0.25,1,41,8403,1680,18486,9780.84,increase
0.25,1,42,8495,1694,18684,9886.08,increase
