a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.0739,1,0,1937,0,3874,2091.96,increase
0.0739,1,1,1682,663,4027,2095.02,increase
0.0739,1,2,1572,911,4055,2080.38,increase
0.0739,1,3,1448,1064,3960,2010.72,increase
0.0739,1,4,1340,1159,3839,1933.98,increase
0.0739,1,5,1327,1332,3986,1992.6,increase
0.0739,1,6,1284,1364,3932,1959.6,increase
0.0739,1,7,1267,1306,3840,1916.88,increase
0.0739,1,8,1270,1384,3924,1952.88,increase
0.0739,1,9,1278,1423,3979,1977.9,increase
0.0739,1,10,1256,1457,3969,1968.42,increase
0.0739,1,11,1235,1496,3966,1962.12,increase
0.0739,1,12,1307,1466,4080,2027.28,increase
0.0739,1,13,1290,1542,4122,2040.84,increase
0.0739,1,14,1338,1620,4296,2125.44,increase
0.0739,1,15,1426,1691,4543,2250.3,increase
0.0739,1,16,1342,1619,4303,2129.34,increase
0.0739,1,17,1309,1543,4161,2061.78,increase
0.0739,1,18,1363,1587,4313,2138.58,increase
0.0739,1,19,1438,1585,4461,2218.74,increase
0.0739,1,20,1563,1584,4710,2353.32,increase
0.0739,1,21,1663,1613,4939,2473.5,increase
0.0739,1,22,1670,1594,4934,2473.08,increase
0.0739,1,23,1594,1633,4821,2407.38,increase
0.0739,1,24,1709,1576,4994,2507.64,increase
0.0739,1,25,1705,1569,4979,2500.38,increase
0.0739,1,26,1845,1584,5274,2657.88,increase
0.0739,1,27,1881,1639,5401,2719.86,increase
0.0739,1,28,1873,1667,5413,2722.98,increase
0.0739,1,29,1871,1643,5385,2710.74,increase
0.0739,1,30,1956,1735,5647,2841.18,increase
0.0739,1,31,2014,1774,5802,2920.2,increase
0.0739,1,32,2059,1776,5894,2969.64,increase
0.0739,1,33,2051,1945,6047,3031.98,increase
0.0739,1,34,2263,1844,6370,3218.52,increase
0.0739,1,35,2147,1914,6208,3122.64,increase
0.0739,1,36,2224,1853,6301,3180.18,increase
0.0739,1,37,2392,1770,6554,3326.76,increase
0.0739,1,38,2424,1811,6659,3378.54,increase
0.0739,1,39,2557,1806,6920,3520.08,increase
0.0739,1,40,2615,1782,7012,3572.64,increase
0.0739,1,41,2664,1737,7065,3606.66,increase
0.0739,1,42,2655,1765,7075,3608.7,increase
0.0739,1,43,2723,1790,7236,3692.64,increase
0.0739,1,44,2955,1738,7648,3921.36,increase
0.0739,1,45,2975,1690,7640,3922.8,increase
0.0739,1,46,3012,1720,7744,3975.36,increase
0.0739,1,47,3021,1780,7822,4010.28,increase
0.0739,1,48,3175,1809,8159,4188.78,increase
0.0739,1,49,3246,1763,8255,4246.14,increase
0.0739,1,50,3240,1812,8292,4260.24,increase
0.0739,1,51,3343,1744,8430,4342.92,increase
0.0739,1,52,3421,1775,8617,4440.18,increase
0.0739,1,53,3392,1739,8523,4393.74,increase
0.0739,1,54,3481,1912,8874,4562.52,increase
0.0739,1,55,3596,1931,9123,4694.7,increase
0.0739,1,56,3424,1858,8706,4478.28,increase
0.0739,1,57,3452,1755,8659,4465.26,increase
0.0739,1,58,3560,1751,8871,4580.22,increase
0.0739,1,59,3756,1756,9268,4794,increase
0.0739,1,60,3964,1844,9772,5055.6,increase
0.0739,1,61,3974,1739,9687,5022.3,increase
0.0739,1,62,4180,1750,10110,5249.4,increase
0.0739,1,63,4265,1876,10406,5394.12,increase
0.0739,1,64,4109,1711,9929,5156.34,increase
0.0739,1,65,4290,1692,10272,5343.84,increase
0.0739,1,66,4288,1705,10281,5347.14,increase
0.0739,1,67,4471,1678,10620,5533.44,increase
0.0739,1,68,4502,1699,10703,5575.74,increase
0.0739,1,69,4483,1638,10604,5529.6,increase
