a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.056,1,0,1412,0,2824,1524.96,decrease
0.056,1,1,1168,691,3027,1551.66,decrease
0.056,1,2,989,826,2804,1415.04,decrease
0.056,1,3,926,982,2834,1412.52,decrease
0.056,1,4,846,1045,2737,1352.58,decrease
0.056,1,5,816,1110,2742,1347.48,decrease
0.056,1,6,879,1222,2980,1462.56,decrease
0.056,1,7,779,1296,2854,1385.64,decrease
0.056,1,8,763,1361,2887,1395.66,decrease
0.056,1,9,808,1354,2970,1441.32,decrease
0.056,1,10,833,1381,3047,1479.66,decrease
0.056,1,11,797,1326,2920,1417.68,decrease
0.056,1,12,828,1374,3030,1471.32,decrease
0.056,1,13,776,1361,2913,1409.7,decrease
0.056,1,14,779,1475,3033,1460.82,decrease
0.056,1,15,732,1486,2950,1414.68,decrease
0.056,1,16,648,1440,2736,1304.64,decrease
0.056,1,17,601,1524,2726,1289.16,decrease
0.056,1,18,574,1412,2560,1212.96,decrease
0.056,1,19,580,1404,2564,1216.08,decrease
0.056,1,20,539,1421,2499,1178.94,decrease
0.056,1,21,556,1434,2546,1202.76,decrease
0.056,1,22,562,1351,2475,1174.38,decrease
0.056,1,23,476,1250,2202,1039.08,decrease
0.056,1,24,434,1370,2238,1044.12,decrease
0.056,1,25,414,1315,2143,999.42,decrease
0.056,1,26,368,1288,2024,938.4,decrease
0.056,1,27,252,1223,1727,785.82,decrease
0.056,1,28,263,1167,1693,774.18,decrease
0.056,1,29,254,1128,1636,748.08,decrease
0.056,1,30,246,1084,1576,720.96,decrease
0.056,1,31,190,1110,1490,671.4,decrease
0.056,1,32,151,1137,1439,640.62,decrease
0.056,1,33,129,1072,1330,589.56,decrease
0.056,1,34,126,938,1190,530.04,decrease
0.056,1,35,83,829,995,437.82,decrease
0.056,1,36,62,836,960,418.08,decrease
0.056,1,37,41,733,815,352.14,decrease
0.056,1,38,34,645,713,307.62,decrease
0.056,1,39,22,594,638,273.24,decrease
0.056,1,40,19,479,517,221.7,decrease
0.056,1,41,10,394,414,176.28,decrease
0.056,1,42,8,344,360,153.12,decrease
0.056,1,43,9,273,291,124.38,decrease
0.056,1,44,4,281,289,122.34,decrease
0.056,1,45,3,229,235,99.42,decrease
0.056,1,46,3,175,181,76.74,decrease
0.056,1,47,2,148,152,64.32,decrease
0.056,1,48,1,144,146,61.56,decrease
0.056,1,49,0,134,134,56.28,decrease
0.056,1,50,0,98,98,41.16,decrease
0.056,1,51,0,96,96,40.32,decrease
0.056,1,52,0,71,71,29.82,decrease
0.056,1,53,0,53,53,22.26,decrease
0.056,1,54,2,43,47,20.22,decrease
0.056,1,55,0,40,40,16.8,decrease
0.056,1,56,0,24,24,10.08,decrease
0.056,1,57,0,15,15,6.3,decrease
0.056,1,58,0,9,9,3.78,decrease
0.056,1,59,0,16,16,6.72,decrease
0.056,1,60,0,16,16,6.72,decrease
0.056,1,61,0,8,8,3.36,decrease
0.056,1,62,0,8,8,3.36,decrease
0.056,1,63,0,5,5,2.1,decrease
0.056,1,64,0,0,0,0,decrease
0.056,2,0,1511,0,3022,1631.88,decrease
0.056,2,1,1247,607,3101,1601.7,decrease
0.056,2,2,1101,837,3039,1540.62,decrease
0.056,2,3,965,972,2902,1450.44,decrease
0.056,2,4,960,1111,3031,1503.42,decrease
0.056,2,5,963,1131,3057,1515.06,decrease
0.056,2,6,909,1188,3006,1480.68,decrease
0.056,2,7,914,1312,3140,1538.16,decrease
0.056,2,8,891,1372,3154,1538.52,decrease
0.056,2,9,864,1331,3059,1492.14,decrease
0.056,2,10,829,1445,3103,1502.22,decrease
0.056,2,11,829,1441,3099,1500.54,decrease
0.056,2,12,817,1554,3188,1535.04,decrease
0.056,2,13,814,1533,3161,1522.98,decrease
0.056,2,14,770,1527,3067,1472.94,decrease
0.056,2,15,687,1495,2869,1369.86,decrease
0.056,2,16,700,1572,2972,1416.24,decrease
0.056,2,17,724,1494,2942,1409.4,decrease
0.056,2,18,644,1403,2691,1284.78,decrease
0.056,2,19,657,1520,2834,1347.96,decrease
0.056,2,20,651,1501,2803,1333.5,decrease
