a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.0637,1,0,1778,0,3556,1920.24,decrease
0.0637,1,1,1496,660,3652,1892.88,decrease
0.0637,1,2,1335,956,3626,1843.32,decrease
0.0637,1,3,1220,1060,3500,1762.8,decrease
0.0637,1,4,1150,1189,3489,1741.38,decrease
0.0637,1,5,1076,1298,3450,1707.24,decrease
0.0637,1,6,1034,1355,3423,1685.82,decrease
0.0637,1,7,947,1328,3222,1580.52,decrease
0.0637,1,8,857,1418,3132,1521.12,decrease
0.0637,1,9,909,1405,3223,1571.82,decrease
0.0637,1,10,907,1467,3281,1595.7,decrease
0.0637,1,11,854,1435,3143,1525.02,decrease
0.0637,1,12,813,1498,3124,1507.2,decrease
0.0637,1,13,755,1561,3071,1471.02,decrease
0.0637,1,14,767,1545,3079,1477.26,decrease
0.0637,1,15,774,1605,3153,1510.02,decrease
0.0637,1,16,724,1582,3030,1446.36,decrease
0.0637,1,17,710,1543,2963,1414.86,decrease
0.0637,1,18,664,1515,2843,1353.42,decrease
0.0637,1,19,635,1599,2869,1357.38,decrease
0.0637,1,20,646,1554,2846,1350.36,decrease
0.0637,1,21,615,1541,2771,1311.42,decrease
0.0637,1,22,578,1505,2661,1256.34,decrease
0.0637,1,23,548,1599,2695,1263.42,decrease
0.0637,1,24,494,1506,2494,1166.04,decrease
0.0637,1,25,458,1371,2287,1070.46,decrease
0.0637,1,26,409,1371,2189,1017.54,decrease
0.0637,1,27,435,1350,2220,1036.8,decrease
0.0637,1,28,385,1370,2140,991.2,decrease
0.0637,1,29,348,1336,2032,936.96,decrease
0.0637,1,30,317,1318,1952,895.92,decrease
0.0637,1,31,285,1200,1770,811.8,decrease
0.0637,1,32,264,1213,1741,794.58,decrease
0.0637,1,33,225,1239,1689,763.38,decrease
0.0637,1,34,221,1177,1619,733.02,decrease
0.0637,1,35,166,1164,1496,668.16,decrease
0.0637,1,36,163,1073,1399,626.7,decrease
0.0637,1,37,149,1022,1320,590.16,decrease
0.0637,1,38,111,984,1206,533.16,decrease
0.0637,1,39,86,923,1095,480.54,decrease
0.0637,1,40,86,848,1020,449.04,decrease
0.0637,1,41,59,813,931,405.18,decrease
0.0637,1,42,53,733,839,365.1,decrease
0.0637,1,43,44,664,752,326.4,decrease
0.0637,1,44,29,587,645,277.86,decrease
0.0637,1,45,19,513,551,235.98,decrease
0.0637,1,46,15,418,448,191.76,decrease
0.0637,1,47,12,363,387,165.42,decrease
0.0637,1,48,2,305,309,130.26,decrease
0.0637,1,49,8,237,253,108.18,decrease
0.0637,1,50,1,212,214,90.12,decrease
0.0637,1,51,0,179,179,75.18,decrease
0.0637,1,52,3,133,139,59.1,decrease
0.0637,1,53,1,113,115,48.54,decrease
0.0637,1,54,0,89,89,37.38,decrease
0.0637,1,55,0,65,65,27.3,decrease
0.0637,1,56,0,59,59,24.78,decrease
0.0637,1,57,0,50,50,21,decrease
0.0637,1,58,0,37,37,15.54,decrease
0.0637,1,59,3,23,29,12.9,decrease
0.0637,1,60,0,26,26,10.92,decrease
0.0637,1,61,0,22,22,9.24,decrease
0.0637,1,62,0,20,20,8.4,decrease
0.0637,1,63,0,19,19,7.98,decrease
0.0637,1,64,0,19,19,7.98,decrease
0.0637,1,65,0,21,21,8.82,decrease
0.0637,1,66,0,17,17,7.14,decrease
0.0637,1,67,0,12,12,5.04,decrease
0.0637,1,68,0,8,8,3.36,decrease
0.0637,1,69,0,8,8,3.36,decrease
0.0637,1,70,0,6,6,2.52,decrease
0.0637,1,71,0,5,5,2.1,decrease
0.0637,1,72,0,2,2,0.84,decrease
0.0637,1,73,0,0,0,0,decrease
0.0637,2,0,1732,0,3464,1870.56,decrease
0.0637,2,1,1504,676,3684,1908.24,decrease
0.0637,2,2,1375,881,3631,1855.02,decrease
0.0637,2,3,1215,1082,3512,1766.64,decrease
0.0637,2,4,1134,1223,3491,1738.38,decrease
0.0637,2,5,1087,1231,3405,1690.98,decrease
0.0637,2,6,1012,1312,3336,1644,decrease
0.0637,2,7,1063,1400,3526,1736.04,decrease
0.0637,2,8,973,1392,3338,1635.48,decrease
0.0637,2,9,897,1515,3309,1605.06,decrease
0.0637,2,10,922,1393,3237,1580.82,decrease
0.0637,2,11,934,1477,3345,1629.06,decrease
0.0637,2,12,895,1388,3178,1549.56,decrease
0.0637,2,13,846,1429,3121,1513.86,decrease
0.0637,2,14,878,1470,3226,1565.64,decrease
0.0637,2,15,786,1595,3167,1518.78,decrease
0.0637,2,16,813,1617,3243,1557.18,decrease
0.0637,2,17,817,1609,3243,1558.14,decrease
0.0637,2,18,904,1572,3380,1636.56,decrease
0.0637,2,19,838,1630,3306,1589.64,decrease
0.0637,2,20,826,1701,3353,1606.5,decrease
0.0637,2,21,826,1630,3282,1576.68,decrease
0.0637,2,22,707,1613,3027,1441.02,decrease
0.0637,2,23,745,1760,3250,1543.8,decrease
0.0637,2,24,780,1650,3210,1535.4,decrease
