generation,N,replicate
1,30000,1
2,30170,1
3,30080,1
4,30113,1
5,30132,1
6,30140,1
7,29992,1
8,29837,1
9,29920,1
10,30209,1
11,30134,1
12,29859,1
13,30491,1
14,29837,1
15,30150,1
16,30366,1
17,30175,1
18,29783,1
19,29975,1
20,29742,1
21,30490,1
22,29776,1
23,30240,1
24,30353,1
25,30276,1
26,30307,1
27,29851,1
28,30212,1
29,29816,1
30,29698,1
31,29859,1
32,30002,1
33,29773,1
34,30120,1
35,30309,1
36,30334,1
37,30134,1
38,30347,1
39,30009,1
40,30459,1
41,30194,1
42,29970,1
43,29868,1
44,29963,1
45,29933,1
46,30247,1
47,29559,1
48,30113,1
49,30296,1
50,30349,1
51,29984,1
52,30164,1
53,29813,1
54,30410,1
55,30112,1
56,29850,1
57,30394,1
58,29735,1
59,29832,1
60,29371,1
61,29944,1
62,30210,1
63,29576,1
64,30086,1
65,30101,1
66,29844,1
67,29953,1
68,30044,1
69,29863,1
70,30231,1
71,30104,1
72,29843,1
73,30168,1
74,29646,1
75,29985,1
76,30016,1
77,29890,1
78,30046,1
79,29791,1
80,29932,1
81,29772,1
82,30529,1
83,29608,1
84,29657,1
85,30048,1
86,30042,1
87,30285,1
88,29974,1
89,29811,1
90,30201,1
91,30050,1
92,30449,1
93,30097,1
94,30549,1
95,30286,1
96,30053,1
97,30071,1
98,29756,1
99,29738,1
100,30133,1
