generation, N
1,50000
2,50320
3,49972
4,50090
5,49822
6,49958
7,49997
8,50540
9,49763
10,50633
11,49832
12,49878
13,49582
14,49785
15,49654
16,50043
17,50168
18,50547
19,50212
20,50157
21,50163
22,49963
23,49613
24,50433
25,50292
26,50663
27,49708
28,49867
29,50708
30,50150
31,50434
32,49772
33,49297
34,50408
35,50108
36,50018
37,50158
38,50292
39,49740
40,50386
41,50167
42,50224
43,49696
44,50035
45,49931
46,50039
47,49953
48,50672
49,50005
50,50099
51,50683
52,50748
53,50137
54,49913
