generation, N
1,30000
2,29934
3,30377
4,30102
5,30397
6,30221
7,29990
8,30379
9,30475
10,29863
11,30294
12,29723
13,29734
14,29476
15,29758
16,29989
17,29762
18,29761
19,29754
20,29895
21,29249
22,29583
23,29787
24,29751
25,29830
26,29941
27,30096
28,29998
29,29858
30,30072
31,30184
32,30573
33,30197
34,30260
35,29966
36,29630
37,29856
38,29497
39,29481
40,29874
41,30107
42,30011
43,29940
44,29680
45,29669
46,30095
47,29816
48,29592
49,29786
50,29912
51,29874
52,29873
53,29964
54,30141
55,29611
56,29742
57,29432
58,29568
59,29918
60,29676
61,29650
62,29925
63,30025
64,30060
65,29943
66,29818
67,30241
68,30353
69,30123
70,30245
71,29694
72,29702
73,29981
74,29988
75,30071
76,29898
77,29994
78,30423
79,30358
80,30810
81,30378
82,30690
83,30704
84,30394
85,30220
86,29683
87,30424
88,29739
89,29625
90,29726
91,29688
92,29676
93,29970
94,29937
95,30164
96,30048
97,30348
98,30083
99,29922
100,30034
101,30055
102,30224
103,30462
104,30147
105,29707
106,29902
107,30297
108,29818
109,29743
110,29871
111,30078
112,30367
113,30051
114,29827
115,30124
116,30163
117,30276
118,29819
119,29706
120,30240
121,30320
122,30146
123,30001
124,29933
125,30038
126,29743
127,29898
128,30178
129,30339
130,30190
131,29902
132,30385
133,30106
134,30254
135,29878
136,30504
137,30175
138,29865
139,29609
140,30072
141,29767
142,29874
143,29957
144,30527
145,29959
146,29775
147,29835
148,29616
149,29763
150,30049
151,30053
152,29793
153,29790
154,29627
155,30140
156,30039
157,30287
158,30115
159,30236
160,30286
161,30210
162,30167
163,29931
164,30342
165,30755
166,30430
167,29895
168,30155
169,30023
170,30320
171,30591
172,30309
173,30452
174,30143
175,29802
176,30078
177,29708
178,29818
179,30099
180,29922
181,29791
182,29883
183,30375
184,30264
185,29945
186,30407
187,30234
188,29891
189,29972
