a,sigma,k,u_hat,delta,p_increase
0.209795918,0.01,0.2,0.15,0.0021,1
0.227755102,0.01,0.2,0.15,0.0021,1
0.245714286,0.01,0.2,0.15,0.0021,1
0.263673469,0.01,0.2,0.15,0.0021,1
0.281632653,0.01,0.2,0.15,0.0021,1
0.299591837,0.01,0.2,0.15,0.0021,1
0.31755102,0.01,0.2,0.15,0.0021,1
0.335510204,0.01,0.2,0.15,0.0021,1
0.353469388,0.01,0.2,0.15,0.0021,1
0.371428571,0.01,0.2,0.15,0.0021,1
0.389387755,0.01,0.2,0.15,0.0021,1
0.407346939,0.01,0.2,0.15,0.0021,1
0.425306122,0.01,0.2,0.15,0.0021,1
0.443265306,0.01,0.2,0.15,0.0021,1
0.46122449,0.01,0.2,0.15,0.0021,1
0.479183673,0.01,0.2,0.15,0.0021,1
0.497142857,0.01,0.2,0.15,0.0021,1
0.515102041,0.01,0.2,0.15,0.0021,1
0.533061224,0.01,0.2,0.15,0.0021,1
0.551020408,0.01,0.2,0.15,0.0021,1
0.568979592,0.01,0.2,0.15,0.0021,1
0.586938776,0.01,0.2,0.15,0.0021,1
0.604897959,0.01,0.2,0.15,0.0021,1
0.622857143,0.01,0.2,0.15,0.0021,1
0.640816327,0.01,0.2,0.15,0.0021,1
0.65877551,0.01,0.2,0.15,0.0021,1
0.676734694,0.01,0.2,0.15,0.0021,1
0.694693878,0.01,0.2,0.15,0.0021,1
0.712653061,0.01,0.2,0.15,0.0021,1
0.730612245,0.01,0.2,0.15,0.0021,1
0.748571429,0.01,0.2,0.15,0.0021,1
0.76653061199999994,0.01,0.2,0.15,0.0021,1
0.784489796,0.01,0.2,0.15,0.0021,1
0.80244898,0.01,0.2,0.15,0.0021,1
0.820408163,0.01,0.2,0.15,0.0021,1
0.838367347,0.01,0.2,0.15,0.0021,1
0.856326531,0.01,0.2,0.15,0.0021,1
0.874285714,0.01,0.2,0.15,0.0021,1
0.892244898,0.01,0.2,0.15,0.0021,1
0.910204082,0.01,0.2,0.15,0.0021,1
0.928163265,0.01,0.2,0.15,0.0021,1
0.946122449,0.01,0.2,0.15,0.0021,1
0.964081633,0.01,0.2,0.15,0.0021,1
0.982040816,0.01,0.2,0.15,0.0021,1
1,0.01,0.2,0.15,0.0021,1
