gen,avg_popsize,avg_num_dd,avg_num_dwt,avg_num_wtwt,avg_num_d_alleles,avg_rate_d_alleles,num_replicates
86,24808.09,3324.23,247.34,21236.52,6895.8,0.126914570341,100
87,24818.26,3379.96,242.59,21195.71,7002.51,0.128720165942,100
88,24833.69,3417.58,240.36,21175.75,7075.52,0.13008689927,100
89,24836.12,3456.62,236.93,21142.57,7150.17,0.131193839909,100
90,24838.16,3488.89,230.53,21118.74,7208.31,0.132153493267,100
91,24853.24,3511.19,228.34,21113.71,7250.72,0.132923341484,100
92,24859.97,3547.61,221.89,21090.47,7317.11,0.134060932039,100
93,24865.48,3575.57,219.34,21070.57,7370.48,0.134925892951,100
94,24863.15,3596.05,217.88,21049.22,7409.98,0.135616914285,100
95,24882.49,3635.28,215.59,21031.62,7486.15,0.136779957508,100
96,24899.27,3664.05,215.07,21020.15,7543.17,0.137643471919,100
97,24875.62,3688.44,210.86,20976.32,7587.74,0.13862512491,100
98,24889.69,3714.57,211.45,20963.67,7640.59,0.139511928215,100
99,24896.44,3742.11,210.75,20943.58,7694.97,0.14021137216,100
100,24919.65,3779.17,206.46,20934.02,7764.8,0.14141819007,100
