gen,avg_popsize,avg_num_dd,avg_num_dwt,avg_num_wtwt,avg_num_d_alleles,avg_rate_d_alleles,num_replicates
-9,24186.67,0,0,24186.67,0,0,100
-8,24211.47,0,0,24211.47,0,0,100
-7,24177.73,0,0,24177.73,0,0,100
-6,24185.2,0,0,24185.2,0,0,100
-5,24184.97,0,0,24184.97,0,0,100
-4,24198.09,0,0,24198.09,0,0,100
-3,24199.94,0,0,24199.94,0,0,100
-2,24195.6,0,0,24195.6,0,0,100
-1,24181.15,0,0,24181.15,0,0,100
0,24996.05,800,0,24196.05,1600,0.032005529,100
1,24205.47,424.08,755.88,23025.51,1604.04,0.033133328,100
2,24186.99,388.12,863.33,22935.54,1639.57,0.033893903,100
3,24167.23,370.06,926.43,22870.74,1666.55,0.034479322,100
4,24166.55,358.87,968.71,22838.97,1686.45,0.034889894,100
5,24175.91,361.23,999.03,22815.65,1721.49,0.035601251,100
6,24167.6,360.56,1037.07,22769.97,1758.19,0.036373325,100
7,24176.96,359.74,1060.83,22756.39,1780.31,0.036816897,100
8,24169.57,362.24,1080.07,22727.26,1804.55,0.037331618999999996,100
9,24179.38,372.43,1097.34,22709.61,1842.2,0.038091746,100
10,24172.15,377.93,1117.34,22676.88,1873.2,0.038745815,100
11,24185.54,387.99,1134.44,22663.11,1910.42,0.039493546,100
12,24173.41,400.66,1149.39,22623.36,1950.71,0.040346448,100
13,24192.7,418.11,1166.4,22608.19,2002.62,0.041381067,100
14,24177.81,437.55,1186.84,22553.42,2061.94,0.042633427,100
15,24189.13,463.17,1209.39,22516.57,2135.73,0.044141704,100
16,24190.87,486.15,1239.09,22465.63,2211.39,0.045695291,100
17,24174.58,520.7,1258.01,22395.87,2299.41,0.047547659,100
18,24190.46,555.82,1293.55,22341.09,2405.19,0.049692559,100
19,24189.14,595.49,1316.21,22277.44,2507.19,0.051802165,100
20,24196.51,645.81,1350.97,22199.73,2642.59,0.054562092,100
21,24211.69,705.97,1380.93,22124.79,2792.87,0.057632485000000004,100
22,24226.89,770.43,1402.52,22053.94,2943.38,0.060682615,100
23,24229.15,844.55,1432.82,21951.78,3121.92,0.064347795,100
24,24231.74,928.64,1472.57,21830.53,3329.85,0.068622716,100
25,24269.81,1038.23,1499.84,21731.74,3576.3,0.073566876,100
26,24296.82,1157.86,1537.66,21601.3,3853.38,0.079139161,100
27,24296.41,1289.62,1562.48,21444.31,4141.72,0.084980137,100
28,24343.99,1453.68,1589.42,21300.89,4496.78,0.092036687,100
29,24362.7,1633.83,1616.4,21112.47,4884.06,0.099801419,100
30,24406.77,1837.93,1636.19,20932.65,5312.05,0.108296106,100
31,24436.37,2077.18,1658.2,20700.99,5812.56,0.118240379,100
32,24505.52,2356.08,1667.73,20481.71,6379.89,0.12926962,100
33,24561.15,2671.79,1676.1,20213.26,7019.68,0.141706463,100
34,24618.31,3009.51,1680.36,19928.44,7699.38,0.154940957,100
35,24701.15,3396.56,1689.84,19614.75,8482.96,0.1699088596,100
36,24777.53,3818.04,1686.62,19272.87,9322.7,0.1858395445,100
37,24880.35,4272.39,1680.18,18927.78,10224.96,0.2028046642,100
38,24973.99,4749.58,1667.63,18556.78,11166.79,0.2204480111,100
39,25080.01,5252.69,1639.27,18188.05,12144.65,0.2384545312,100
40,25145.36,5773.9,1613.56,17757.9,13161.36,0.2576324641,100
41,25253.44,6316.67,1580.99,17355.78,14214.33,0.2768944534,100
42,25409.4,6875.55,1548.04,16985.81,15299.14,0.2960397953,100
43,25491.68,7407.22,1509.86,16574.6,16324.3,0.3149879836,100
44,25615.92,7976.78,1462.87,16176.27,17416.43,0.3345135838,100
45,25712.3,8498.05,1421.65,15792.6,18417.75,0.352416426,100
46,25833.65,9014,1379.32,15440.33,19407.32,0.3699768618,100
47,25929.28,9528.86,1340.5,15059.92,20398.22,0.3875394795,100
48,26018.75,10001.82,1299.34,14717.59,21302.98,0.4036783707,100
49,26096.69,10478.07,1248.22,14370.4,22204.36,0.419782366,100
50,26217.35,10949.83,1213.1,14054.42,23112.76,0.4351891701,100
51,26302.54,11363.87,1170.43,13768.24,23898.17,0.4488647232,100
52,26369.12,11762.39,1126.74,13479.99,24651.52,0.4621794308,100
53,26457.84,12134.57,1096.34,13226.93,25365.48,0.4743215697,100
54,26527.6,12503.71,1060.1,12963.79,26067.52,0.486495365,100
55,26606.24,12834.68,1033.62,12737.94,26702.98,0.4972470246,100
56,26655.37,13125.66,1004.39,12525.32,27255.71,0.5067405597,100
57,26699.45,13400.71,976.15,12322.59,27777.57,0.5158347127,100
58,26759.01,13682.54,953.13,12123.34,28318.21,0.5248303499,100
59,26796.03,13898.63,930.63,11966.77,28727.89,0.5319489733,100
60,26842.79,14127.99,911.96,11802.84,29167.94,0.5394142519,100
61,26895.08,14329.82,904.07,11661.19,29563.71,0.5457042545,100
62,26937.06,14516.04,887.72,11533.3,29919.8,0.5515380039,100
63,26960.88,14661.76,879.7,11419.42,30203.22,0.5563394098,100
64,26979.34,14804.98,873.28,11301.08,30483.24,0.5613377613,100
65,27010.46,14967.34,862.24,11180.88,30796.92,0.5666383042,100
66,27038.6,15099.09,860.01,11079.5,31058.19,0.5708478868,100
67,27055.68,15220.72,852.67,10982.29,31294.11,0.5748982784,100
68,27093.25,15360.71,842.87,10889.67,31564.29,0.5791336448,100
69,27113.11,15487.29,839.34,10786.48,31813.92,0.5832892236,100
70,27140.06,15585.59,838.36,10716.11,32009.54,0.58644016786,100
71,27163.33,15667.28,840.93,10655.12,32175.49,0.58903636755,100
72,27159.19,15768.65,835.96,10554.58,32373.26,0.59292016929,100
73,27223.03,15913.28,833.26,10476.49,32659.82,0.59680553178,100
74,27206.49,15991,829.65,10385.84,32811.65,0.59996928822,100
75,27240.52,16092.26,837.31,10310.95,33021.83,0.60311731195,100
76,27250.52,16178.28,827.48,10244.76,33184.04,0.60587325482,100
77,27267.93,16270.63,826.22,10171.08,33367.48,0.60892602831,100
78,27296.34,16381.73,831.29,10083.32,33594.75,0.61251083112,100
79,27320.16,16472.82,827.73,10019.61,33773.37,0.61528622899,100
80,27323.34,16566.65,828.55,9928.14,33961.85,0.61876433463,100
81,27340.77,16667.55,824.5,9848.72,34159.6,0.62205870689,100
82,27378.52,16780.14,822.79,9775.59,34383.07,0.62518319724,100
83,27390.99,16851.59,825.58,9713.82,34528.76,0.62765895462,100
84,27401.66,16945.04,825.8,9630.82,34715.88,0.63091056459,100
85,27433.75,17022.38,823.55,9587.82,34868.31,0.6329077574699999,100
86,27432.38,17113.54,833.21,9485.63,35060.29,0.63643803151,100
87,27432.91,17192.11,828.46,9412.34,35212.68,0.6392263569,100
88,27476.44,17282.68,827.95,9365.81,35393.31,0.64151247134,100
89,27479.77,17353.88,828.21,9297.68,35535.97,0.64396830252,100
90,27492.77,17441.68,826.18,9224.91,35709.54,0.64687553045,100
91,27526.11,17532.78,827.2,9166.13,35892.76,0.64939642612,100
92,27524.98,17620.28,827.55,9077.15,36068.11,0.65261865998,100
93,27560.45,17711.41,822.2,9026.84,36245.02,0.65498466593,100
94,27563.27,17794.04,824.37,8944.86,36412.45,0.65797217297,100
95,27578.43,17862.1,825.63,8890.7,36549.83,0.66001434716,100
96,27598.49,17942.27,827.56,8828.66,36712.1,0.662409858192,100
97,27621.77,18006.36,831.37,8784.04,36844.09,0.66424519101,100
98,27615.76,18067.77,830.92,8717.07,36966.46,0.66667599613,100
99,27639.11,18169.29,832.87,8636.95,37171.45,0.66969294992,100
100,27663.43,18250.04,839.11,8574.28,37339.19,0.67221188634,100
