drop_size,outcome
780,increase
780,increase
780,increase
780,increase
780,increase
780,increase
780,increase
780,decrease
780,increase
780,increase
780,decrease
780,increase
780,increase
780,increase
780,decrease
780,increase
780,increase
780,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,decrease
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,increase
798,decrease
798,increase
816,increase
816,increase
816,increase
816,decrease
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
816,increase
835,increase
835,decrease
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
835,increase
853,increase
853,decrease
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
853,increase
871,increase
871,increase
871,decrease
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
871,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
890,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
908,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
927,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
945,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
963,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
982,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
1000,increase
