gen,avg_popsize,avg_num_dd,avg_num_dwt,avg_num_wtwt,avg_num_d_alleles,avg_rate_d_alleles,num_replicates
-9,24192.04,0,0,24192.04,0,0,100
-8,24202.59,0,0,24202.59,0,0,100
-7,24189.45,0,0,24189.45,0,0,100
-6,24205.57,0,0,24205.57,0,0,100
-5,24203.55,0,0,24203.55,0,0,100
-4,24199.53,0,0,24199.53,0,0,100
-3,24192.01,0,0,24192.01,0,0,100
-2,24191.45,0,0,24191.45,0,0,100
-1,24176.54,0,0,24176.54,0,0,100
0,24498.37,300,0,24198.37,600,0.012245881,100
1,24168.26,86.53,402.84,23678.89,575.9,0.0119146915,100
2,24171.63,69.7,418.22,23683.71,557.62,0.011535035400000001,100
3,24154.07,56.44,423.48,23674.15,536.36,0.011103314,100
4,24176.45,48.5,419.18,23708.77,516.18,0.0106749124,100
5,24171.2,42.47,414.26,23714.47,499.2,0.0103267509,100
6,24176.01,36.51,405.72,23733.78,478.74,0.0099014996,100
7,24166.12,32.54,393.34,23740.24,458.42,0.0094845368,100
8,24156.46,27.79,378.01,23750.66,433.59,0.0089751061,100
9,24167.43,24.59,361.07,23781.77,410.25,0.0084880491,100
10,24150.97,21.59,347.99,23781.39,391.17,0.0080984846,100
11,24174.72,18.12,329.45,23827.15,365.69,0.0075629057,100
12,24157.33,16.04,310.98,23830.31,343.06,0.0070995967,100
13,24184.54,14.47,298.21,23871.86,327.15,0.0067646012,100
14,24156.24,12.38,281.6,23862.26,306.36,0.0063414189,100
15,24168.53,11.25,266.62,23890.66,289.12,0.0059819268,100
16,24181.34,9.02,257.87,23914.45,275.91,0.0057049131,100
17,24167.76,9.07,243.56,23915.13,261.7,0.0054154572,100
18,24175.42,7.29,228.7,23939.43,243.28,0.0050317748,100
19,24192.75,6.53,215.04,23971.18,228.1,0.004713532,100
20,24172.18,5.9,202.57,23963.71,214.37,0.0044346211,100
21,24172.3,5.43,189.45,23977.42,200.31,0.0041437583,100
22,24186.62,4.41,177.83,24004.38,186.65,0.0038592618,100
23,24180.52,4.49,167.89,24008.14,176.87,0.00365866869,100
24,24190.47,3.58,157.67,24029.22,164.83,0.00340650048,100
25,24191.52,2.98,148.09,24040.45,154.05,0.0031833546,100
26,24183.08,2.66,140.49,24039.93,145.81,0.00301506465,100
27,24179.21,2.42,130.13,24046.66,134.97,0.00279146385,100
28,24184.6,2.06,122.75,24059.79,126.87,0.00262237222,100
29,24189.81,1.87,116.4,24071.54,120.14,0.00248381422,100
30,24176.06,1.6,108.15,24066.31,111.35,0.00230312963,100
31,24185.23,1.34,102.46,24081.43,105.14,0.00217378863,100
32,24195.1,1.25,94.76,24099.09,97.26,0.0020097401,100
33,24180.47,1.04,87.48,24091.95,89.56,0.00185196043,100
34,24191.85,0.84,82.46,24108.55,84.14,0.0017388771,100
35,24191.42,0.88,75.21,24115.33,76.97,0.001590813621,100
36,24201.18,0.7,69.44,24131.04,70.84,0.001463901754,100
37,24176.81,0.62,64.53,24111.66,65.77,0.001360692906,100
38,24176.49,0.59,59.42,24116.48,60.6,0.001253597359,100
39,24193.28,0.5,55.81,24136.97,56.81,0.001174348101,100
40,24182.57,0.4,50.82,24131.35,51.62,0.00106756666,100
41,24191.03,0.44,47.39,24143.2,48.27,9.98012462e-4,100
42,24180.7,0.46,45.29,24134.95,46.21,9.55349041e-4,100
43,24174.22,0.26,42.93,24131.03,43.45,8.98738697e-4,100
44,24195.96,0.24,39.92,24155.8,40.4,8.34940282e-4,100
45,24183.94,0.13,36.28,24147.53,36.54,7.55720731e-4,100
46,24172.43,0.12,34.15,24138.16,34.39,7.11395804e-4,100
47,24201.02,0.13,30.06,24170.83,30.32,6.26641836e-4,100
48,24192.94,0.22,27.12,24165.6,27.56,5.69061041e-4,100
49,24201.55,0.09,25.09,24176.37,25.27,5.21999807e-4,100
50,24193.01,0.07,22.79,24170.15,22.93,4.73914308e-4,100
51,24185.36,0.11,20.37,24164.88,20.59,4.25467803e-4,100
52,24196.83,0.11,18.67,24178.05,18.89,3.90701242e-4,100
53,24183.36,0.06,17.11,24166.19,17.23,3.56305056e-4,100
54,24202.78,0.09,15.93,24186.76,16.11,3.32710784e-4,100
55,24190.54,0.07,13.84,24176.63,13.98,2.88835137e-4,100
56,24190.75,0.08,12.58,24178.09,12.74,2.62999781e-4,100
57,24171.5,0.04,11.97,24159.49,12.05,2.49282912e-4,100
58,24213.26,0.1,11.29,24201.87,11.49,2.37317296e-4,100
59,24185.48,0.02,11.04,24174.42,11.08,2.29119867e-4,100
60,24183.79,0.03,10.1,24173.66,10.16,2.1014050299999999e-4,100
61,24201.88,0,9.4,24192.48,9.4,1.9445843e-4,100
62,24211.51,0.06,8.85,24202.6,8.97,1.84956337e-4,100
63,24212.17,0.01,7.92,24204.24,7.94,1.64015941e-4,100
64,24197.05,0.06,7.29,24189.7,7.41,1.53237734e-4,100
65,24187.48,0.01,6.45,24181.02,6.47,1.33676688e-4,100
66,24189.47,0.02,5.86,24183.59,5.9,1.21963448e-4,100
67,24194.3,0.04,5.77,24188.49,5.85,1.20860564e-4,100
68,24192.18,0.04,4.96,24187.18,5.04,1.0423483399999999e-4,100
69,24211.28,0,4.37,24206.91,4.37,9.0292619e-5,100
70,24203.75,0.01,4.16,24199.58,4.18,8.6475198e-5,100
71,24193.59,0,3.38,24190.21,3.38,6.9794827e-5,100
72,24187.73,0,3.3,24184.43,3.3,6.8340349e-5,100
73,24186.44,0,2.53,24183.91,2.53,5.2306341e-5,100
74,24194.73,0,2.5,24192.23,2.5,5.1671966e-5,100
75,24202.72,0,2.62,24200.1,2.62,5.4020615000000004e-5,100
76,24178.12,0,2.43,24175.69,2.43,5.0194048e-5,100
77,24189.27,0,2.1,24187.17,2.1,4.3483191e-5,100
78,24192.37,0,2.03,24190.34,2.03,4.1967942e-5,100
79,24197.06,0.02,1.75,24195.29,1.79,3.6964609e-5,100
80,24194.44,0,1.82,24192.62,1.82,3.7698004e-5,100
81,24193.89,0,1.44,24192.45,1.44,2.9792508e-5,100
82,24208.25,0,1.27,24206.98,1.27,2.6271134e-5,100
83,24206.67,0,1.15,24205.52,1.15,2.3749338e-5,100
84,24188.35,0,1.29,24187.06,1.29,2.6659504999999998e-5,100
85,24183.22,0,1.34,24181.88,1.34,2.7680434e-5,100
86,24205.25,0,1.25,24204,1.25,2.5829274e-5,100
87,24200.49,0.01,0.89,24199.59,0.91,1.8794603e-5,100
88,24204.29,0.03,0.9,24203.36,0.96,1.9757672000000002e-5,100
89,24208.49,0.01,0.82,24207.66,0.84,1.7372482e-5,100
90,24189.71,0,0.79,24188.92,0.79,1.6354377e-5,100
91,24179.71,0,0.61,24179.1,0.61,1.262333e-5,100
92,24193.48,0,0.53,24192.95,0.53,1.0956309e-5,100
93,24205.21,0,0.43,24204.78,0.43,8.894532e-6,100
94,24181.12,0,0.39,24180.73,0.39,8.072208e-6,100
95,24204.46,0,0.35,24204.11,0.35,7.231337e-6,100
96,24195.85,0,0.37,24195.48,0.37,7.628037000000001e-6,100
97,24194.69,0,0.23,24194.46,0.23,4.744815e-6,100
98,24180.46,0,0.25,24180.21,0.25,5.1494900000000006e-6,100
99,24194.8,0,0.19,24194.61,0.19,3.920479e-6,100
100,24202.58,0,0.17,24202.41,0.17,3.5144570000000003e-6,100
