m, replicate_number, generation, num_drive_alleles
1600,0,0,3200
1600,0,1,3304
1600,0,2,3498
1600,0,3,3610
1600,0,4,3870
1600,0,5,4208
1600,0,6,4380
1600,0,7,4629
1600,0,8,5009
1600,0,9,5246
1600,0,10,5573
1600,0,11,5862
1600,0,12,6531
1600,0,13,7012
1600,0,14,7802
1600,0,15,8632
1600,0,16,9521
1600,0,17,10552
1600,0,18,11550
1600,0,19,12846
1600,0,20,13788
1600,0,21,14991
1600,0,22,16526
1600,0,23,17699
1600,0,24,18987
1600,0,25,20136
1600,0,26,21424
1600,0,27,22871
1600,0,28,23672
1600,0,29,24706
1600,0,30,25830
1600,0,31,26892
1600,0,32,27757
1600,0,33,28696
1600,0,34,29117
1600,0,35,29740
1600,0,36,29934
1600,0,37,30439
1600,0,38,30774
1600,0,39,30558
1600,0,40,30915
1600,0,41,30862
1600,0,42,31764
1600,0,43,31646
1600,0,44,32040
1600,0,45,32003
1600,0,46,31915
1600,0,47,32088
1600,0,48,32233
1600,0,49,32639
1600,0,50,32251
1600,0,51,32627
1600,0,52,32707
1600,0,53,33264
1600,0,54,33207
1600,0,55,33245
1600,0,56,33279
1600,0,57,33419
1600,0,58,33513
1600,0,59,34131
1600,0,60,34409
1600,0,61,35046
1600,0,62,34624
1600,0,63,35016
1600,0,64,35195
1600,0,65,34887
1600,0,66,35001
1600,0,67,35436
1600,0,68,36091
1600,0,69,36866
1600,0,70,36510
1600,0,71,36665
1600,0,72,36793
1600,0,73,37021
1600,0,74,37149
1600,0,75,37667
1600,0,76,37798
1600,0,77,38133
1600,0,78,38631
1600,0,79,38207
1600,0,80,37525
1600,0,81,37889
1600,0,82,37809
1600,0,83,38122
1600,0,84,38063
1600,0,85,38476
1600,0,86,38909
1600,0,87,39521
1600,0,88,39114
1600,0,89,39625
1600,0,90,40226
1600,0,91,40502
1600,0,92,40200
1600,0,93,40029
1600,0,94,39992
1600,0,95,40342
1600,0,96,40400
1600,0,97,40644
1600,0,98,40877
1600,0,99,41230
1600,0,100,41790
,,,
1600,1,0,3200
1600,1,1,3293
1600,1,2,3620
1600,1,3,3926
1600,1,4,4092
1600,1,5,4423
1600,1,6,4535
1600,1,7,4905
1600,1,8,5448
1600,1,9,5819
1600,1,10,6122
1600,1,11,6795
1600,1,12,7619
1600,1,13,8221
1600,1,14,8961
1600,1,15,9975
1600,1,16,11310
1600,1,17,12241
1600,1,18,13559
1600,1,19,15014
1600,1,20,16237
1600,1,21,17681
1600,1,22,18842
1600,1,23,20085
1600,1,24,21039
1600,1,25,21863
1600,1,26,23179
1600,1,27,24296
1600,1,28,25505
1600,1,29,26542
1600,1,30,27177
