m, replicate_number, generation, num_drive_alleles
800,0,0,1600
800,0,1,1638
800,0,2,1671
800,0,3,1675
800,0,4,1600
800,0,5,1525
800,0,6,1586
800,0,7,1496
800,0,8,1489
800,0,9,1468
800,0,10,1515
800,0,11,1409
800,0,12,1413
800,0,13,1304
800,0,14,1322
800,0,15,1229
800,0,16,1260
800,0,17,1307
800,0,18,1369
800,0,19,1384
800,0,20,1447
800,0,21,1490
800,0,22,1544
800,0,23,1467
800,0,24,1463
800,0,25,1462
800,0,26,1508
800,0,27,1492
800,0,28,1424
800,0,29,1447
800,0,30,1412
800,0,31,1515
800,0,32,1423
800,0,33,1403
800,0,34,1529
800,0,35,1445
800,0,36,1563
800,0,37,1629
800,0,38,1535
800,0,39,1553
800,0,40,1611
800,0,41,1553
800,0,42,1721
800,0,43,1678
800,0,44,1631
800,0,45,1566
800,0,46,1560
800,0,47,1586
800,0,48,1709
800,0,49,1811
800,0,50,1847
800,0,51,1836
800,0,52,1870
800,0,53,1784
800,0,54,1726
800,0,55,1686
800,0,56,1691
800,0,57,1692
800,0,58,1809
800,0,59,1836
800,0,60,1786
800,0,61,1786
800,0,62,1732
800,0,63,1681
800,0,64,1636
800,0,65,1740
800,0,66,1729
800,0,67,1693
800,0,68,1753
800,0,69,1722
800,0,70,1646
800,0,71,1566
800,0,72,1549
800,0,73,1634
800,0,74,1672
800,0,75,1683
800,0,76,1663
800,0,77,1699
800,0,78,1715
800,0,79,1572
800,0,80,1736
800,0,81,1692
800,0,82,1613
800,0,83,1604
800,0,84,1634
800,0,85,1576
800,0,86,1557
800,0,87,1504
800,0,88,1494
800,0,89,1411
800,0,90,1373
800,0,91,1360
800,0,92,1314
800,0,93,1223
800,0,94,1198
800,0,95,1257
800,0,96,1199
800,0,97,1141
800,0,98,1092
800,0,99,1040
800,0,100,1014
,,,
800,1,0,1600
800,1,1,1195
800,1,2,1210
800,1,3,1252
800,1,4,1212
800,1,5,1124
800,1,6,1041
800,1,7,972
800,1,8,979
800,1,9,916
800,1,10,858
800,1,11,818
800,1,12,760
800,1,13,686
800,1,14,621
800,1,15,568
800,1,16,548
800,1,17,549
800,1,18,504
800,1,19,476
800,1,20,418
800,1,21,423
800,1,22,416
800,1,23,414
800,1,24,360
800,1,25,340
800,1,26,281
800,1,27,248
800,1,28,233
800,1,29,239
800,1,30,252
800,1,31,246
800,1,32,212
800,1,33,197
800,1,34,178
800,1,35,168
800,1,36,141
800,1,37,129
800,1,38,110
800,1,39,109
800,1,40,93
800,1,41,83
800,1,42,68
800,1,43,57
800,1,44,53
800,1,45,52
800,1,46,41
800,1,47,45
800,1,48,40
800,1,49,40
800,1,50,40
800,1,51,44
800,1,52,31
800,1,53,25
800,1,54,16
800,1,55,17
800,1,56,11
800,1,57,9
800,1,58,3
800,1,59,5
800,1,60,4
800,1,61,1
800,1,62,0
800,1,63,0
800,1,64,0
800,1,65,0
800,1,66,0
800,1,67,0
800,1,68,0
800,1,69,0
800,1,70,0
800,1,71,0
800,1,72,0
800,1,73,0
800,1,74,0
800,1,75,0
800,1,76,0
800,1,77,0
800,1,78,0
800,1,79,0
800,1,80,0
800,1,81,0
800,1,82,0
800,1,83,0
800,1,84,0
800,1,85,0
800,1,86,0
800,1,87,0
800,1,88,0
800,1,89,0
800,1,90,0
800,1,91,0
800,1,92,0
800,1,93,0
800,1,94,0
800,1,95,0
800,1,96,0
800,1,97,0
800,1,98,0
800,1,99,0
800,1,100,0
,,,
800,2,0,1600
800,2,1,1534
800,2,2,1578
800,2,3,1502
800,2,4,1530
800,2,5,1414
800,2,6,1363
800,2,7,1348
800,2,8,1404
800,2,9,1463
800,2,10,1473
800,2,11,1428
800,2,12,1427
800,2,13,1461
800,2,14,1408
800,2,15,1440
800,2,16,1461
800,2,17,1449
800,2,18,1348
800,2,19,1364
800,2,20,1332
800,2,21,1282
800,2,22,1201
800,2,23,1233
