m, replicate_number, generation, num_drive_alleles
1134,0,0,2268
1134,0,1,2228
1134,0,2,2352
1134,0,3,2452
1134,0,4,2696
1134,0,5,2725
1134,0,6,2853
1134,0,7,2885
1134,0,8,3115
1134,0,9,3333
1134,0,10,3350
1134,0,11,3542
1134,0,12,3696
1134,0,13,3826
1134,0,14,4148
1134,0,15,4424
1134,0,16,4847
1134,0,17,5193
1134,0,18,5678
1134,0,19,6040
1134,0,20,6806
1134,0,21,7693
1134,0,22,8350
1134,0,23,9300
1134,0,24,10532
1134,0,25,11555
1134,0,26,12534
1134,0,27,13865
1134,0,28,15241
1134,0,29,16351
1134,0,30,17712
1134,0,31,18976
1134,0,32,20717
1134,0,33,21800
1134,0,34,23226
1134,0,35,24616
1134,0,36,25548
1134,0,37,26359
1134,0,38,27127
1134,0,39,28167
1134,0,40,29147
1134,0,41,29161
1134,0,42,30145
1134,0,43,30541
1134,0,44,30836
1134,0,45,31446
1134,0,46,31546
1134,0,47,31810
1134,0,48,31905
1134,0,49,31671
1134,0,50,31800
1134,0,51,31639
1134,0,52,32145
1134,0,53,32683
1134,0,54,33132
1134,0,55,32907
1134,0,56,33147
1134,0,57,33066
1134,0,58,33423
1134,0,59,33713
1134,0,60,33725
1134,0,61,34086
1134,0,62,34284
1134,0,63,34778
1134,0,64,35171
1134,0,65,34690
1134,0,66,34737
1134,0,67,34798
1134,0,68,35179
1134,0,69,35218
1134,0,70,35194
1134,0,71,35250
1134,0,72,35895
1134,0,73,35945
1134,0,74,36251
1134,0,75,36127
1134,0,76,36381
1134,0,77,36306
1134,0,78,36243
1134,0,79,36802
1134,0,80,36838
1134,0,81,36998
1134,0,82,37046
1134,0,83,37409
1134,0,84,37574
1134,0,85,37573
1134,0,86,37652
1134,0,87,38224
1134,0,88,38026
1134,0,89,38342
1134,0,90,38074
1134,0,91,38196
1134,0,92,38419
1134,0,93,38986
1134,0,94,39049
1134,0,95,39272
1134,0,96,39327
1134,0,97,39823
1134,0,98,40374
1134,0,99,40617
1134,0,100,40877
,,,
1134,1,0,2268
1134,1,1,2277
1134,1,2,2277
1134,1,3,2562
1134,1,4,2580
1134,1,5,2658
1134,1,6,2834
1134,1,7,2948
1134,1,8,3127
1134,1,9,3143
1134,1,10,3312
1134,1,11,3527
1134,1,12,3791
1134,1,13,4163
1134,1,14,4402
1134,1,15,4752
1134,1,16,5114
1134,1,17,5346
1134,1,18,5687
1134,1,19,6307
1134,1,20,6875
1134,1,21,7597
1134,1,22,8436
1134,1,23,8996
1134,1,24,9892
1134,1,25,11260
1134,1,26,12334
1134,1,27,13335
1134,1,28,14860
1134,1,29,16740
1134,1,30,18096
1134,1,31,19316
1134,1,32,20408
1134,1,33,21905
1134,1,34,23444
1134,1,35,24529
1134,1,36,25672
1134,1,37,26805
1134,1,38,27413
1134,1,39,28228
1134,1,40,28610
1134,1,41,29088
1134,1,42,29573
1134,1,43,29843
1134,1,44,29898
1134,1,45,30171
1134,1,46,30455
1134,1,47,30948
1134,1,48,31264
1134,1,49,31036
1134,1,50,31831
1134,1,51,32148
1134,1,52,32107
1134,1,53,32060
1134,1,54,32727
1134,1,55,32988
1134,1,56,33154
1134,1,57,33039
1134,1,58,33029
1134,1,59,33351
1134,1,60,33252
1134,1,61,33647
1134,1,62,33117
1134,1,63,33495
1134,1,64,33983
1134,1,65,34188
1134,1,66,33884
1134,1,67,34326
1134,1,68,35008
1134,1,69,34990
1134,1,70,35235
1134,1,71,35242
1134,1,72,35267
1134,1,73,35469
1134,1,74,35836
1134,1,75,35482
1134,1,76,36130
1134,1,77,35991
1134,1,78,36392
1134,1,79,36509
1134,1,80,37025
1134,1,81,37479
1134,1,82,37332
1134,1,83,37586
1134,1,84,37840
1134,1,85,37682
1134,1,86,37523
1134,1,87,37817
1134,1,88,37694
1134,1,89,38371
1134,1,90,38293
1134,1,91,38774
1134,1,92,38573
1134,1,93,38923
1134,1,94,39419
1134,1,95,39476
1134,1,96,39773
1134,1,97,39691
1134,1,98,39913
1134,1,99,40117
1134,1,100,40319
,,,
1134,2,0,2268
1134,2,1,2188
1134,2,2,2096
1134,2,3,2137
1134,2,4,2207
1134,2,5,2182
1134,2,6,2205
1134,2,7,2287
1134,2,8,2330
1134,2,9,2387
1134,2,10,2495
1134,2,11,2748
1134,2,12,2894
1134,2,13,3001
1134,2,14,3196
1134,2,15,3167
1134,2,16,3344
1134,2,17,3461
1134,2,18,3571
1134,2,19,3879
1134,2,20,4412
1134,2,21,4771
1134,2,22,5029
1134,2,23,5659
1134,2,24,6203
1134,2,25,6816
1134,2,26,7484
1134,2,27,8257
1134,2,28,9148
1134,2,29,10119
1134,2,30,11054
1134,2,31,11739
1134,2,32,12940
1134,2,33,14126
1134,2,34,15756
1134,2,35,17127
1134,2,36,18649
1134,2,37,20041
1134,2,38,21578
1134,2,39,23082
1134,2,40,23960
1134,2,41,25377
1134,2,42,25980
