m,change
1082,-28
1082,8
1083,118
1083,172
1083,34
1083,36
1083,-4
1083,129
1083,23
1083,113
1083,195
1083,47
1083,97
1083,115
1083,41
1083,70
1083,14
1083,-6
1083,75
1083,32
1083,-69
1083,84
1084,30
1084,25
1084,-52
1084,30
1084,-99
1084,136
1084,79
1084,47
1084,5
1084,-22
1084,-30
1084,-196
1084,184
1084,22
1084,-23
1084,-85
1084,-41
1084,199
1084,36
1084,-23
962,-60
962,-98
962,-36
962,-2
962,-53
962,42
962,104
962,-85
962,-46
962,28
962,-628
962,-23
962,30
962,94
962,-775
962,25
962,-598
962,-681
962,-445
962,9
1085,131
1085,-62
1085,146
1085,-43
1085,75
1085,-49
1085,35
1085,-48
1085,-72
1085,24
1085,86
1085,-42
1085,82
1085,2
1085,11
1085,-27
1085,79
1085,39
1085,-26
1085,-80
1086,22
1086,27
1086,126
1086,-115
1086,7
1086,146
1086,49
1086,23
1086,179
1086,89
1086,-38
1086,91
1086,-41
1086,64
1086,11
1086,-90
1086,93
1086,-41
1086,28
1086,-48
1087,99
1087,86
1087,36
1087,-95
1087,49
1087,-2
1087,112
1087,36
1087,-7
1087,83
1087,15
1087,137
1087,-71
1087,89
1087,163
1087,30
1087,-20
1087,52
1087,79
1087,74
1088,-13
1088,-22
1088,41
1088,-35
1088,195
1088,4
1088,51
1088,-150
1088,-139
1088,27
1088,46
1088,61
1088,112
1088,94
1088,6
1088,-17
1088,-31
1088,102
1088,-12
1088,62
1089,138
1089,-2
1089,-1
1089,70
1089,73
1089,1
1089,76
1089,-149
1089,3
1089,146
1089,-112
1089,-84
1089,147
1089,8
1089,108
1089,64
1089,62
1089,71
1089,47
1089,43
1090,132
1090,21
1090,25
1090,41
1090,-109
1090,-62
1090,93
1090,-50
1090,66
1090,4
1090,-9
1090,150
1090,-78
1090,-110
1090,-74
1090,37
1090,38
1090,118
1090,70
1090,153
1091,85
1091,20
1091,42
1091,4
1091,55
1091,27
1091,-22
1091,-68
1091,7
1091,-9
1091,162
1091,90
1091,-46
1091,-100
1091,-36
1091,-36
1091,68
1091,-156
1091,204
1091,-5
1092,91
1092,132
1092,67
1092,-61
1092,85
1092,-50
1092,285
1092,80
1092,-25
1092,-66
1092,-34
1092,95
1092,72
1092,-12
1092,70
1092,122
1092,143
1092,-100
1092,140
1092,118
1093,26
1093,21
1093,-107
1093,63
1093,172
1093,-76
1093,-2
1093,76
1093,-57
1093,25
1093,106
1093,-40
1093,23
1093,-126
1093,-32
1093,-18
1093,60
1093,30
1093,-35
1093,-112
1094,70
1094,102
1094,89
1094,6
1094,34
1094,-146
1094,-36
1094,-44
1094,32
1094,24
1094,170
1094,-9
1094,83
1094,-63
1094,-149
1094,67
1094,-52
1094,96
1094,200
1094,85
963,45
963,134
963,-597
963,104
963,-619
963,-49
963,-669
963,-634
963,42
963,-595
963,89
963,1
963,33
963,-41
963,11
963,84
