a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,avg_popsize,num_replicates
0.056,-1,1566.59,0,3133.18,1691.9172,27852.09,100
0.056,0,1203.36,670.73,3077.45,1581.3354,26790.73,100
0.056,1,1054.26,892.25,3000.77,1513.3458,26253.66,100
0.056,2,959.18,1025.96,2944.32,1466.8176,25915.94,100
0.056,3,883.37,1123.47,2890.21,1425.897,25716.31,100
0.056,4,837.49,1188.24,2863.22,1403.55,25577.13,100
0.056,5,804.66,1250.76,2860.08,1394.352,25449.81,100
0.056,6,767.95,1287.86,2823.76,1370.2872,25377.55,100
0.056,7,736.01,1318.04,2790.06,1348.4676,25335.24,100
0.056,8,710.73,1343.56,2765.02,1331.8836,25338.12,100
0.056,9,686.98,1357.8,2731.76,1312.2144,25291.93,100
0.056,10,661.91,1369.14,2692.96,1289.9016,25264.28,100
0.056,11,636.03,1386.69,2658.75,1269.3222,25236.42,100
0.056,12,611.15,1389.77,2612.07,1243.7454,25218.19,100
0.056,13,581.64,1396.2,2559.48,1214.5752,25216.92,100
0.056,14,548.49,1394.54,2491.52,1178.076,25241.55,100
0.056,15,523.79,1388.64,2436.22,1148.922,25227,100
0.056,16,493.5,1388.67,2375.67,1116.2214,25241.36,100
0.056,17,466.43,1381.76,2314.62,1084.0836,25230.79,100
0.056,18,435.28,1359.86,2230.42,1041.2436,25205.15,100
0.056,19,410.18,1339.87,2160.23,1005.7398,25218.35,100
0.056,20,382.47,1313.3,2078.24,964.6536,25273.6,100
0.056,21,350.75,1286.8,1988.3,919.266,25229.51,100
0.056,22,324.87,1252.91,1902.65,877.0818,25226.09,100
0.056,23,297.7,1222.97,1818.37,835.1634,25263.33,100
0.056,24,272.43,1189.64,1734.5,793.8732,25268.11,100
0.056,25,246.18,1151.96,1644.32,749.6976,25304.23,100
0.056,26,222.28,1102.54,1547.1,703.1292,25347.86,100
0.056,27,199.63,1047.84,1447.1,655.6932,25349.66,100
0.056,28,173.28,1001.78,1348.34,607.89,25359.23,100
0.056,29,151.45,946.3,1249.2,561.0120000000001,25385.94,100
0.056,30,130.75,890.4,1151.9,515.178,25375.22,100
0.056,31,115.26,833.42,1063.94,474.5172,25409.26,100
0.056,32,97.77,772.84,968.38,430.1844,25429.88,100
0.056,33,82.18,720.6,884.96,391.4064,25439.67,100
0.056,34,71.73,661.6,805.06,355.3404,25500,100
0.056,35,59.87,603.49,723.23,318.1254,25478.11,100
0.056,36,50.31,551.32,651.94,285.8892,25504.34,100
0.056,37,41.56,505.1,588.22,257.0268,25544.55,100
0.056,38,34.34,455.81,524.49,228.5274,25565.68,100
0.056,39,29.64,410.25,469.53,204.3162,25570.01,100
0.056,40,22.64,365.46,410.74,177.9444,25594.14,100
0.056,41,18.98,327.47,365.43,158.0358,25596.76,100
0.056,42,14.96,290.9,320.82,138.3348,25615.33,100
0.056,43,12.52,255.75,280.79,120.9366,25638.2,100
0.056,44,9.31,226.22,244.84,105.0672,25617.33,100
0.056,45,7.86,199.24,214.96,92.1696,25632.26,100
0.056,46,6.19,174.54,186.92,79.992,25644.16,100
0.056,47,4.95,153.13,163.03,69.6606,25710.62,100
0.056,48,3.84,132.22,139.9,59.6796,25691.58,100
0.056,49,2.76,113.64,119.16,50.7096,25758.84,100
0.056,50,2.18,99.01,103.37,43.9386,25740.01,100
0.056,51,1.4545454545454546,85.3030303030303,88.21212121212122,37.39818181818182,25742.303030303032,99
0.056,52,1.0606060606060606,71.29292929292929,73.41414141414141,31.08848484848485,25767.050505050505,99
0.056,53,1.1111111111111112,61.303030303030305,63.525252525252526,26.947272727272725,25782.20202020202,99
0.056,54,0.6804123711340206,52.75257731958763,54.11340206185567,22.890927835051546,25740.134020618556,97
0.056,55,0.4895833333333333,45.166666666666664,46.145833333333336,19.49875,25735.114583333332,96
0.056,56,0.3684210526315789,37.68421052631579,38.421052631578945,16.225263157894737,25753.284210526315,95
0.056,57,0.16842105263157894,32.694736842105264,33.03157894736842,13.913684210526316,25755.063157894736,95
0.056,58,0.15217391304347827,28.380434782608695,28.684782608695652,12.084130434782608,25720.66304347826,92
0.056,59,0.125,26.556818181818183,26.806818181818183,11.288863636363637,25714.352272727272,88
0.056,60,0.12790697674418605,22.674418604651162,22.930232558139537,9.661395348837209,25749.1511627907,86
0.056,61,0.023529411764705882,19.647058823529413,19.694117647058825,8.277176470588236,25748.788235294116,85
0.056,62,0.10975609756097561,17.28048780487805,17.5,7.376341463414634,25759.780487804877,82
0.056,63,0.012345679012345678,14.925925925925926,14.950617283950617,6.282222222222222,25746.246913580246,81
0.056,64,0.07692307692307693,12.307692307692308,12.461538461538462,5.252307692307692,25684.55128205128,78
0.056,65,0,11.51388888888889,11.51388888888889,4.835833333333333,25751.152777777777,72
0.056,66,0.04411764705882353,10.029411764705882,10.117647058823529,4.26,25764.926470588234,68
0.056,67,0.06451612903225806,9.96774193548387,10.096774193548388,4.256129032258064,25789.790322580644,62
0.056,68,0.01818181818181818,9.272727272727273,9.309090909090909,3.914181818181818,25797.381818181817,55
0.056,69,0,8.3125,8.3125,3.49125,25839.083333333332,48
0.056,70,0,6.659574468085107,6.659574468085107,2.7970212765957445,25797.425531914894,47
0.056,71,0,6.3,6.3,2.646,25766.6,40
0.056,72,0,7.15625,7.15625,3.0056249999999998,25767.40625,32
0.056,73,0,7.814814814814815,7.814814814814815,3.2822222222222224,25797.62962962963,27
0.056,74,0,7.5,7.5,3.15,25731.636363636364,22
0.056,75,0,7.105263157894737,7.105263157894737,2.9842105263157896,25777.526315789473,19
0.056,76,0,6,6,2.52,25783.11111111111,18
0.056,77,0,6.5,6.5,2.73,25772.375,16
0.056,78,0,7.571428571428571,7.571428571428571,3.18,25686.85714285714,14
0.056,79,0,7.230769230769231,7.230769230769231,3.036923076923077,25751.923076923078,13
0.056,80,0,7.333333333333333,7.333333333333333,3.08,25602.583333333332,12
0.056,81,0,6.583333333333333,6.583333333333333,2.765,25735.75,12
