a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,avg_popsize,num_replicates
0.1,-1,2779.22,0,5558.44,3001.5576,27825.8,100
0.1,0,2470.07,676.03,5616.17,2951.6082,26900.79,100
0.1,1,2345.19,914.63,5605.01,2916.9498,26362.29,100
0.1,2,2255.56,1064.75,5575.87,2883.1998,26070.06,100
0.1,3,2203.2,1169.98,5576.38,2870.8476,25846.17,100
0.1,4,2161.96,1272.32,5596.24,2869.2912,25758.76,100
0.1,5,2137.74,1339.35,5614.83,2871.2862,25668.19,100
0.1,6,2129.68,1402.08,5661.44,2888.928,25592.15,100
0.1,7,2138.28,1451.88,5728.44,2919.132,25574.31,100
0.1,8,2147.14,1486.59,5780.87,2943.279,25505.89,100
0.1,9,2165.93,1526.74,5858.6,2980.4352,25471.94,100
0.1,10,2183.12,1555.93,5922.17,3011.2602,25418.07,100
0.1,11,2208.78,1585.89,6003.45,3051.5562,25429.87,100
0.1,12,2237.59,1613.11,6088.29,3094.1034,25465.11,100
0.1,13,2274.59,1639.48,6188.66,3145.1388,25519.07,100
0.1,14,2315.77,1662.8,6294.34,3199.4076,25474.66,100
0.1,15,2355.28,1684,6394.56,3250.9824,25509,100
0.1,16,2397.95,1698.27,6494.17,3303.0594,25498.32,100
0.1,17,2441.42,1697.32,6580.16,3349.608,25449.65,100
0.1,18,2475.43,1700.74,6651.6,3387.7752,25439.48,100
0.1,19,2508.12,1707.43,6723.67,3425.8902,25399.24,100
0.1,20,2547.48,1719.43,6814.39,3473.439,25440.53,100
0.1,21,2614.41,1735.48,6964.3,3552.4644,25446.85,100
0.1,22,2659.31,1728.74,7047.36,3598.1256,25458.36,100
0.1,23,2715.97,1730.49,7162.43,3660.0534,25471.03,100
0.1,24,2768.15,1742.59,7278.89,3721.4898,25440.09,100
0.1,25,2821.05,1751.56,7393.66,3782.3892,25434.72,100
0.1,26,2888.93,1755.57,7533.43,3857.3838,25457.7,100
0.1,27,2946.13,1759.23,7651.49,3920.697,25475.28,100
0.1,28,3009.05,1756.04,7774.14,3987.3108,25503.92,100
0.1,29,3065.57,1766.59,7897.73,4052.7834,25464.02,100
0.1,30,3117.71,1765.44,8000.86,4108.6116,25514.46,100
0.1,31,3173.5,1766.14,8113.14,4169.1588,25535.63,100
0.1,32,3236.17,1765.57,8237.91,4236.603,25553.24,100
0.1,33,3300.31,1766.1,8366.72,4306.0968,25558.34,100
0.1,34,3357.93,1774.59,8490.45,4371.8922,25564.85,100
0.1,35,3424.94,1772,8621.88,4443.1752,25580.17,100
0.1,36,3486.34,1779.75,8752.43,4512.7422,25584.44,100
0.1,37,3538.69,1778.71,8856.09,4568.8434,25582.08,100
0.1,38,3608.01,1775.93,8991.95,4642.5414,25605.32,100
0.1,39,3675.8,1771.15,9122.75,4713.747,25592.11,100
0.1,40,3731.32,1758.58,9221.22,4768.4292,25576.38,100
0.1,41,3786.36,1760.34,9333.06,4828.6116,25564.3,100
0.1,42,3855.41,1768.54,9479.36,4906.6296,25566.71,100
0.1,43,3936.7,1762.43,9635.83,4991.8566,25593.99,100
0.1,44,3997.88,1762.28,9758.04,5057.868,25608.58,100
0.1,45,4071.36,1761.76,9904.48,5137.008,25630.47,100
0.1,46,4132.47,1761.39,10026.33,5202.8514000000005,25641.22,100
0.1,47,4191.69,1752.94,10136.32,5263.26,25632.67,100
0.1,48,4250.55,1751.66,10252.76,5326.2912,25678.66,100
0.1,49,4334.59,1752.03,10421.21,5417.2098,25694.34,100
0.1,50,4393.63,1746.2,10533.46,5478.5244,25710.68,100
0.1,51,4446.73,1748.73,10642.19,5536.935,25700.91,100
0.1,52,4522.08,1758.37,10802.53,5622.3618,25751.25,100
0.1,53,4578.91,1755.49,10913.31,5682.5286,25766.6,100
0.1,54,4635,1745.98,11015.98,5739.1116,25734.53,100
0.1,55,4706.36,1750.15,11162.87,5817.9318,25730.39,100
0.1,56,4782.73,1751.79,11317.25,5901.1002,25786.06,100
0.1,57,4854.56,1745.48,11454.6,5976.0264,25805.58,100
0.1,58,4925.05,1746.35,11596.45,6052.521,25772.73,100
0.1,59,4997.58,1745.69,11740.85,6130.5761999999995,25839.6,100
0.1,60,5058.9,1742.68,11860.48,6195.5376,25834.35,100
