a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,avg_popsize,num_replicates
0.0688,-1,1915.04,0,3830.08,2068.2432,27809.03,100
0.0688,0,1554.67,669.86,3779.2,1960.3848,26802.89,100
0.0688,1,1414,901.99,3729.99,1905.9558,26267.69,100
0.0688,2,1319.53,1054.14,3693.2,1867.8312,25963.33,100
0.0688,3,1251.32,1152.88,3655.52,1835.6352,25752.02,100
0.0688,4,1211.42,1229.34,3652.18,1824.6564,25582.91,100
0.0688,5,1172.53,1297.55,3642.61,1811.3034,25488.48,100
0.0688,6,1160.97,1348.95,3670.89,1820.4066,25436.07,100
0.0688,7,1144.97,1401.51,3691.45,1825.2018,25363.65,100
0.0688,8,1130.55,1436.07,3697.17,1824.1434,25352.08,100
0.0688,9,1122.11,1478.18,3722.4,1832.7144,25354.51,100
0.0688,10,1116.76,1509.66,3743.18,1840.158,25342.6,100
0.0688,11,1107.93,1533.54,3749.4,1840.6512,25319.66,100
0.0688,12,1106.83,1556.3,3769.96,1849.0224,25300.36,100
0.0688,13,1099.01,1587.94,3785.96,1853.8656,25284.58,100
0.0688,14,1102.41,1604.78,3809.6,1864.6104,25263.19,100
0.0688,15,1100.14,1623.29,3823.57,1869.933,25230.49,100
0.0688,16,1091.07,1628.47,3810.61,1862.313,25219.04,100
0.0688,17,1088.32,1646.45,3823.09,1866.8946,25243.22,100
0.0688,18,1089.05,1655.95,3834.05,1871.673,25231.15,100
0.0688,19,1092.06,1665.84,3849.96,1879.0776,25247.31,100
0.0688,20,1102.95,1675.12,3881.02,1894.7364,25303.09,100
0.0688,21,1107.84,1682.85,3898.53,1903.2642,25228.6,100
0.0688,22,1104.11,1682.81,3891.03,1899.219,25215.9,100
0.0688,23,1105.45,1684.32,3895.22,1901.3004,25220.48,100
0.0688,24,1110.35,1697.35,3918.05,1912.065,25211.94,100
0.0688,25,1114.48,1701.09,3930.05,1918.0962,25189.32,100
0.0688,26,1120.43,1696.21,3937.07,1922.4726,25214.94,100
0.0688,27,1132.24,1696.59,3961.07,1935.387,25219.3,100
0.0688,28,1124.08,1705.26,3953.42,1930.2156,25216.11,100
0.0688,29,1134.9,1704.99,3974.79,1941.7878,25246.43,100
0.0688,30,1139.38,1705.4,3984.16,1946.7984,25260.23,100
0.0688,31,1140.18,1706.52,3986.88,1948.1328,25261.05,100
0.0688,32,1145.27,1706.03,3996.57,1953.4242,25261.54,100
0.0688,33,1159.1,1714.43,4032.63,1971.8886,25263.57,100
0.0688,34,1161.53,1699.13,4022.19,1968.087,25174.06,100
0.0688,35,1172.01,1695.29,4039.31,1977.7926,25205.86,100
0.0688,36,1176.98,1692.94,4046.9,1982.1732,25203.52,100
0.0688,37,1186.76,1675.87,4049.39,1985.5662,25199.99,100
0.0688,38,1194.39,1675.88,4064.66,1993.8108,25238.8,100
0.0688,39,1205.73,1670.85,4082.31,2003.9454,25222.44,100
0.0688,40,1210.14,1665.46,4085.74,2006.4444,25222.82,100
0.0688,41,1215.82,1662.56,4094.2,2011.3608,25239.98,100
0.0688,42,1219.85,1645.04,4084.74,2008.3548,25269.18,100
0.0688,43,1225.07,1636.33,4086.47,2010.3342,25239.11,100
0.0688,44,1237.43,1619.24,4094.1,2016.5052,25288.12,100
0.0688,45,1249.13,1602.76,4101.02,2022.2196,25293.29,100
0.0688,46,1270.82,1584.18,4125.82,2037.8412,25280.56,100
0.0688,47,1280.72,1578.18,4139.62,2046.0132,25268.17,100
0.0688,48,1290.23,1568,4148.46,2052.0084,25281.69,100
0.0688,49,1297.61,1549.24,4144.46,2052.0996,25284.93,100
0.0688,50,1314.05,1533.22,4161.32,2063.1264,25315.7,100
0.0688,51,1338.5,1518.31,4195.31,2083.2702,25309.9,100
0.0688,52,1351.58,1497.89,4201.05,2088.8202,25317.91,100
0.0688,53,1361.72,1483.81,4207.25,2093.8578,25316.71,100
0.0688,54,1383.4,1463.58,4230.38,2108.7756,25350.84,100
0.0688,55,1412.51,1450.68,4275.7,2134.7964,25397.11,100
0.0688,56,1437.47,1425.05,4299.99,2150.9886,25386.33,100
0.0688,57,1462.48,1421.28,4346.24,2176.416,25416.95,100
0.0688,58,1478.84,1394,4351.68,2182.6272,25393.53,100
0.0688,59,1507.74,1382.68,4398.16,2209.0848,25419.07,100
0.0688,60,1528.64,1364.08,4421.36,2223.8448,25440.52,100
0.0688,61,1547.99,1347.06,4443.04,2237.5944,25435.22,100
0.0688,62,1564.83,1336.4,4466.06,2251.3044,25476.2,100
0.0688,63,1594.96,1317.36,4507.28,2275.848,25454.9,100
0.0688,64,1625.98,1301.01,4552.97,2302.4826,25471.25,100
0.0688,65,1664.5555555555557,1302.4444444444443,4631.555555555556,2344.746666666667,25455.343434343435,99
0.0688,66,1687.909090909091,1285.2222222222222,4661.040404040404,2362.7351515151513,25465.222222222223,99
0.0688,67,1721.989898989899,1272.3737373737374,4716.353535353535,2394.1460606060605,25488.959595959597,99
0.0688,68,1745.3131313131314,1262.3030303030303,4752.929292929293,2415.1054545454544,25519.858585858587,99
0.0688,69,1784.1326530612246,1252.7244897959183,4820.989795918367,2453.0075510204083,25492.14285714286,98
0.0688,70,1817.0102040816328,1241.3775510204082,4875.397959183673,2483.749591836735,25521.816326530614,98
0.0688,71,1857.2244897959183,1231.1938775510205,4945.642857142857,2522.9038775510203,25522.14285714286,98
0.0688,72,1869.1530612244899,1229.061224489796,4967.367346938776,2534.891020408163,25539.918367346938,98
0.0688,73,1915.1632653061224,1215.3265306122448,5045.65306122449,2578.813469387755,25560.26530612245,98
0.0688,74,1950.4329896907216,1219,5119.865979381443,2618.4476288659794,25553.546391752578,97
0.0688,75,2006.5208333333333,1218.3333333333333,5231.375,2678.7425,25528.802083333332,96
0.0688,76,2034.1979166666667,1205.9270833333333,5274.322916666667,2703.423125,25531.40625,96
0.0688,77,2076.4736842105262,1215.2842105263157,5368.231578947369,2753.010947368421,25588.473684210527,95
0.0688,78,2114.621052631579,1201.6947368421052,5430.936842105263,2788.5025263157895,25565.105263157893,95
0.0688,79,2169.7978723404253,1192.9468085106382,5532.54255319149,2844.419361702128,25612.074468085106,94
0.0688,80,2198.925531914894,1190.7021276595744,5588.553191489362,2874.9344680851063,25607.042553191488,94
0.0688,81,2247.6774193548385,1186.021505376344,5681.376344086021,2925.62064516129,25593.666666666668,93
0.0688,82,2355.1666666666665,1211.5555555555557,5921.888888888889,3052.4333333333334,25587.588888888888,90
0.0688,83,2388.277777777778,1209,5985.555555555556,3087.12,25648.222222222223,90
0.0688,84,2457.921348314607,1210.8539325842696,6126.696629213483,3163.1137078651686,25627.83146067416,89
0.0688,85,2506.2134831460676,1198.8539325842696,6211.2808988764045,3210.229213483146,25681.247191011236,89
0.0688,86,2554.409090909091,1203.1363636363637,6311.954545454545,3264.079090909091,25646.784090909092,88
0.0688,87,2646.779069767442,1222.5813953488373,6516.139534883721,3372.005581395349,25624.406976744187,86
0.0688,88,2709.211764705882,1237.0470588235294,6655.470588235294,3445.5084705882355,25649.58823529412,85
0.0688,89,2755.2823529411767,1225.070588235294,6735.635294117647,3490.2345882352943,25622.670588235294,85
0.0688,90,2846.8072289156626,1243.9397590361446,6937.55421686747,3597.0065060240963,25651.253012048193,83
0.0688,91,2881.9036144578313,1237.6506024096386,7001.457831325301,3632.269156626506,25673.9156626506,83
0.0688,92,2972.2195121951218,1247.4268292682927,7191.865853658536,3733.9163414634145,25723.79268292683,82
0.0688,93,3012.878048780488,1242.6951219512196,7268.451219512195,3775.840243902439,25723.29268292683,82
