0.0721,0,0,3860,0.0742336,96,48,0
0.0721,0,1,3674,0.0715733,113,54,5
0.0721,0,2,3820,0.0744233,106,50,6
0.0721,0,3,4037,0.0791196,112,51,10
0.0721,0,4,3950,0.0782829,144,65,14
0.0721,0,5,3940,0.0783955,109,49,11
0.0721,0,6,4077,0.0809282,125,56,13
0.0721,0,7,3973,0.0792223,123,54,15
0.0721,0,8,4033,0.079628,79,32,15
0.0721,0,9,4014,0.0781542,81,37,7
0.0721,0,10,4160,0.0824742,86,34,18
0.0721,0,11,4038,0.0817707,59,26,7
0.0721,0,12,3974,0.0808479,103,45,13
0.0721,0,13,4135,0.0833233,75,27,21
0.0721,0,14,4193,0.0844036,84,32,20
0.0721,0,15,4101,0.0821613,128,53,22
0.0721,0,16,4126,0.0834344,80,32,16
0.0721,0,17,3996,0.0801766,87,35,17
0.0721,0,18,4105,0.0816071,47,18,11
0.0721,0,19,4186,0.084161,59,20,19
0.0721,0,20,4165,0.0822862,73,26,21
0.0721,0,21,4078,0.0821316,64,19,26
0.0721,0,22,4278,0.0862257,90,36,18
0.0721,0,23,4416,0.0886533,114,49,16
0.0721,0,24,4482,0.0899964,52,18,16
0.0721,0,25,4580,0.090765,145,61,23
0.0721,0,26,4732,0.0932451,67,25,17
0.0721,0,27,4697,0.0927674,72,31,10
0.0721,0,28,4855,0.0962415,122,54,14
0.0721,0,29,4871,0.0967582,55,20,15
0.0721,0,30,4839,0.096356,100,42,16
0.0721,0,31,4899,0.0980153,72,29,14
0.0721,0,32,4915,0.0967177,64,27,10
0.0721,0,33,5036,0.0982864,82,33,16
0.0721,0,34,4990,0.0975143,38,13,12
0.0721,0,35,5054,0.100621,98,40,18
0.0721,0,36,5092,0.101261,88,37,14
0.0721,0,37,5427,0.10812,92,42,8
0.0721,0,38,5464,0.109816,82,34,14
0.0721,0,39,5358,0.108151,96,47,2
0.0721,0,40,5333,0.106494,152,66,20
0.0721,0,41,5341,0.105716,131,58,15
0.0721,0,42,5455,0.10835,82,35,12
0.0721,0,43,5711,0.110923,92,36,20
0.0721,0,44,5752,0.112212,92,40,12
0.0721,0,45,5966,0.116369,116,53,10
0.0721,0,46,5902,0.116135,127,60,7
0.0721,0,47,5871,0.114825,74,34,6
0.0721,0,48,5843,0.115675,82,32,18
0.0721,0,49,6139,0.121118,72,33,6
0.0721,0,50,5935,0.116345,66,28,10
0.0721,0,51,5965,0.118077,35,16,3
0.0721,0,52,6246,0.123088,99,45,9
0.0721,0,53,6127,0.122047,90,39,12
0.0721,0,54,6342,0.126043,94,45,4
0.0721,0,55,6378,0.125074,125,59,7
0.0721,0,56,6440,0.127358,79,35,9
0.0721,0,57,6536,0.128788,102,43,16
