a,sigma,k,u_hat,delta,outcome
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068107383,0.01,0.2,0.4,0.000576425,decrease
0.068107383,0.01,0.2,0.4,0.000576425,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,decrease
0.068771812,0.01,0.2,0.4,0.000577721,increase
