a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.08,1,-1,2182,0,4364,2356.56,27852,increase
0.08,1,0,1886,757,4529,2354.82,27048,increase
0.08,1,1,1755,933,4443,2287.26,26088,increase
0.08,1,2,1629,1048,4306,2199.48,25809,increase
0.08,1,3,1563,1252,4378,2213.88,25400,increase
0.08,1,4,1553,1259,4365,2206.02,25690,increase
0.08,1,5,1636,1361,4633,2338.5,26071,increase
0.08,1,6,1568,1382,4518,2273.88,25525,increase
0.08,1,7,1601,1456,4658,2340.6,25470,increase
0.08,1,8,1524,1480,4528,2267.52,25610,increase
0.08,1,9,1569,1601,4739,2366.94,25701,increase
0.08,1,10,1500,1641,4641,2309.22,25658,increase
0.08,1,11,1449,1614,4512,2242.8,25705,increase
0.08,1,12,1385,1568,4338,2154.36,25494,increase
0.08,1,13,1429,1648,4506,2235.48,25254,increase
0.08,1,14,1463,1628,4554,2263.8,24883,increase
0.08,1,15,1553,1482,4588,2299.68,24979,increase
0.08,1,16,1536,1522,4594,2298.12,24793,increase
0.08,1,17,1597,1616,4810,2403.48,25293,increase
0.08,1,18,1551,1523,4625,2314.74,25175,increase
0.08,1,19,1679,1517,4875,2450.46,25131,increase
0.08,1,20,1579,1623,4781,2386.98,25298,increase
0.08,1,21,1637,1612,4886,2445,25135,increase
0.08,1,22,1618,1665,4901,2446.74,25326,increase
0.08,1,23,1690,1686,5066,2533.32,25841,increase
0.08,1,24,1702,1752,5156,2574,25573,increase
0.08,1,25,1621,1742,4984,2482.32,25501,increase
0.08,1,26,1758,1777,5293,2644.98,25311,increase
0.08,1,27,1785,1856,5426,2707.32,25749,increase
0.08,1,28,1817,1797,5431,2717.1,25536,increase
0.08,1,29,1875,1751,5501,2760.42,25653,increase
0.08,1,30,1979,1827,5785,2904.66,25756,increase
0.08,1,31,2023,1853,5899,2963.1,25865,increase
0.08,1,32,2103,1831,6037,3040.26,25560,increase
0.08,1,33,2127,1807,6061,3056.1,25538,increase
0.08,1,34,2171,1829,6171,3112.86,25441,increase
0.08,1,35,2323,1870,6516,3294.24,25486,increase
0.08,1,36,2320,1799,6439,3261.18,25261,increase
0.08,1,37,2344,1844,6532,3306,25440,increase
0.08,1,38,2184,1778,6146,3105.48,25219,increase
0.08,1,39,2334,1886,6554,3312.84,25496,increase
0.08,1,40,2219,1888,6326,3189.48,25423,increase
0.08,1,41,2287,1784,6358,3219.24,25286,increase
0.08,1,42,2419,1782,6620,3360.96,25535,increase
0.08,1,43,2350,1741,6441,3269.22,25172,increase
0.08,1,44,2288,1796,6372,3225.36,25391,increase
0.08,1,45,2346,1905,6597,3333.78,25913,increase
0.08,1,46,2329,1885,6543,3307.02,25573,increase
0.08,1,47,2514,1777,6805,3461.46,25758,increase
0.08,1,48,2505,1845,6855,3480.3,25528,increase
0.08,1,49,2549,1868,6966,3537.48,25473,increase
0.08,1,50,2668,1758,7094,3619.8,25753,increase
0.08,1,51,2576,1911,7063,3584.7,25213,increase
0.08,1,52,2786,1869,7441,3793.86,25439,increase
0.08,1,53,2805,1905,7515,3829.5,25393,increase
0.08,1,54,2865,1839,7569,3866.58,25222,increase
0.08,1,55,2819,1783,7421,3793.38,25339,increase
0.08,1,56,2978,1807,7763,3975.18,25667,increase
0.08,1,57,3086,1724,7896,4056.96,25239,increase
0.08,1,58,3135,1822,8092,4151.04,25077,increase
0.08,1,59,3288,1771,8347,4294.86,25219,increase
0.08,1,60,3376,1698,8450,4359.24,25146,increase
0.08,1,61,3355,1751,8461,4358.82,25170,increase
0.08,1,62,3543,1609,8695,4502.22,25159,increase
0.08,1,63,3582,1726,8890,4593.48,25385,increase
0.08,1,64,3710,1688,9108,4715.76,25640,increase
0.08,1,65,3637,1776,9050,4673.88,25855,increase
0.08,1,66,3775,1757,9307,4814.94,25523,increase
0.08,1,67,3797,1741,9335,4831.98,25449,increase
0.08,1,68,3739,1837,9315,4809.66,25832,increase
0.08,1,69,3844,1795,9483,4905.42,25966,increase
0.08,1,70,3923,1837,9683,5008.38,25992,increase
0.08,1,71,3809,1733,9351,4841.58,25520,increase
0.08,1,72,3912,1632,9456,4910.4,25047,increase
0.08,1,73,3903,1619,9425,4895.22,24976,increase
0.08,1,74,4066,1621,9753,5072.1,25342,increase
0.08,1,75,4194,1618,10006,5209.08,25580,increase
0.08,1,76,4064,1674,9802,5092.2,25696,increase
0.08,1,77,4213,1661,10087,5247.66,26120,increase
0.08,1,78,4343,1773,10459,5435.1,26181,increase
0.08,1,79,4189,1717,10095,5245.26,25768,increase
0.08,1,80,4379,1748,10506,5463.48,25695,increase
0.08,1,81,4435,1816,10686,5552.52,25905,increase
0.08,1,82,4474,1902,10850,5630.76,26003,increase
0.08,1,83,4581,1843,11005,5721.54,25902,increase
0.08,1,84,4343,1812,10498,5451.48,25465,increase
0.08,1,85,4548,1812,10908,5672.88,25638,increase
0.08,1,86,4599,1805,11003,5725.02,25534,increase
0.08,1,87,4752,1736,11240,5861.28,25973,increase
0.08,1,88,4586,1823,10995,5718.54,25633,increase
0.08,1,89,4810,1760,11380,5934,25559,increase
0.08,1,90,4893,1743,11529,6016.5,25782,increase
0.08,1,91,4768,1736,11272,5878.56,25402,increase
0.08,1,92,4869,1722,11460,5981.76,25348,increase
0.08,1,93,5234,1735,12203,6381.42,26135,increase
0.08,1,94,5062,1759,11883,6205.74,25886,increase
0.08,1,95,5160,1653,11973,6267.06,25807,increase
0.08,1,96,5313,1578,12204,6400.8,25889,increase
0.08,1,97,5433,1681,12547,6573.66,26018,increase
0.08,1,98,5351,1685,12387,6486.78,25838,increase
0.08,1,99,5532,1664,12728,6673.44,25768,increase
0.08,1,100,5733,1747,13213,6925.38,26185,increase
0.08,2,-1,2245,0,4490,2424.6,27979,increase
0.08,2,0,1941,680,4562,2381.88,26928,increase
0.08,2,1,1744,837,4325,2235.06,26261,increase
0.08,2,2,1686,977,4349,2231.22,25612,increase
0.08,2,3,1717,1125,4559,2326.86,25493,increase
0.08,2,4,1744,1075,4563,2335.02,25548,increase
0.08,2,5,1761,1272,4794,2436.12,25771,increase
0.08,2,6,1695,1444,4834,2437.08,26090,increase
0.08,2,7,1639,1383,4661,2350.98,25734,increase
0.08,2,8,1556,1467,4579,2296.62,25639,increase
0.08,2,9,1576,1679,4831,2407.26,25599,increase
0.08,2,10,1584,1454,4622,2321.4,25251,increase
0.08,2,11,1543,1453,4539,2276.7,25242,increase
0.08,2,12,1542,1506,4590,2297.88,25309,increase
0.08,2,13,1566,1579,4711,2354.46,25415,increase
0.08,2,14,1735,1739,5209,2604.18,25626,increase
0.08,2,15,1644,1724,5012,2499.6,25621,increase
0.08,2,16,1622,1720,4964,2474.16,25584,increase
0.08,2,17,1645,1881,5171,2566.62,25659,increase
0.08,2,18,1689,1800,5178,2580.12,25545,increase
0.08,2,19,1736,1833,5305,2644.74,25486,increase
0.08,2,20,1815,1720,5350,2682.6,25203,increase
0.08,2,21,1803,1836,5442,2718.36,25539,increase
0.08,2,22,1854,1790,5498,2754.12,25167,increase
0.08,2,23,1895,1901,5691,2845.02,25387,increase
0.08,2,24,1962,1926,5850,2927.88,25465,increase
0.08,2,25,1967,1803,5737,2881.62,24750,increase
0.08,2,26,2046,1791,5883,2961.9,25068,increase
0.08,2,27,2109,1776,5994,3023.64,25368,increase
0.08,2,28,2118,1733,5969,3015.3,25453,increase
0.08,2,29,2042,1768,5852,2947.92,25122,increase
0.08,2,30,2175,1847,6197,3124.74,25171,increase
0.08,2,31,2198,1737,6133,3103.38,24791,increase
0.08,2,32,2358,1688,6404,3255.6,25399,increase
0.08,2,33,2388,1716,6492,3299.76,25438,increase
0.08,2,34,2397,1765,6559,3330.06,25199,increase
0.08,2,35,2608,1811,7027,3577.26,25481,increase
0.08,2,36,2644,1810,7098,3615.72,25399,increase
0.08,2,37,2627,1872,7126,3623.4,25424,increase
0.08,2,38,2643,1768,7054,3597,25412,increase
0.08,2,39,2638,1826,7102,3615.96,25603,increase
0.08,2,40,2656,1779,7091,3615.66,25488,increase
0.08,2,41,2795,1894,7484,3814.08,25774,increase
0.08,2,42,2913,1844,7670,3920.52,25671,increase
0.08,2,43,3101,1810,8012,4109.28,25764,increase
0.08,2,44,3100,1765,7965,4089.3,25348,increase
0.08,2,45,3150,1758,8058,4140.36,25178,increase
0.08,2,46,3260,1721,8241,4243.62,25241,increase
0.08,2,47,3254,1646,8154,4205.64,25160,increase
0.08,2,48,3446,1700,8592,4435.68,25428,increase
0.08,2,49,3598,1692,8888,4596.48,25642,increase
0.08,2,50,3612,1651,8875,4594.38,25461,increase
0.08,2,51,3763,1667,9193,4764.18,25453,increase
0.08,2,52,3781,1639,9201,4771.86,25493,increase
0.08,2,53,3846,1695,9387,4865.58,25823,increase
0.08,2,54,3764,1707,9235,4782.06,25606,increase
0.08,2,55,3833,1669,9335,4840.62,25536,increase
0.08,2,56,3902,1655,9459,4909.26,25430,increase
0.08,2,57,3855,1729,9439,4889.58,25492,increase
0.08,2,58,3945,1681,9571,4966.62,25414,increase
0.08,2,59,4109,1838,10056,5209.68,25724,increase
0.08,2,60,4212,1838,10262,5320.92,25772,increase
0.08,2,61,4150,1757,10057,5219.94,25661,increase
0.08,2,62,4284,1774,10342,5371.8,25830,increase
0.08,2,63,4170,1769,10109,5246.58,25704,increase
0.08,2,64,4356,1856,10568,5484,25736,increase
0.08,2,65,4390,1739,10519,5471.58,25428,increase
0.08,2,66,4425,1854,10704,5557.68,25337,increase
0.08,2,67,4355,1853,10563,5481.66,25171,increase
0.08,2,68,4394,1712,10500,5464.56,24709,increase
0.08,2,69,4568,1751,10887,5668.86,25060,increase
0.08,2,70,4548,1648,10744,5604,25052,increase
0.08,2,71,4846,1722,11414,5956.92,25494,increase
0.08,2,72,4731,1665,11127,5808.78,25226,increase
0.08,2,73,4798,1692,11288,5892.48,25575,increase
0.08,2,74,4914,1646,11474,5998.44,25536,increase
0.08,2,75,4937,1720,11594,6054.36,25777,increase
0.08,2,76,5053,1697,11803,6169.98,25798,increase
0.08,2,77,5205,1767,12177,6363.54,25834,increase
0.08,2,78,5129,1771,12029,6283.14,25777,increase
0.08,2,79,5314,1583,12211,6403.98,26018,increase
0.08,2,80,5427,1610,12464,6537.36,25832,increase
0.08,2,81,5602,1626,12830,6733.08,25881,increase
0.08,2,82,5596,1586,12778,6709.8,25526,increase
0.08,2,83,5565,1625,12755,6692.7,25512,increase
0.08,2,84,5717,1622,13056,6855.6,25869,increase
0.08,2,85,5632,1638,12902,6770.52,25580,increase
0.08,2,86,5717,1728,13162,6900.12,25707,increase
0.08,2,87,5934,1692,13560,7119.36,25991,increase
0.08,2,88,6096,1817,14009,7346.82,26061,increase
0.08,2,89,6026,1803,13855,7265.34,25897,increase
0.08,2,90,6071,1679,13821,7261.86,25708,increase
0.08,2,91,6126,1732,13984,7343.52,25878,increase
0.08,2,92,6194,1678,14066,7394.28,25964,increase
0.08,2,93,6419,1754,14592,7669.2,26395,increase
0.08,2,94,6302,1673,14277,7508.82,26223,increase
0.08,2,95,6464,1679,14607,7686.3,26613,increase
0.08,2,96,6466,1660,14592,7680.48,26574,increase
0.08,2,97,6372,1685,14429,7589.46,26078,increase
0.08,2,98,6479,1688,14646,7706.28,25735,increase
0.08,2,99,6649,1651,14949,7874.34,26126,increase
0.08,2,100,6943,1714,15600,8218.32,26479,increase
0.08,3,-1,2266,0,4532,2447.28,27646,increase
0.08,3,0,1929,691,4549,2373.54,26922,increase
0.08,3,1,1797,882,4476,2311.2,26219,increase
0.08,3,2,1704,1110,4518,2306.52,25891,increase
0.08,3,3,1652,1193,4497,2285.22,25877,increase
0.08,3,4,1602,1413,4617,2323.62,25820,increase
0.08,3,5,1530,1352,4412,2220.24,25427,increase
0.08,3,6,1454,1421,4329,2167.14,25054,increase
0.08,3,7,1406,1489,4301,2143.86,25219,increase
0.08,3,8,1503,1526,4532,2264.16,25379,increase
0.08,3,9,1489,1575,4553,2269.62,24900,increase
0.08,3,10,1660,1496,4816,2421.12,25295,increase
0.08,3,11,1579,1523,4681,2344.98,25151,increase
0.08,3,12,1687,1502,4876,2452.8,25361,increase
0.08,3,13,1627,1522,4776,2396.4,25240,increase
0.08,3,14,1656,1500,4812,2418.48,25114,increase
0.08,3,15,1619,1511,4749,2383.14,25114,increase
0.08,3,16,1692,1553,4937,2479.62,25122,increase
0.08,3,17,1663,1715,5041,2516.34,25201,increase
0.08,3,18,1614,1710,4938,2461.32,25098,increase
0.08,3,19,1655,1706,5016,2503.92,24830,increase
0.08,3,20,1652,1721,5025,2506.98,24924,increase
0.08,3,21,1767,1651,5185,2601.78,25270,increase
0.08,3,22,1802,1697,5301,2658.9,25315,increase
0.08,3,23,1918,1773,5609,2816.1,25529,increase
0.08,3,24,1868,1773,5509,2762.1,25635,increase
0.08,3,25,1845,1758,5448,2730.96,25224,increase
0.08,3,26,1920,1715,5555,2793.9,25262,increase
