a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.0764,1,-1,2111,0,4222,2279.88,27571,increase
0.0764,1,0,1756,651,4163,2169.9,26775,increase
0.0764,1,1,1600,893,4093,2103.06,26222,increase
0.0764,1,2,1608,1062,4278,2182.68,26023,increase
0.0764,1,3,1507,1218,4232,2139.12,25736,increase
0.0764,1,4,1479,1314,4272,2149.2,25720,increase
0.0764,1,5,1422,1333,4177,2095.62,25637,increase
0.0764,1,6,1431,1425,4287,2143.98,25701,increase
0.0764,1,7,1335,1520,4190,2080.2,25605,increase
0.0764,1,8,1298,1523,4119,2041.5,25527,increase
0.0764,1,9,1309,1486,4104,2037.84,25513,increase
0.0764,1,10,1243,1541,4027,1989.66,24797,increase
0.0764,1,11,1311,1557,4179,2069.82,25106,increase
0.0764,1,12,1314,1531,4159,2062.14,24929,increase
0.0764,1,13,1262,1512,4036,1998,24865,increase
0.0764,1,14,1216,1620,4052,1993.68,25327,increase
0.0764,1,15,1251,1613,4115,2028.54,25406,increase
0.0764,1,16,1280,1608,4168,2057.76,25324,increase
0.0764,1,17,1286,1624,4196,2070.96,25569,increase
0.0764,1,18,1244,1651,4139,2036.94,25390,increase
0.0764,1,19,1229,1707,4165,2044.26,25253,increase
0.0764,1,20,1310,1720,4340,2137.2,25287,increase
0.0764,1,21,1356,1644,4356,2154.96,25160,increase
0.0764,1,22,1289,1608,4186,2067.48,24952,increase
0.0764,1,23,1334,1521,4189,2079.54,25033,increase
0.0764,1,24,1361,1566,4288,2127.6,25292,increase
0.0764,1,25,1363,1681,4407,2178.06,25212,increase
0.0764,1,26,1411,1698,4520,2237.04,25346,increase
0.0764,1,27,1406,1607,4419,2193.42,24998,increase
0.0764,1,28,1450,1642,4542,2255.64,25356,increase
0.0764,1,29,1498,1586,4582,2283.96,25181,increase
0.0764,1,30,1466,1677,4609,2287.62,25402,increase
0.0764,1,31,1562,1668,4792,2387.52,25418,increase
0.0764,1,32,1569,1618,4756,2374.08,25351,increase
0.0764,1,33,1571,1733,4875,2424.54,25245,increase
0.0764,1,34,1684,1741,5109,2549.94,25381,increase
0.0764,1,35,1757,1633,5147,2583.42,25268,increase
0.0764,1,36,1672,1548,4892,2455.92,24865,increase
0.0764,1,37,1684,1687,5055,2527.26,25258,increase
0.0764,1,38,1769,1652,5190,2604.36,25120,increase
0.0764,1,39,1843,1690,5376,2700.24,25344,increase
0.0764,1,40,1951,1747,5649,2840.82,25505,increase
0.0764,1,41,2026,1799,5851,2943.66,25289,increase
0.0764,1,42,2096,1839,6031,3036.06,25347,increase
0.0764,1,43,2129,1870,6128,3084.72,25526,increase
0.0764,1,44,2113,1809,6035,3041.82,25186,increase
0.0764,1,45,2074,1832,5980,3009.36,25255,increase
0.0764,1,46,2129,1740,5998,3030.12,25261,increase
0.0764,1,47,2096,1829,6021,3031.86,25538,increase
0.0764,1,48,2078,1841,5997,3017.46,25284,increase
0.0764,1,49,2237,1893,6367,3211.02,25541,increase
0.0764,1,50,2295,1873,6463,3265.26,25540,increase
0.0764,1,51,2246,1931,6423,3236.7,25129,increase
0.0764,1,52,2264,1868,6396,3229.68,25306,increase
0.0764,1,53,2309,1948,6566,3311.88,25488,increase
0.0764,1,54,2293,1819,6405,3240.42,25016,increase
0.0764,1,55,2271,1799,6341,3208.26,25146,increase
0.0764,1,56,2316,1914,6546,3305.16,25417,increase
0.0764,1,57,2486,1784,6756,3434.16,25109,increase
0.0764,1,58,2623,1761,7007,3572.46,25213,increase
0.0764,1,59,2624,1746,6994,3567.24,24846,increase
0.0764,1,60,2575,1846,6996,3556.32,24919,increase
0.0764,1,61,2642,1887,7171,3645.9,25376,increase
0.0764,1,62,2762,1817,7341,3746.1,25076,increase
0.0764,1,63,2943,1828,7714,3946.2,25114,increase
0.0764,1,64,3025,1788,7838,4017.96,25338,increase
0.0764,1,65,3048,1694,7790,4003.32,25181,increase
0.0764,1,66,3095,1781,7971,4090.62,25351,increase
