a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.079,1,-1,2142,0,4284,2313.36,27755,increase
0.079,1,0,1686,634,4006,2087.16,26859,increase
0.079,1,1,1605,866,4076,2097.12,26196,increase
0.079,1,2,1605,997,4207,2152.14,25697,increase
0.079,1,3,1493,1233,4219,2130.3,25384,increase
0.079,1,4,1505,1293,4303,2168.46,25566,increase
0.079,1,5,1478,1362,4318,2168.28,25704,increase
0.079,1,6,1482,1295,4259,2144.46,25184,increase
0.079,1,7,1488,1334,4310,2167.32,25141,increase
0.079,1,8,1545,1388,4478,2251.56,25050,increase
0.079,1,9,1626,1398,4650,2343.24,24927,increase
0.079,1,10,1649,1442,4740,2386.56,25271,increase
0.079,1,11,1653,1425,4731,2383.74,25285,increase
0.079,1,12,1615,1488,4718,2369.16,25245,increase
0.079,1,13,1730,1520,4980,2506.8,25081,increase
0.079,1,14,1915,1467,5297,2684.34,25603,increase
0.079,1,15,1900,1552,5352,2703.84,25888,increase
0.079,1,16,1943,1532,5418,2741.88,25813,increase
0.079,1,17,1956,1529,5441,2754.66,25663,increase
0.079,1,18,1925,1593,5443,2748.06,25446,increase
0.079,1,19,1917,1596,5430,2740.68,25491,increase
0.079,1,20,2138,1625,5901,2991.54,25403,increase
0.079,1,21,2137,1621,5895,2988.78,25089,increase
0.079,1,22,2211,1625,6047,3070.38,25112,increase
0.079,1,23,2205,1584,5994,3046.68,25206,increase
0.079,1,24,2257,1546,6060,3086.88,25262,increase
0.079,1,25,2254,1568,6076,3092.88,24990,increase
0.079,1,26,2475,1657,6607,3368.94,25085,increase
0.079,1,27,2612,1635,6859,3507.66,25802,increase
0.079,1,28,2693,1797,7183,3663.18,25690,increase
0.079,1,29,2752,1832,7336,3741.6,25603,increase
0.079,1,30,2764,1849,7377,3761.7,25522,increase
0.079,1,31,2780,1897,7457,3799.14,25626,increase
0.079,1,32,2759,1797,7315,3734.46,25477,increase
0.079,1,33,2966,1788,7720,3954.24,25489,increase
0.079,1,34,3045,1831,7921,4057.62,25351,increase
0.079,1,35,3157,1847,8161,4185.3,25300,increase
0.079,1,36,3132,1753,8017,4118.82,25045,increase
0.079,1,37,3202,1677,8081,4162.5,25313,increase
0.079,1,38,3309,1797,8415,4328.46,25391,increase
0.079,1,39,3425,1691,8541,4409.22,25420,increase
0.079,1,40,3450,1716,8616,4446.72,25646,increase
0.079,1,41,3414,1793,8621,4440.18,25526,increase
0.079,1,42,3534,1781,8849,4564.74,25627,increase
0.079,1,43,3667,1870,9204,4745.76,26015,increase
0.079,1,44,3546,1949,9041,4648.26,25645,increase
0.079,1,45,3582,1886,9050,4660.68,25357,increase
0.079,1,46,3547,1819,8913,4594.74,25108,increase
0.079,1,47,3756,1939,9451,4870.86,25379,increase
0.079,1,48,3887,1877,9651,4986.3,25610,increase
0.079,1,49,3969,1914,9852,5090.4,25243,increase
0.079,1,50,4029,1807,9865,5110.26,25324,increase
0.079,1,51,4042,1852,9936,5143.2,25753,increase
0.079,1,52,4179,1851,10209,5290.74,25652,increase
0.079,1,53,4330,1896,10556,5472.72,26077,increase
0.079,1,54,4151,1826,10128,5250,25689,increase
0.079,1,55,4304,1902,10510,5447.16,25757,increase
0.079,1,56,4473,1855,10801,5609.94,25889,increase
