a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.0637,1,-1,1787,0,3574,1929.96,28539,decrease
0.0637,1,0,1437,679,3553,1837.14,27439,decrease
0.0637,1,1,1436,944,3816,1947.36,26865,decrease
0.0637,1,2,1251,1103,3605,1814.34,26473,decrease
0.0637,1,3,1197,1146,3540,1774.08,26094,decrease
0.0637,1,4,1153,1221,3527,1758.06,25985,decrease
0.0637,1,5,1161,1277,3599,1790.22,25710,decrease
0.0637,1,6,1070,1290,3430,1697.4,25328,decrease
0.0637,1,7,1034,1309,3377,1666.5,24943,decrease
0.0637,1,8,1012,1386,3410,1675.08,25514,decrease
0.0637,1,9,1045,1473,3563,1747.26,25560,decrease
0.0637,1,10,1071,1454,3596,1767.36,25568,decrease
0.0637,1,11,982,1472,3436,1678.8,25524,decrease
0.0637,1,12,1021,1416,3458,1697.4,25737,decrease
0.0637,1,13,1092,1519,3703,1817.34,25120,decrease
0.0637,1,14,1029,1551,3609,1762.74,25222,decrease
0.0637,1,15,982,1587,3551,1727.1,25054,decrease
0.0637,1,16,1060,1623,3743,1826.46,24837,decrease
0.0637,1,17,1044,1671,3759,1829.34,25013,decrease
0.0637,1,18,994,1716,3704,1794.24,25156,decrease
0.0637,1,19,966,1760,3692,1782.48,25234,decrease
0.0637,1,20,1030,1780,3840,1860,25283,decrease
0.0637,1,21,984,1629,3597,1746.9,24845,decrease
0.0637,1,22,1000,1641,3641,1769.22,24842,decrease
0.0637,1,23,1032,1606,3670,1789.08,25225,decrease
0.0637,1,24,1071,1591,3733,1824.9,24892,decrease
0.0637,1,25,984,1561,3529,1718.34,25011,decrease
0.0637,1,26,1089,1727,3905,1901.46,25552,decrease
0.0637,1,27,971,1625,3567,1731.18,24905,decrease
0.0637,1,28,923,1596,3442,1667.16,24933,decrease
0.0637,1,29,854,1625,3333,1604.82,25048,decrease
0.0637,1,30,831,1628,3290,1581.24,25262,decrease
0.0637,1,31,826,1643,3295,1582.14,24845,decrease
0.0637,1,32,838,1578,3254,1567.8,25101,decrease
0.0637,1,33,767,1622,3156,1509.6,25237,decrease
0.0637,1,34,805,1586,3196,1535.52,24763,decrease
0.0637,1,35,801,1500,3102,1495.08,24966,decrease
0.0637,1,36,802,1577,3181,1528.5,24873,decrease
0.0637,1,37,859,1604,3322,1601.4,25074,decrease
0.0637,1,38,792,1587,3171,1521.9,25143,decrease
0.0637,1,39,770,1635,3175,1518.3,25256,decrease
0.0637,1,40,772,1627,3171,1517.1,25139,decrease
0.0637,1,41,748,1619,3115,1487.82,25003,decrease
0.0637,1,42,780,1544,3104,1490.88,24984,decrease
0.0637,1,43,760,1591,3111,1489.02,25097,decrease
0.0637,1,44,810,1657,3277,1570.74,25198,decrease
0.0637,1,45,717,1610,3044,1450.56,25218,decrease
0.0637,1,46,692,1596,2980,1417.68,25008,decrease
0.0637,1,47,676,1669,3021,1431.06,25474,decrease
0.0637,1,48,681,1662,3024,1433.52,25436,decrease
0.0637,1,49,649,1563,2861,1357.38,25411,decrease
0.0637,1,50,579,1614,2772,1303.2,25529,decrease
0.0637,1,51,521,1554,2596,1215.36,25454,decrease
0.0637,1,52,484,1572,2540,1182.96,25143,decrease
0.0637,1,53,490,1645,2625,1220.1,25389,decrease
0.0637,1,54,451,1582,2484,1151.52,25436,decrease
0.0637,1,55,408,1542,2358,1088.28,25187,decrease
0.0637,1,56,390,1538,2318,1067.16,25399,decrease
0.0637,1,57,332,1495,2159,986.46,25311,decrease
0.0637,1,58,308,1458,2074,945,25070,decrease
0.0637,1,59,234,1346,1814,818.04,24935,decrease
0.0637,1,60,206,1258,1670,750.84,24877,decrease
0.0637,1,61,183,1189,1555,697.02,24845,decrease
0.0637,1,62,153,1213,1519,674.7,25072,decrease
0.0637,1,63,127,1112,1366,604.2,25073,decrease
0.0637,1,64,98,954,1150,506.52,24904,decrease
0.0637,1,65,71,858,1000,437.04,24771,decrease
0.0637,1,66,74,831,979,428.94,24838,decrease
0.0637,1,67,61,796,918,400.2,25369,decrease
0.0637,1,68,46,676,768,333.6,25507,decrease
0.0637,1,69,29,554,612,264,25248,decrease
0.0637,1,70,18,523,559,239.1,25525,decrease
0.0637,1,71,21,436,478,205.8,25470,decrease
0.0637,1,72,6,415,427,180.78,25387,decrease
0.0637,1,73,8,374,390,165.72,25705,decrease
0.0637,1,74,10,325,345,147.3,25708,decrease
0.0637,1,75,9,279,297,126.9,25498,decrease
0.0637,1,76,0,243,243,102.06,25640,decrease
0.0637,1,77,1,186,188,79.2,25655,decrease
0.0637,1,78,1,141,143,60.3,25855,decrease
0.0637,1,79,2,102,106,45,25402,decrease
0.0637,1,80,0,83,83,34.86,25183,decrease
0.0637,1,81,1,81,83,35.1,25560,decrease
0.0637,1,82,0,70,70,29.4,25453,decrease
0.0637,1,83,0,56,56,23.52,25738,decrease
0.0637,1,84,0,39,39,16.38,25836,decrease
0.0637,1,85,0,21,21,8.82,25483,decrease
0.0637,1,86,0,22,22,9.24,25493,decrease
0.0637,1,87,0,13,13,5.46,25917,decrease
0.0637,1,88,0,11,11,4.62,25939,decrease
0.0637,1,89,0,7,7,2.94,25587,decrease
0.0637,1,90,0,4,4,1.68,25927,decrease
0.0637,1,91,0,2,2,0.84,26277,decrease
0.0637,1,92,0,1,1,0.42,26254,decrease
0.0637,1,93,0,2,2,0.84,25989,decrease
0.0637,1,94,0,4,4,1.68,25794,decrease
0.0637,1,95,0,5,5,2.1,25907,decrease
0.0637,1,96,0,0,0,0,25946,decrease
0.0637,2,-1,1714,0,3428,1851.12,27910,decrease
0.0637,2,0,1381,611,3373,1748.1,26559,decrease
0.0637,2,1,1263,850,3376,1721.04,26393,decrease
0.0637,2,2,1177,961,3315,1674.78,26282,decrease
0.0637,2,3,1075,1110,3260,1627.2,26092,decrease
0.0637,2,4,1006,1290,3302,1628.28,25823,decrease
0.0637,2,5,976,1418,3370,1649.64,25763,decrease
0.0637,2,6,965,1340,3270,1605,25448,decrease
0.0637,2,7,922,1372,3216,1572,25619,decrease
0.0637,2,8,819,1333,2971,1444.38,25195,decrease
0.0637,2,9,847,1397,3091,1501.5,25196,decrease
0.0637,2,10,855,1528,3238,1565.16,24974,decrease
0.0637,2,11,799,1623,3221,1544.58,25163,decrease
0.0637,2,12,868,1631,3367,1622.46,25372,decrease
0.0637,2,13,911,1641,3463,1673.1,25418,decrease
0.0637,2,14,852,1553,3257,1572.42,25327,decrease
0.0637,2,15,850,1613,3313,1595.46,25817,decrease
0.0637,2,16,913,1575,3401,1647.54,25299,decrease
0.0637,2,17,855,1629,3339,1607.58,25345,decrease
0.0637,2,18,897,1711,3505,1687.38,25764,decrease
0.0637,2,19,819,1542,3180,1532.16,25334,decrease
0.0637,2,20,851,1467,3169,1535.22,25243,decrease
0.0637,2,21,793,1526,3112,1497.36,25125,decrease
0.0637,2,22,853,1518,3224,1558.8,25131,decrease
0.0637,2,23,772,1498,3042,1462.92,24758,decrease
0.0637,2,24,714,1507,2935,1404.06,24566,decrease
0.0637,2,25,773,1601,3147,1507.26,24445,decrease
0.0637,2,26,723,1548,2994,1431,25073,decrease
0.0637,2,27,690,1594,2974,1414.68,25772,decrease
0.0637,2,28,648,1579,2875,1363.02,25338,decrease
0.0637,2,29,591,1486,2668,1262.4,25094,decrease
0.0637,2,30,627,1537,2791,1322.7,25086,decrease
0.0637,2,31,579,1510,2668,1259.52,25025,decrease
0.0637,2,32,589,1531,2709,1279.14,24904,decrease
0.0637,2,33,619,1565,2803,1325.82,25264,decrease
0.0637,2,34,635,1451,2721,1295.22,25014,decrease
0.0637,2,35,610,1462,2682,1272.84,25088,decrease
0.0637,2,36,593,1385,2571,1222.14,25206,decrease
0.0637,2,37,531,1461,2523,1187.1,25321,decrease
0.0637,2,38,485,1466,2436,1139.52,25019,decrease
0.0637,2,39,428,1468,2324,1078.8,24955,decrease
0.0637,2,40,368,1486,2222,1021.56,25306,decrease
0.0637,2,41,350,1483,2183,1000.86,25158,decrease
0.0637,2,42,279,1414,1972,895.2,25267,decrease
0.0637,2,43,264,1368,1896,859.68,25697,decrease
0.0637,2,44,225,1207,1657,749.94,25328,decrease
0.0637,2,45,199,1132,1530,690.36,25158,decrease
0.0637,2,46,160,1163,1483,661.26,25809,decrease
0.0637,2,47,134,1043,1311,582.78,25643,decrease
0.0637,2,48,123,950,1196,531.84,25843,decrease
0.0637,2,49,104,863,1071,474.78,25370,decrease
0.0637,2,50,87,782,956,422.4,25194,decrease
0.0637,2,51,50,718,818,355.56,25102,decrease
0.0637,2,52,25,655,705,302.1,25407,decrease
