a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.0739,1,-1,2091,0,4182,2258.28,27881,increase
0.0739,1,0,1647,708,4002,2076.12,27018,increase
0.0739,1,1,1425,887,3737,1911.54,26176,increase
0.0739,1,2,1402,1103,3907,1977.42,25724,increase
0.0739,1,3,1281,1314,3876,1935.36,25799,increase
0.0739,1,4,1216,1299,3731,1858.86,25415,increase
0.0739,1,5,1215,1247,3677,1835.94,25465,increase
0.0739,1,6,1260,1425,3945,1959.3,25409,increase
0.0739,1,7,1242,1481,3965,1963.38,25410,increase
0.0739,1,8,1170,1465,3805,1878.9,25009,increase
0.0739,1,9,1158,1490,3806,1876.44,25027,increase
0.0739,1,10,1142,1507,3791,1866.3,25134,increase
0.0739,1,11,1137,1524,3798,1868.04,24698,increase
0.0739,1,12,1166,1591,3923,1927.5,25144,increase
0.0739,1,13,1175,1550,3900,1920,24968,increase
0.0739,1,14,1128,1541,3797,1865.46,24518,increase
0.0739,1,15,1206,1594,4006,1971.96,24670,increase
0.0739,1,16,1191,1669,4051,1987.26,25262,increase
0.0739,1,17,1268,1659,4195,2066.22,25347,increase
0.0739,1,18,1275,1725,4275,2101.5,25284,increase
0.0739,1,19,1197,1629,4023,1976.94,24910,increase
0.0739,1,20,1267,1709,4243,2086.14,24849,increase
0.0739,1,21,1213,1664,4090,2008.92,24710,increase
0.0739,1,22,1138,1665,3941,1928.34,25205,increase
0.0739,1,23,1142,1616,3900,1912.08,25313,increase
0.0739,1,24,1145,1764,4054,1977.48,25610,increase
0.0739,1,25,1027,1727,3781,1834.5,25254,increase
0.0739,1,26,1134,1825,4093,1991.22,25172,increase
0.0739,1,27,1183,1883,4249,2068.5,25278,increase
0.0739,1,28,1171,1772,4114,2008.92,25380,increase
0.0739,1,29,1105,1694,3904,1904.88,24866,increase
0.0739,1,30,1133,1735,4001,1952.34,25266,increase
0.0739,1,31,1089,1765,3943,1917.42,25655,increase
0.0739,1,32,1105,1749,3959,1927.98,25449,increase
0.0739,1,33,1126,1733,3985,1943.94,25142,increase
0.0739,1,34,1051,1643,3745,1825.14,24702,increase
0.0739,1,35,1072,1715,3859,1878.06,24311,increase
0.0739,1,36,1034,1664,3732,1815.6,24601,increase
0.0739,1,37,1040,1760,3840,1862.4,24814,increase
0.0739,1,38,1086,1783,3955,1921.74,24608,increase
