a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.07,1,-1,1733,0,3466,1871.64,27055,decrease
0.07,1,0,1461,718,3640,1879.44,26576,decrease
0.07,1,1,1338,930,3606,1835.64,26497,decrease
0.07,1,2,1247,1002,3496,1767.6,25949,decrease
0.07,1,3,1225,1136,3586,1800.12,25780,decrease
0.07,1,4,1148,1135,3431,1716.54,25504,decrease
0.07,1,5,1165,1301,3631,1804.62,25437,decrease
0.07,1,6,1091,1364,3546,1751.16,25825,decrease
0.07,1,7,1088,1324,3500,1731.12,25635,decrease
0.07,1,8,1161,1318,3640,1807.44,25432,decrease
0.07,1,9,1038,1400,3476,1709.04,25162,decrease
0.07,1,10,1021,1410,3452,1694.88,25513,decrease
0.07,1,11,1086,1430,3602,1773.48,25269,decrease
0.07,1,12,941,1578,3460,1679.04,24920,decrease
0.07,1,13,973,1502,3448,1681.68,25125,decrease
0.07,1,14,970,1618,3558,1727.16,25429,decrease
0.07,1,15,872,1637,3381,1629.3,25094,decrease
0.07,1,16,885,1595,3365,1625.7,25014,decrease
0.07,1,17,922,1745,3589,1728.66,25271,decrease
0.07,1,18,886,1705,3477,1672.98,24967,decrease
0.07,1,19,934,1633,3501,1694.58,25206,decrease
0.07,1,20,966,1741,3673,1774.5,25444,decrease
0.07,1,21,931,1737,3599,1735.02,25126,decrease
0.07,1,22,931,1740,3602,1736.28,25217,decrease
0.07,1,23,928,1674,3530,1705.32,24924,decrease
0.07,1,24,938,1685,3561,1720.74,25422,decrease
0.07,1,25,919,1720,3558,1714.92,25405,decrease
0.07,1,26,869,1866,3604,1722.24,25147,decrease
0.07,1,27,879,1715,3473,1669.62,25053,decrease
0.07,1,28,851,1711,3413,1637.7,24851,decrease
0.07,1,29,833,1725,3391,1624.14,25174,decrease
0.07,1,30,877,1714,3468,1667.04,24816,decrease
0.07,1,31,880,1766,3526,1692.12,25117,decrease
0.07,1,32,845,1738,3428,1642.56,24785,decrease
0.07,1,33,770,1749,3289,1566.18,24643,decrease
0.07,1,34,731,1700,3162,1503.48,24769,decrease
0.07,1,35,821,1629,3271,1570.86,24940,decrease
0.07,1,36,789,1644,3222,1542.6,25017,decrease
0.07,1,37,755,1658,3168,1511.76,25182,decrease
0.07,1,38,740,1623,3103,1480.86,25233,decrease
0.07,1,39,754,1632,3140,1499.76,25003,decrease
0.07,1,40,750,1645,3145,1500.9,25082,decrease
0.07,1,41,718,1726,3162,1500.36,25153,decrease
0.07,1,42,777,1735,3289,1567.86,25271,decrease
0.07,1,43,742,1763,3247,1541.82,25227,decrease
0.07,1,44,746,1724,3216,1529.76,25603,decrease
0.07,1,45,704,1711,3119,1478.94,25519,decrease
0.07,1,46,637,1659,2933,1384.74,25450,decrease
0.07,1,47,676,1665,3017,1429.38,25112,decrease
0.07,1,48,623,1582,2828,1337.28,25001,decrease
0.07,1,49,635,1520,2790,1324.2,25154,decrease
0.07,1,50,615,1561,2791,1319.82,25028,decrease
0.07,1,51,545,1602,2692,1261.44,25094,decrease
0.07,1,52,531,1424,2486,1171.56,24874,decrease
0.07,1,53,505,1487,2497,1169.94,25232,decrease
0.07,1,54,461,1561,2483,1153.5,25427,decrease
0.07,1,55,400,1427,2227,1031.34,25512,decrease
0.07,1,56,335,1388,2058,944.76,25254,decrease
0.07,1,57,301,1362,1964,897.12,25356,decrease
0.07,1,58,271,1337,1879,854.22,25496,decrease
0.07,1,59,263,1284,1810,823.32,25517,decrease
0.07,1,60,247,1269,1763,799.74,24996,decrease
0.07,1,61,209,1173,1591,718.38,24975,decrease
0.07,1,62,175,1084,1434,644.28,24963,decrease
