generation,N,replicate
1,30000,2
2,30094,2
3,30209,2
4,29866,2
5,30050,2
6,30009,2
7,29636,2
8,29829,2
9,29903,2
10,29656,2
11,30066,2
12,29876,2
13,30115,2
14,30227,2
15,30178,2
16,30611,2
17,30258,2
18,29893,2
19,30190,2
20,29945,2
21,30391,2
22,29735,2
23,29913,2
24,29910,2
25,29888,2
26,29934,2
27,30106,2
28,30211,2
29,30385,2
30,30046,2
31,30094,2
32,29755,2
33,30111,2
34,30290,2
35,30071,2
36,29852,2
37,30399,2
38,29807,2
39,29832,2
40,29868,2
41,29673,2
42,30245,2
43,29946,2
44,30167,2
45,30623,2
46,29895,2
47,30220,2
48,30097,2
49,29807,2
50,30362,2
51,30208,2
52,30358,2
53,29973,2
54,29694,2
55,29567,2
56,29944,2
57,30118,2
58,30195,2
59,29896,2
60,30265,2
61,30290,2
62,30264,2
63,30032,2
64,30049,2
65,30141,2
66,30278,2
67,30394,2
68,30497,2
69,30119,2
70,30349,2
71,29915,2
72,29745,2
73,29834,2
74,30451,2
75,29959,2
76,29612,2
77,29799,2
78,30206,2
79,30065,2
80,30021,2
81,30023,2
82,30075,2
83,30080,2
84,29549,2
85,30337,2
86,29897,2
87,30527,2
88,29740,2
89,30139,2
90,30465,2
91,30214,2
92,30320,2
93,29693,2
94,29895,2
95,30059,2
96,29962,2
97,29601,2
98,30160,2
99,30330,2
100,30042,2
