generation,N,replicate
1,30000,5
2,30090,5
3,30057,5
4,29758,5
5,30317,5
6,30283,5
7,30098,5
8,30889,5
9,29719,5
10,30223,5
11,30158,5
12,30271,5
13,30272,5
14,29741,5
15,30283,5
16,29798,5
17,29657,5
18,30110,5
19,30299,5
20,29736,5
21,29820,5
22,29860,5
23,29973,5
24,30051,5
25,29908,5
26,29923,5
27,30189,5
28,29773,5
29,29733,5
30,29912,5
31,29832,5
32,30256,5
33,29818,5
34,30241,5
35,29965,5
36,29647,5
37,29783,5
38,29818,5
39,30002,5
40,29928,5
41,30024,5
42,29732,5
43,30080,5
44,29869,5
45,30179,5
46,30029,5
47,30089,5
48,29681,5
49,30087,5
50,30128,5
51,29928,5
52,29731,5
53,29898,5
54,29881,5
55,30379,5
56,30120,5
57,30148,5
58,30023,5
59,29937,5
60,29978,5
61,30073,5
62,30139,5
63,30100,5
64,29818,5
65,30350,5
66,30030,5
67,30125,5
68,30074,5
69,30368,5
70,29959,5
71,29725,5
72,29789,5
73,30406,5
74,30281,5
75,29887,5
76,29779,5
77,30061,5
78,30149,5
79,29946,5
80,29808,5
81,30007,5
82,30141,5
83,30237,5
84,30148,5
85,30097,5
86,29824,5
87,30117,5
88,29965,5
89,30039,5
90,30156,5
91,29890,5
92,29829,5
93,30079,5
94,29985,5
95,30454,5
96,30359,5
97,29829,5
98,29897,5
99,29959,5
100,30217,5
