a,sigma,k,u_hat,delta,outcome
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,decrease
0.0033,0.01,0.2,0.2,-0.000146072,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,increase
0.0036,0.01,0.2,0.2,-0.000149082,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,increase
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0039,0.01,0.2,0.2,-0.000150639,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
