a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.08,0,2062.73,0,4125.46,2227.7484,100
0.08,1,1818.24,647.49,4283.97,2235.645,100
0.08,2,1715.91,887.1,4318.92,2225.7648,100
0.08,3,1638.65,1054.97,4332.27,2212.8294,100
0.08,4,1592.85,1162.06,4347.76,2208.3432,100
0.08,5,1552.36,1247.62,4352.34,2200.5492,100
0.08,6,1528.92,1331.57,4389.41,2210.493,100
0.08,7,1515.39,1383.91,4414.69,2217.8634,100
0.08,8,1506.84,1431.45,4445.13,2228.5962,100
0.08,9,1494.44,1466.91,4455.79,2230.0974,100
0.08,10,1501.36,1503.15,4505.87,2252.7918,100
0.08,11,1511.41,1532.26,4555.08,2275.872,100
0.08,12,1514.73,1575.06,4604.52,2297.4336,100
0.08,13,1527.22,1588.46,4642.9,2316.5508,100
0.08,14,1538.23,1622.72,4699.18,2342.8308,100
0.08,15,1553.2,1634.12,4740.52,2363.7864,100
0.08,16,1574.36,1654.49,4803.21,2395.1946,100
0.08,17,1591.62,1669.32,4852.56,2420.064,100
0.08,18,1617.08,1685.1,4919.26,2454.1884,100
0.08,19,1649.12,1703.75,5001.99,2496.6246,100
0.08,20,1671.23,1708.6,5051.06,2522.5404,100
0.08,21,1687.13,1730.59,5104.85,2548.9482,100
0.08,22,1729.19,1727.74,5186.12,2593.176,100
0.08,23,1746.31,1736.59,5229.21,2615.3826,100
0.08,24,1783.3,1737.65,5304.25,2655.777,100
0.08,25,1804.82,1746.42,5356.06,2682.7019999999998,100
0.08,26,1843.44,1760.46,5447.34,2730.3084,100
0.08,27,1874.98,1758.97,5508.93,2763.7458,100
0.08,28,1910.19,1766.71,5587.09,2805.0234,100
0.08,29,1942.9,1764.39,5650.19,2839.3758,100
0.08,30,1988.94,1766.16,5744.04,2889.8424,100
0.08,31,2030.84,1780.63,5842.31,2941.1718,100
0.08,32,2090.78,1772.76,5954.32,3002.6016,100
0.08,33,2128.88,1784.46,6042.22,3048.6636,100
0.08,34,2161.29,1784.21,6106.79,3083.5614,100
0.08,35,2201.83,1781.95,6185.61,3126.3954,100
0.08,36,2247.93,1792.42,6288.28,3180.5808,100
0.08,37,2297.43,1792.74,6387.6,3234.1752,100
0.08,38,2348.61,1793.92,6491.14,3289.9452,100
0.08,39,2396.26,1803.91,6596.43,3345.603,100
0.08,40,2451.76,1795.42,6698.94,3401.9772,100
0.08,41,2503.26,1789.57,6796.09,3455.1402,100
0.08,42,2544.87,1787.35,6877.09,3499.1466,100
0.08,43,2602.65,1789.32,6994.62,3562.3764,100
0.08,44,2663.55,1784.66,7111.76,3626.1912,100
0.08,45,2720.16,1803.49,7243.81,3695.2386,100
0.08,46,2768.33,1792.37,7329.03,3742.5918,100
0.08,47,2820.11,1790.84,7431.06,3797.8716,100
0.08,48,2868.96,1786.29,7524.21,3848.7186,100
0.08,49,2933.51,1790.84,7657.86,3920.3436,100
0.08,50,2997.1,1781.63,7775.83,3985.1526,100
0.08,51,3055.62,1788.23,7899.47,4051.1262,100
0.08,52,3112.33,1778.44,8003.1,4108.2612,100
0.08,53,3177.72,1770.84,8126.28,4175.6904,100
0.08,54,3227.08,1781.23,8235.39,4233.363,100
0.08,55,3292.38,1781.09,8365.85,4303.8282,100
0.08,56,3353.45,1784.46,8491.36,4371.1992,100
0.08,57,3422.66,1783.8,8629.12,4445.6688,100
0.08,58,3492.07,1783.61,8767.75,4520.5518,100
0.08,59,3533.26,1773.61,8840.13,4560.837,100
0.08,60,3587.89,1776.76,8952.54,4621.1604,100
0.08,61,3637.98,1774.32,9050.28,4674.2328,100
0.08,62,3711.99,1767.43,9191.41,4751.2698,100
0.08,63,3780.07,1762.94,9323.08,4822.9104,100
0.08,64,3847.73,1768.2,9463.66,4898.1924,100
0.08,65,3910.71,1764.87,9586.29,4964.8122,100
0.08,66,3995.31,1748.45,9739.07,5049.2838,100
0.08,67,4068.26,1765.81,9902.33,5135.361,100
0.08,68,4127.94,1758.79,10014.67,5196.867,100
0.08,69,4210.35,1748.32,10169.02,5281.4724,100
0.08,70,4276.64,1759.63,10312.91,5357.8158,100
0.08,71,4331.63,1749.83,10413.09,5413.089,100
0.08,72,4396.46,1761.67,10554.59,5488.0782,100
0.08,73,4460.62,1756.89,10678.13,5555.3634,100
0.08,74,4496.81,1765.9,10759.52,5598.2328,100
0.08,75,4575.71,1752.05,10903.47,5677.6278,100
0.08,76,4627.06,1762.21,11016.33,5737.353,100
0.08,77,4690.38,1760.64,11141.4,5805.0792,100
0.08,78,4755.52,1749.35,11260.39,5870.6886,100
0.08,79,4834.9,1757.63,11427.43,5959.8966,100
0.08,80,4911.12,1746.34,11568.58,6037.4724,100
0.08,81,4962.04,1740.57,11664.65,6090.0426,100
0.08,82,5018.91,1742.63,11780.45,6152.3274,100
0.08,83,5084.72,1749.22,11918.66,6226.17,100
0.08,84,5161.73,1745.76,12069.22,6307.8876,100
0.08,85,5231.92,1749.22,12213.06,6385.146,100
0.08,86,5269.81,1750.13,12289.75,6426.4494,100
0.08,87,5322.63,1740.64,12385.9,6479.5092,100
0.08,88,5394.04,1737.81,12525.89,6555.4434,100
0.08,89,5457.39,1735.26,12650.04,6622.7904,100
0.08,90,5533.68,1744.85,12812.21,6709.2114,100
0.08,91,5601.15,1748.07,12950.37,6783.4314,100
0.08,92,5669.6,1739.97,13079.17,6853.9554,100
0.08,93,5718.03,1740.46,13176.52,6906.4656,100
0.08,94,5779.72,1738.07,13297.51,6972.0869999999995,100
0.08,95,5843.21,1740.8,13427.22,7041.8028,100
0.08,96,5911.5,1733.47,13556.47,7112.4774,100
0.08,97,5952.29,1739.17,13643.75,7158.9246,100
0.08,98,6014.08,1741.98,13770.14,7226.838,100
0.08,99,6083.4,1733.97,13900.77,7298.3394,100
0.08,100,6140.3,1732.62,14013.22,7359.2244,100
