a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.25,0,6439.15,0,12878.3,6954.282,100
0.25,1,6536.14,652.2,13724.48,7332.9552,100
0.25,2,6634.4,896.82,14165.62,7541.8164,100
0.25,3,6660.66,1059.91,14381.23,7638.675,100
0.25,4,6663.06,1175.54,14501.66,7689.8316,100
0.25,5,6653.61,1265.68,14572.9,7717.4844,100
0.25,6,6662.36,1343.99,14668.71,7759.8246,100
0.25,7,6657.35,1404.92,14719.62,7780.0044,100
0.25,8,6694.76,1454.23,14843.75,7841.1174,100
0.25,9,6697.83,1494.69,14890.35,7861.4262,100
0.25,10,6740.59,1523.32,15004.5,7919.6316,100
0.25,11,6760.51,1563.99,15085.01,7958.2266,100
0.25,12,6783.63,1590.81,15158.07,7994.4606,100
0.25,13,6824.91,1608.34,15258.16,8046.4056,100
0.25,14,6873.76,1625.76,15373.28,8106.48,100
0.25,15,6929.63,1654.03,15513.29,8178.693,100
0.25,16,6974.14,1667.22,15615.5,8232.3036,100
0.25,17,7025.31,1681.72,15732.34,8293.6572,100
0.25,18,7056.54,1684.55,15797.63,8328.5742,100
0.25,19,7133.2,1688.07,15954.47,8412.8454,100
0.25,20,7196.36,1694.93,16087.65,8483.9394,100
0.25,21,7230.32,1705.6,16166.24,8525.0976,100
0.25,22,7296.19,1710.24,16302.62,8598.186,100
0.25,23,7356.58,1702.25,16415.41,8660.0514,100
0.25,24,7410.81,1719.32,16540.94,8725.7892,100
0.25,25,7469.34,1716.68,16655.36,8787.8928,100
0.25,26,7538.86,1717.67,16795.39,8863.3902,100
0.25,27,7603.23,1725.51,16931.97,8936.2026,100
0.25,28,7707.86,1730.06,17145.78,9051.114,100
0.25,29,7751.31,1734.03,17236.65,9099.7074,100
0.25,30,7813.71,1734.29,17361.71,9167.2086,100
0.25,31,7869.03,1727.51,17465.57,9224.1066,100
0.25,32,7930.72,1734.87,17596.31,9293.823,100
0.25,33,8004.08,1737.19,17745.35,9374.0262,100
0.25,34,8040.16,1733.66,17813.98,9411.5102,100
0.25,35,8109.99,1729.78,17949.76,9485.2966,100
0.25,36,8164.54,1727.81,18056.89,9543.385,100
0.25,37,8217.47,1728.84,18163.78,9600.982,100
0.25,38,8275.81,1726.09,18277.71,9662.8316,100
