a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.0662,0,1706.29,0,3412.58,1842.7932,100
0.0662,1,1422.09,648.49,3492.67,1808.223,100
0.0662,2,1299.61,882.74,3481.96,1774.3296,100
0.0662,3,1220.79,1039.79,3481.37,1755.165,100
0.0662,4,1160.73,1148.85,3470.31,1736.1054,100
0.0662,5,1108.23,1236.96,3453.42,1716.4116,100
0.0662,6,1073.58,1298.98,3446.14,1705.038,100
0.0662,7,1055.88,1350.14,3461.9,1707.4092,100
0.0662,8,1032.06,1391.56,3455.68,1699.08,100
0.0662,9,1021.54,1426.32,3469.4,1702.3176,100
0.0662,10,1000.48,1461.31,3462.27,1694.2686,100
0.0662,11,984.25,1487.92,3456.42,1687.9164,100
0.0662,12,970.28,1505.58,3446.14,1680.246,100
0.0662,13,961.1,1529.48,3451.68,1680.3696,100
0.0662,14,951.2,1540.22,3442.62,1674.1884,100
0.0662,15,942.57,1562.38,3447.52,1674.1752,100
0.0662,16,940.17,1585.08,3465.42,1681.1172,100
0.0662,17,919.99,1601.92,3441.9,1666.3956,100
0.0662,18,911.69,1595.62,3419,1654.7856,100
0.0662,19,904.09,1613.98,3422.16,1654.2888,100
0.0662,20,901.77,1621.45,3424.99,1654.9206,100
0.0662,21,894.97,1620.45,3410.39,1647.1566,100
0.0662,22,886.38,1630.34,3403.1,1642.0332,100
0.0662,23,869.77,1630.74,3370.28,1624.2624,100
0.0662,24,866.36,1634.99,3367.71,1622.3646,100
0.0662,25,858.02,1630.1,3346.14,1611.3036,100
0.0662,26,850.13,1621.7,3321.96,1599.2544,100
0.0662,27,840.01,1620.3,3300.32,1587.7368,100
0.0662,28,824.08,1616.4,3264.56,1568.8944,100
0.0662,29,808.43,1617.31,3234.17,1552.3746,100
0.0662,30,798.92,1610.81,3208.65,1539.3738,100
0.0662,31,788.24,1595.23,3171.71,1521.2958,100
0.0662,32,777.61,1581.37,3136.59,1503.9942,100
0.0662,33,768.54,1564,3101.08,1486.9032,100
0.0662,34,760,1556.26,3076.26,1474.4292,100
0.0662,35,740.71,1536.36,3017.78,1445.238,100
0.0662,36,725.5,1512.95,2963.95,1418.979,100
0.0662,37,715.42,1497.59,2928.43,1401.6414,100
0.0662,38,709.64,1462.48,2881.76,1380.6528,100
0.0662,39,698.59,1438.05,2835.23,1358.4582,100
0.0662,40,694.36,1421.48,2810.2,1346.9304,100
0.0662,41,682.65,1390.5,2755.8,1321.272,100
0.0662,42,678.29,1363.03,2719.61,1305.0258,100
