a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.0739,0,1909.16,0,3818.32,2061.8928,100
0.0739,1,1648.72,651.1,3948.54,2054.0796,100
0.0739,2,1552.57,889.51,3994.65,2050.3698,100
0.0739,3,1468.42,1045.58,3982.42,2025.0372,100
0.0739,4,1406.79,1157.82,3971.4,2005.6176,100
0.0739,5,1366.05,1241.29,3973.39,1996.6758,100
0.0739,6,1352.36,1314.23,4018.95,2012.5254,100
0.0739,7,1342.27,1368.6,4053.14,2024.4636,100
0.0739,8,1315.49,1412.36,4043.34,2013.9204,100
0.0739,9,1297.94,1457.65,4053.53,2013.9882,100
0.0739,10,1296.87,1490.21,4083.95,2026.5078,100
0.0739,11,1305.02,1515.39,4125.43,2045.8854000000001,100
0.0739,12,1316.1,1556.6,4188.8,2075.16,100
0.0739,13,1308.86,1572.63,4190.35,2074.0733999999998,100
0.0739,14,1319.07,1600.11,4238.25,2096.6418,100
0.0739,15,1322.06,1622.33,4266.45,2109.2034,100
0.0739,16,1328.86,1635.72,4293.44,2122.1712,100
0.0739,17,1341.64,1652.62,4335.9,2143.0716,100
0.0739,18,1356.74,1665.42,4378.9,2164.7556,100
0.0739,19,1366.28,1695.97,4428.53,2187.8898,100
0.0739,20,1388.32,1695.15,4471.79,2211.3486,100
0.0739,21,1398.13,1710.52,4506.78,2228.3988,100
0.0739,22,1408.42,1717.57,4534.41,2242.473,100
0.0739,23,1429.1,1721.66,4579.86,2266.5252,100
0.0739,24,1442.48,1735.26,4620.22,2286.6876,100
0.0739,25,1455.54,1751.97,4663.05,2307.8106,100
0.0739,26,1471.31,1754.12,4696.74,2325.7452,100
0.0739,27,1499.26,1762.15,4760.67,2359.3038,100
0.0739,28,1516.99,1773.05,4807.03,2383.0302,100
0.0739,29,1544.23,1779.08,4867.54,2414.982,100
0.0739,30,1570.11,1783.04,4923.26,2444.5956,100
0.0739,31,1595.56,1780.93,4972.05,2471.1954,100
0.0739,32,1628.85,1791.04,5048.74,2511.3948,100
0.0739,33,1657.68,1792.97,5108.33,2543.3418,100
0.0739,34,1693.84,1788.79,5176.47,2580.639,100
0.0739,35,1719.59,1790.76,5229.94,2609.2764,100
0.0739,36,1746.17,1797.56,5289.9,2640.8388,100
0.0739,37,1777.38,1792.92,5347.68,2672.5968,100
0.0739,38,1800.82,1790.96,5392.6,2697.0888,100
0.0739,39,1852.38,1795.61,5500.37,2754.7266,100
0.0739,40,1881.4,1791.31,5554.11,2784.2622,100
0.0739,41,1924.44,1777.96,5626.84,2825.1384,100
0.0739,42,1954.75,1786.37,5695.87,2861.4054,100
0.0739,43,1993.89,1777.04,5764.82,2899.758,100
0.0739,44,2031.36,1778.64,5841.36,2940.8976,100
0.0739,45,2072.69,1776.56,5921.94,2984.6604,100
0.0739,46,2111.07,1765.57,5987.71,3021.495,100
0.0739,47,2154.25,1763.53,6072.03,3067.2726,100
0.0739,48,2199.37,1770.42,6169.16,3118.896,100
0.0739,49,2238.33,1771.61,6248.27,3161.4726,100
0.0739,50,2276.77,1770.87,6324.41,3202.677,100
0.0739,51,2333.53,1759.89,6426.95,3259.3662,100
0.0739,52,2370.28,1765.72,6506.28,3301.5048,100
0.0739,53,2415.42,1765.67,6596.51,3350.235,100
0.0739,54,2453.99,1776.55,6684.53,3396.4602,100
0.0739,55,2504.7,1760.67,6770.07,3444.5574,100
0.0739,56,2544.15,1753.25,6841.55,3484.047,100
0.0739,57,2599.81,1742.37,6941.99,3539.5902,100
0.0739,58,2641.55,1745,7028.1,3585.774,100
0.0739,59,2672.64,1741.4,7086.68,3617.8392,100
