a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.0764,0,1971.28,0,3942.56,2128.9824,100
0.0764,1,1719.19,651.64,4090.02,2130.414,100
0.0764,2,1618.33,890,4126.66,2121.5964,100
0.0764,3,1539.27,1052.8,4131.34,2104.5876,100
0.0764,4,1489.99,1170.33,4150.31,2100.7278,100
0.0764,5,1450.9,1252.82,4154.62,2093.1564,100
0.0764,6,1417.61,1328.4,4163.62,2088.9468,100
0.0764,7,1403.18,1383.11,4189.47,2096.3406,100
0.0764,8,1390.95,1426.78,4208.68,2101.4736,100
0.0764,9,1382.33,1460.39,4225.05,2106.2802,100
0.0764,10,1369.95,1508.47,4248.37,2113.1034,100
0.0764,11,1374.05,1547.37,4295.47,2133.8694,100
0.0764,12,1389.94,1569.85,4349.73,2160.4722,100
0.0764,13,1393.56,1595.36,4382.48,2175.096,100
0.0764,14,1409.25,1628.31,4446.81,2205.8802,100
0.0764,15,1419.05,1629.66,4467.76,2217.0312,100
0.0764,16,1435.72,1644.19,4515.63,2241.1374,100
0.0764,17,1444.11,1664.62,4552.84,2258.7792,100
0.0764,18,1464.76,1678.69,4608.21,2286.9906,100
0.0764,19,1480.39,1694.41,4655.19,2310.4734,100
0.0764,20,1494.74,1699.72,4689.2,2328.2016,100
0.0764,21,1522.91,1719.38,4765.2,2366.8824,100
0.0764,22,1538.86,1732.25,4809.97,2389.5138,100
0.0764,23,1551.92,1746.09,4849.93,2409.4314,100
0.0764,24,1576.04,1754.07,4906.15,2438.8326,100
0.0764,25,1595.72,1750.12,4941.56,2458.428,100
0.0764,26,1613.01,1754.68,4980.7,2479.0164,100
0.0764,27,1645.96,1759.03,5050.95,2516.4294,100
0.0764,28,1680.22,1772.93,5133.37,2559.2682,100
0.0764,29,1720.81,1777.38,5219,2604.9744,100
0.0764,30,1753.45,1782.5,5289.4,2642.376,100
0.0764,31,1771.66,1781.02,5324.34,2661.4211999999998,100
0.0764,32,1802.23,1787.76,5392.22,2697.2676,100
0.0764,33,1834.4,1792.15,5460.95,2733.855,100
0.0764,34,1859.79,1802.69,5522.27,2765.703,100
0.0764,35,1899.64,1797.85,5597.13,2806.7082,100
0.0764,36,1937.72,1803.49,5678.93,2850.2034,100
0.0764,37,1979.4,1795.76,5754.56,2891.9712,100
0.0764,38,2022.84,1808.02,5853.7,2944.0356,100
0.0764,39,2075.06,1808.38,5958.5,3000.5844,100
0.0764,40,2124.99,1817.47,6067.45,3058.3266,100
0.0764,41,2153.26,1814.4,6120.92,3087.5688,100
0.0764,42,2197.39,1803.95,6198.73,3130.8402,100
0.0764,43,2243.85,1792.96,6280.66,3176.4012,100
0.0764,44,2285.46,1795.16,6366.08,3222.264,100
0.0764,45,2336.79,1789.27,6462.85,3275.2266,100
0.0764,46,2387.21,1795.61,6570.03,3332.343,100
0.0764,47,2443.3,1796.2,6682.8,3393.168,100
0.0764,48,2503.14,1819.4,6825.68,3467.5392,100
0.0764,49,2550.04,1814.5,6914.58,3516.1332,100
0.0764,50,2604.43,1809.13,7017.99,3572.619,100
0.0764,51,2660.5,1809.66,7130.66,3633.3972,100
0.0764,52,2721.53,1807.89,7250.95,3698.5662,100
0.0764,53,2759.55,1806.66,7325.76,3739.1112,100
0.0764,54,2812.99,1809.19,7435.17,3797.889,100
0.0764,55,2880.76,1799.34,7560.86,3866.9436,100
0.0764,56,2938.3,1808.4,7685,3932.892,100
0.0764,57,3011.48,1790.29,7813.25,4004.3202,100
0.0764,58,3074.25,1797.11,7945.61,4074.9762,100
0.0764,59,3127.23,1781.57,8036.03,4125.6678,100
0.0764,60,3180.71,1778.67,8140.09,4182.2082,100
0.0764,61,3241.19,1767.51,8249.89,4242.8394,100
0.0764,62,3286.38,1772.3,8345.06,4293.6564,100
0.0764,63,3353.96,1761.69,8469.61,4362.1866,100
0.0764,64,3436.24,1762.59,8635.07,4451.427,100
0.0764,65,3494.14,1766.58,8754.86,4515.6348,100
0.0764,66,3553.4,1765.95,8872.75,4579.371,100
0.0764,67,3612.15,1761.75,8986.05,4641.057,100
0.0764,68,3663.02,1762.77,9088.81,4696.425,100
0.0764,69,3734.1,1766.54,9234.74,4774.7748,100
0.0764,70,3807.73,1759.16,9374.62,4851.1956,100
0.0764,71,3864.28,1763.99,9492.55,4914.2982,100
0.0764,72,3913.52,1764.01,9591.05,4967.4858,100
0.0764,73,3974.32,1757.48,9706.12,5030.4072,100
0.0764,74,4035.89,1752.68,9824.46,5094.8868,100
0.0764,75,4104,1749.45,9957.45,5167.089,100
0.0764,76,4145.16,1743.65,10033.97,5209.1058,100
0.0764,77,4214.91,1734.93,10164.75,5280.7734,100
0.0764,78,4281.07,1744.13,10306.27,5356.0902,100
0.0764,79,4357,1731.17,10445.17,5432.6514,100
0.0764,80,4390.93,1739.85,10521.71,5472.9414,100
0.0764,81,4451.44,1740.14,10643.02,5538.414,100
0.0764,82,4500.57,1729.77,10730.91,5587.119,100
0.0764,83,4565.15,1731.9,10862.2,5657.76,100
0.0764,84,4643.44,1728.48,11015.36,5740.8768,100
0.0764,85,4700.4,1739.11,11139.91,5806.8582,100
0.0764,86,4762.16,1733.97,11258.29,5871.4002,100
0.0764,87,4856.27,1729.53,11442.07,5971.1742,100
0.0764,88,4909.28,1738.34,11556.9,6032.1252,100
0.0764,89,4970.42,1734.1,11674.94,6096.3756,100
0.0764,90,5030.51,1732.78,11793.8,6160.7184,100
0.0764,91,5082.94,1728.22,11894.1,6215.4276,100
0.0764,92,5143.33,1725.45,12012.11,6279.4854,100
0.0764,93,5214.62,1735.35,12164.59,6360.6366,100
0.0764,94,5289.3,1730.91,12309.51,6439.4262,100
0.0764,95,5344.34,1726.16,12414.84,6496.8744,100
0.0764,96,5445.363636363636,1751.7474747474748,12642.474747474747,6616.7266666666665,99
0.0764,97,5519.171717171717,1750.4949494949494,12788.838383838383,6695.913333333333,99
0.0764,98,5564.242424242424,1743.111111111111,12871.59595959596,6741.488484848484,99
0.0764,99,5613.343434343435,1738.2222222222222,12964.90909090909,6792.464242424242,99
0.0764,100,5688.595959595959,1739.959595959596,13117.151515151516,6874.466666666666,99
