m,change
966,-555
966,-72
966,-682
966,-660
967,101
967,-627
967,-599
967,-1
967,25
967,9
967,10
967,-119
967,-673
967,89
967,77
967,-70
967,-54
967,62
967,-64
967,-692
967,95
967,-64
967,118
967,-45
968,-6
968,16
968,-16
968,-655
968,-616
968,43
968,-24
968,-102
968,-10
968,144
968,-521
968,39
968,-113
968,-142
968,3
968,65
968,-93
968,-61
968,-16
968,-21
969,72
969,5
969,-602
969,58
969,33
969,-97
969,46
969,-699
969,-600
969,-80
969,-41
969,177
969,-762
969,-145
969,80
969,-19
969,-5
969,5
969,54
969,143
970,-4
970,-90
970,-83
970,-576
970,163
970,24
970,-579
970,5
970,-77
970,-708
970,4
970,102
970,-4
970,47
970,7
970,-666
970,-211
970,-656
970,70
970,2
971,133
971,-515
971,72
971,-39
971,-668
971,-539
971,-43
971,-28
971,-417
971,83
971,-130
971,-28
971,7
971,8
971,-70
971,-83
971,-1
971,-10
971,-1
971,-136
972,4
972,18
972,29
972,-654
972,128
972,36
972,106
972,39
972,16
972,-10
972,40
972,-47
972,146
972,96
972,-33
972,-42
972,1
972,-618
972,5
972,-688
973,113
973,-23
973,-728
973,-597
973,-7
973,125
973,-704
973,-569
973,-574
973,72
973,43
973,96
973,-21
973,-92
973,-30
973,41
973,-669
973,-584
973,43
973,-54
974,-648
974,127
974,-83
974,123
974,21
974,-570
974,27
974,38
974,22
974,-647
974,44
974,-577
974,71
974,-10
974,23
974,110
974,60
974,-650
974,-679
974,105
975,-680
975,96
975,45
975,-137
975,76
975,-579
975,41
975,37
975,-32
975,-592
975,160
975,-17
975,-58
975,55
975,-79
975,45
975,49
975,-636
975,-2
975,-91
976,102
976,68
976,-48
976,-706
976,55
976,-30
976,-28
976,-649
976,-73
976,-24
976,-60
976,-45
976,79
976,-620
976,-622
976,21
976,142
976,-101
976,17
976,-2
977,-613
977,-532
977,18
977,-97
977,39
977,68
977,-5
977,11
977,47
977,-700
977,-86
977,-660
977,43
977,-684
977,160
977,70
977,70
977,11
977,-706
977,31
978,143
978,-13
978,38
978,68
978,-92
978,-682
978,-589
978,34
978,96
978,-45
978,76
978,5
978,-682
978,-105
978,-35
978,-692
978,32
978,-559
978,8
978,-592
979,35
979,120
979,-581
979,-56
979,-42
979,2
979,31
979,-648
979,115
979,107
979,83
979,93
979,-37
979,-16
979,-648
979,119
979,-615
979,-64
979,24
979,52
980,-37
980,-36
980,44
980,-615
980,-59
980,-570
980,246
980,29
980,-556
980,18
980,63
980,-692
980,-2
980,-649
980,55
980,-1
980,127
980,-17
980,3
980,24
981,-781
981,-10
981,118
981,-4
981,-759
981,-14
981,67
981,-694
981,-586
981,57
981,-656
981,-32
981,56
981,55
981,63
981,-153
981,-32
981,-30
981,-47
981,-651
982,50
982,-639
982,-133
982,-640
982,194
982,-68
982,-19
982,-749
982,30
982,-654
982,33
982,-55
982,173
982,153
982,-628
982,-717
982,-44
982,64
982,-677
982,121
983,-685
983,-783
983,-707
983,88
983,-93
983,-29
983,-741
983,-646
983,18
983,21
983,8
983,-663
983,20
983,-648
983,54
983,-43
983,-45
983,-521
983,-711
983,91
984,-674
984,63
984,1
984,-3
984,-4
984,-641
984,63
984,-35
984,156
984,-117
984,-50
984,-619
984,-654
984,-696
984,-72
984,-77
984,8
984,60
984,-651
984,11
985,-61
985,1
985,-103
985,-9
985,96
985,101
985,76
985,118
985,38
985,9
985,-612
985,-582
985,-627
985,-692
985,185
985,30
985,112
985,-18
985,-56
985,-126
986,36
986,52
986,-44
986,17
986,-636
986,146
986,1
986,26
986,118
986,-609
986,-87
986,-37
986,-640
986,211
986,65
986,-603
986,36
986,-18
986,-94
986,-607
987,-709
987,-65
987,-654
987,-128
987,-71
987,-23
987,95
987,39
987,58
987,74
987,17
987,39
987,-577
987,-27
987,-679
987,-608
987,-2
987,-15
987,-731
987,173
988,15
988,101
988,108
988,28
988,93
988,89
988,-664
988,85
988,137
988,92
988,135
988,-76
988,-40
988,13
988,72
988,-546
988,40
988,-142
988,148
988,84
989,70
989,-659
989,75
989,3
989,-609
989,-32
989,-658
989,-178
989,69
989,-616
989,-608
989,-87
989,-34
989,54
989,-78
989,-691
989,-566
989,-668
989,-41
989,101
990,-94
990,-68
990,124
990,-47
990,-8
990,67
990,-584
990,46
990,-46
990,-588
990,-38
990,39
990,44
990,-9
990,90
990,-2
990,11
990,-15
990,-6
990,-626
991,164
991,68
991,171
991,114
991,94
991,52
991,-642
991,32
991,47
991,64
991,-615
991,-125
991,2
991,-697
991,-582
991,-662
991,-661
991,-659
991,-125
991,-79
992,40
992,45
992,-3
992,22
992,-30
992,-138
992,159
992,79
992,101
992,-154
992,-24
992,-45
992,-28
992,-662
992,80
992,-46
992,-34
992,-33
992,290
992,-599
993,73
993,151
993,-661
993,51
993,108
993,125
993,-699
993,14
993,82
993,55
993,-78
993,22
993,31
993,-68
993,-96
993,-119
993,-593
993,86
993,-630
993,-653
994,-108
994,-68
994,151
994,-91
994,16
994,84
994,-738
994,8
994,-82
994,88
994,24
994,20
994,60
994,35
994,-540
994,53
994,130
994,-37
994,-645
994,70
995,-79
995,125
995,-631
995,9
995,95
995,-681
995,-40
995,158
995,-637
995,-646
995,62
995,-670
995,33
995,-69
995,-32
995,72
995,-636
995,18
995,-606
995,-157
996,-116
996,-677
996,125
996,-612
996,38
996,-631
996,-591
996,-34
996,-53
996,-78
996,100
996,0
996,93
996,-674
996,-629
996,18
996,-18
996,88
996,60
996,-41
997,-18
997,-536
997,-628
997,-114
997,133
997,-662
997,-519
997,75
997,-19
997,-713
997,-70
997,61
997,15
997,10
997,36
997,-128
997,120
997,-538
997,-647
997,7
998,-649
998,78
998,173
998,-153
998,-63
998,-36
998,40
998,86
998,-136
998,81
998,-710
998,-70
