a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.0748,0,3866.8,0.074974435,102.5,51.25,0,1
0.0748,1,4038.6,0.078385315,107.85,53.05,1.75,0.9774025
0.0748,2,4072.5,0.07905377,106.6,51.4,3.8,0.9608362
0.0748,3,4036.9,0.07870092000000001,106.05,49.1,7.85,0.92146575
0.0748,4,4016,0.07826828499999999,100.85,45.4,10.05,0.89425445
0.0748,5,4024.1,0.078527235,98.75,44.45,9.85,0.88984355
0.0748,6,4069.15,0.079645685,87.8,37.95,11.9,0.85169845
0.0748,7,4027.85,0.07925428,88.3,36.85,14.6,0.8262842499999999
0.0748,8,4046.65,0.07988602,88,36.45,15.1,0.82000995
0.0748,9,4076.6,0.08040034,80.4,33.5,13.4,0.82022355
0.0748,10,4081.1,0.080580545,79.85,33.35,13.15,0.79988635
0.0748,11,4087.4,0.080667435,85.45,34.45,16.55,0.79477415
0.0748,12,4138.15,0.081822845,79.6,32.2,15.2,0.7897298
0.0748,13,4164,0.0822972,79.45,32.15,15.15,0.8024427
0.0748,14,4212.2,0.08297358,90.4,36.65,17.1,0.78998005
0.0748,15,4255.85,0.084024815,80,32.6,14.8,0.78421115
0.0748,16,4283.45,0.084751525,87.3,35.65,16,0.78635085
0.0748,17,4259.85,0.08436571,77.9,32.3,13.3,0.81594765
0.0748,18,4279.1,0.08498303,79.55,32.7,14.15,0.81086875
0.0748,19,4314.55,0.085549405,74.05,29.4,15.25,0.7677552
0.0748,20,4334.95,0.085988215,73.45,28.5,16.45,0.74622025
0.0748,21,4456.05,0.088016235,77.05,31.45,14.15,0.80386815
0.0748,22,4463,0.088311495,76.35,30.8,14.75,0.7943843
0.0748,23,4487.2,0.08882286,76.65,31.5,13.65,0.7788939
0.0748,24,4509.65,0.089412905,75.9,30.3,15.3,0.7835318
0.0748,25,4571.5,0.090516175,79.15,31.2,16.75,0.77850865
0.0748,26,4583.4,0.090612455,82.15,32.6,16.95,0.78264315
0.0748,27,4646.1,0.09150867,78,31.85,14.3,0.7944353
0.0748,28,4699.15,0.092645885,83.65,34.4,14.85,0.79625555
0.0748,29,4704.2,0.09327901,91.25,37.3,16.65,0.79062835
0.0748,30,4749.6,0.09407623500000001,79.15,31.3,16.55,0.77180455
0.0748,31,4814.95,0.095207095,80,33.35,13.3,0.8135483
0.0748,32,4871.5,0.0962023,81.3,33.45,14.4,0.7953585
0.0748,33,4907.05,0.097077935,86.35,34.95,16.45,0.7867643
0.0748,34,4900.85,0.097255085,75.15,30.55,14.05,0.78805305
0.0748,35,4995.7,0.09885718,83.6,35.25,13.1,0.81270495
0.0748,36,5063.4,0.099898700000000007,83.85,33.4,17.05,0.7896084
0.0748,37,5123.35,0.101338635,79.5,33.45,12.6,0.80783555
0.0748,38,5127.1,0.101405315,79.75,33.55,12.65,0.8102747
0.0748,39,5206.25,0.1028854,84.15,34.85,14.45,0.81290655
0.0748,40,5306.2,0.104856975,78,32.7,12.6,0.82108105
0.0748,41,5345.1,0.105376415,85.7,37.45,10.8,0.827485
0.0748,42,5408.9,0.10656134,88.85,38.55,11.75,0.84321785
0.0748,43,5457.5,0.107940305,87.6,38.3,11,0.8511363000000001
0.0748,44,5522.65,0.109437035,84.85,37.05,10.75,0.84224115
0.0748,45,5542.8,0.10961523,86.95,38.5,9.95,0.8485446
0.0748,46,5664,0.111608455,88.6,37.15,14.3,0.823188
0.0748,47,5688.75,0.112361035,87.9,39.2,9.5,0.871668
0.0748,48,5798,0.114210555,92.5,39.8,12.9,0.8361883
0.0748,49,5889.35,0.116202365,88.65,39.45,9.75,0.85967295
0.0748,50,5957,0.1176902,86.35,37.4,11.55,0.8448759
0.0748,51,6017.5,0.11899113,89.05,38.95,11.15,0.84608305
0.0748,52,6092.05,0.12006915,91.15,40.05,11.05,0.8391755
0.0748,53,6183.55,0.12222122,88.4,38.45,11.5,0.8473333000000001
0.0748,54,6232.2,0.12271314999999999,89.45,39.65,10.15,0.8688396
0.0748,55,6344.3,0.124695885,87.4,39,9.4,0.84810645
0.0748,56,6432.9,0.12653169,95.75,43.35,9.05,0.8782595
0.0748,57,6551.65,0.128560715,92.7,41.55,9.6,0.85772555
0.0748,58,6610.25,0.130082095,97.1,43.65,9.8,0.87195815
0.0748,59,6708.45,0.131781945,92.3,41.45,9.4,0.86386035
0.0748,60,6860,0.13457669,106.6,48.45,9.7,0.8827744
0.0748,61,6931.85,0.13634906,98.95,44.25,10.45,0.8586947
0.0748,62,7024.45,0.13840743,95.95,44.15,7.65,0.8675729
0.0748,63,7056.35,0.139011815,99.65,45.25,9.15,0.8586085
0.0748,64,7166.3,0.14122909,95.8,43.55,8.7,0.86723235
0.0748,65,7266.75,0.14269097,102.9,47.8,7.3,0.8871324
0.0748,66,7320.4,0.14411458,97.55,45.2,7.15,0.8815296
0.0748,67,7525,0.1475396,103.15,47.75,7.65,0.8736331
0.0748,68,7671.35,0.150031185,103.35,48.1,7.15,0.87101775
0.0748,69,7809.55,0.15216379,104.3,48.05,8.2,0.8656097
0.0748,70,7856.2,0.152976355,102.95,47.95,7.05,0.88376185
0.0748,71,7857.95,0.153364375,91.65,42.7,6.25,0.86938905
0.0748,72,8021.95,0.15590459,102.8,48.55,5.7,0.8874563
0.0748,73,8065.95,0.15685512000000001,93,43.55,5.9,0.8875035
0.0748,74,8148.75,0.158497105,94.35,43.9,6.55,0.86445008
0.0748,75,8286.95,0.16146176,91.9,43.05,5.8,0.8741382
0.0748,76,8303,0.162016195,94.75,45.1,4.55,0.87582382
0.0748,77,8410.95,0.164125303,112.35,54.1,4.15,0.88840251
0.0748,78,8533.6,0.166512888,89.3,42.2,4.9,0.864264335
0.0748,79,8632,0.1679357755,111.45,53.4,4.65,0.86893315
0.0748,80,8765.25,0.169811711,105.25,50.05,5.15,0.868051875
0.0748,81,8812.85,0.170650232,88.45,41.5,5.45,0.858767395
0.0748,82,8904.75,0.1731277105,102.4,49.45,3.5,0.87288445
0.0748,83,8997.7,0.1753285345,97.2,46.8,3.6,0.8750872
0.0748,84,9206.85,0.17906992,97.35,47.15,3.05,0.87191476
0.0748,85,9235.9,0.1804581605,101.6,49.3,3,0.88013661
0.0748,86,9427,0.1834103655,103.75,50.75,2.25,0.881512175
0.0748,87,9419.55,0.18422213,101.85,49.9,2.05,0.89058465
0.0748,88,9520.05,0.1855139926,106.95,52.55,1.85,0.88380859
0.0748,89,9614.3,0.1869855587,102.2,49.3,3.6,0.8691455299999999
0.0748,90,9822.8,0.1908439483,111.8,54.65,2.5,0.8796993
0.0748,91,9883.45,0.19190755395,105.7,51.3,3.1,0.8709259665
0.0748,92,10014.85,0.1945945501,105.8,52,1.8,0.883811625
0.0748,93,10186.6,0.1970426267,101.8,50.2,1.4,0.88387945
0.0748,94,10273.75,0.19898447105,101.95,50,1.95,0.8823244285
0.0748,95,10391.5,0.20167219883,100.2,49.25,1.7,0.88305465
0.0748,96,10521.05,0.2040898884,101.9,50.05,1.8,0.8840253345
0.0748,97,10513.3,0.20468901305,105.6,51.85,1.9,0.8812222
0.0748,98,10692.75,0.20795559105,99.85,49.2,1.45,0.8868111
0.0748,99,10762.05,0.209844078655,100.55,49.45,1.65,0.884227313
0.0748,100,10940.2,0.21168214405,101.95,50.15,1.65,0.8844177
