a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.0721,91,8683.65,0.168400585565,96.35,46.5,3.35,0.803811665
0.0721,92,8742.9,0.169946188975,88.25,43,2.25,0.8141617955
0.0721,93,8857.5,0.172055971335,93.65,45.4,2.85,0.8126793
0.0721,94,9020.35,0.175512415395,86.25,41.8,2.65,0.817707095
0.0721,95,9202.6,0.1778343787,94.75,46.2,2.35,0.81530124
0.0721,96,9709.21052631579,0.18822747252631578,100.89473684210526,49.26315789473684,2.3684210526315788,0.8491273684210526
0.0721,97,9792.473684210527,0.18997188605263157,98.89473684210526,48.1578947368421,2.5789473684210527,0.864424947368421
0.0721,98,9839.315789473685,0.19101211514210525,96.52631578947368,47.1578947368421,2.210526315789474,0.8572234736842105
0.0721,99,9929.473684210527,0.19244366052631579,92.73684210526316,45.473684210526315,1.7894736842105263,0.8620226315789473
0.0721,100,10694.722222222223,0.20689272055555555,110.61111111111111,54,2.611111111111111,0.9145216666666667
