a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.0654,0,3390.6,0.065717195,103.1,51.55,0,1
0.0654,1,3483.25,0.0676462,102.9,50.15,2.6,0.97551065
0.0654,2,3444.8,0.067203495,100.9,47.2,6.5,0.93340115
0.0654,3,3463.6,0.06766521,102.85,45.4,12.05,0.88699955
0.0654,4,3459.7,0.06785475,92.5,40.6,11.3,0.8666091499999999
0.0654,5,3452.95,0.06757546,87.05,36.4,14.25,0.82023355
0.0654,6,3455.85,0.06767033,85.1,34.35,16.4,0.81232295
0.0654,7,3448.2,0.067822775,77.3,30.7,15.9,0.7677534
0.0654,8,3446.5,0.06775992,77.5,31.05,15.4,0.78402865
0.0654,9,3479.4,0.06851396,76.05,28.75,18.55,0.7254349999999999
0.0654,10,3466.1,0.068398785,67.4,25.8,15.8,0.7464594
0.0654,11,3463.25,0.068408995,82,30.85,20.3,0.739681
0.0654,12,3444,0.06792994,69.15,26.25,16.65,0.7400339
0.0654,13,3476.3,0.06840857,59.1,20.8,17.5,0.68194375
0.0654,14,3461.35,0.06837109,70.25,26.1,18.05,0.70862105
0.0654,15,3427.15,0.067737725,67.2,25.95,15.3,0.7347338999999999
0.0654,16,3425.65,0.067496985,66.2,22.9,20.4,0.68169015
0.0654,17,3448.5,0.06827811,60.65,21.45,17.75,0.6672432
0.0654,18,3441.1,0.068290405,61.6,21.15,19.3,0.6441115
0.0654,19,3415.9,0.067616965,66.7,23.65,19.4,0.67083205
0.0654,20,3397.75,0.06719908,66.9,23.4,20.1,0.6745573
0.0654,21,3395.15,0.067199415,65.65,22.05,21.55,0.63515615
0.0654,22,3362.05,0.06670176,60.1,21.1,17.9,0.6649948999999999
0.0654,23,3335.75,0.066065385,66.6,23.55,19.5,0.6645956
0.0654,24,3299.4,0.065396575,63.35,21.95,19.45,0.66158735
0.0654,25,3246.15,0.064666265,60.5,20.8,18.9,0.6440882
0.0654,26,3223.45,0.06405064,58,20.7,16.6,0.6524856
0.0654,27,3210.4,0.063806455,54.65,18.9,16.85,0.6301144
0.0654,28,3177.8,0.06300966,59.25,20.8,17.65,0.6098389
0.0654,29,3174.9,0.06291932,58.55,19.4,19.75,0.6162992
0.0654,30,3151.4,0.062508175,54.3,17.6,19.1,0.5746283
0.0654,31,3145.3,0.06230545,63.35,22.25,18.85,0.60422865
0.0654,32,3109,0.06170286,52.35,17.2,17.95,0.5844142
0.0654,33,3068.75,0.060775635,41.95,13.3,15.35,0.5285936
0.0654,34,3000.1,0.059490935,50.7,15.75,19.2,0.56111865
0.0654,35,2979.85,0.05901289,50.65,16.95,16.75,0.56492805
0.0654,36,2938.75,0.05835927,48,15.5,17,0.53960505
0.0654,37,2898.4,0.05761518,50.1,17.35,15.4,0.5936481
0.0654,38,2835.45,0.056258545,50.05,16.9,16.25,0.547200075
0.0654,39,2795.6,0.055530515,47.8,15.8,16.2,0.54563417
0.0654,40,2796.85,0.055281910000000004,56.5,19.75,17,0.55496955
0.0654,41,2696.85,0.053514655,51.45,17.65,16.15,0.49029676
0.0654,42,2673.25,0.053020902,41.9,13.45,15,0.490882195
0.0654,43,2662.1,0.052878077,42.2,12.55,17.1,0.456870925
0.0654,44,2642.95,0.0522535665,49.4,16.9,15.6,0.488608625
0.0654,45,2596.95,0.0512968905,47.5,16.6,14.3,0.483799965
0.0654,46,2557.8,0.0506086585,47.75,16.7,14.35,0.49467241
0.0654,47,2527.85,0.04998761,44.3,15.8,12.7,0.455620805
0.0654,48,2502.4,0.049400624000000004,43.25,14.2,14.85,0.44059767
0.0654,49,2470.3,0.0488448265,42.55,14.7,13.15,0.43624157
0.0654,50,2453.55,0.0486678915,40.95,13.6,13.75,0.40106357
0.0654,51,2405.5,0.047583732,39.65,12.9,13.85,0.425248145
0.0654,52,2361.85,0.0468116455,35.8,11.6,12.6,0.42330069
0.0654,53,2335.75,0.0463954295,39.75,13.25,13.25,0.384926245
0.0654,54,2282.3,0.0452714573,39.35,13.25,12.85,0.4112355215
0.0654,55,2259.35,0.0447898113,40.65,14.25,12.15,0.38880391
0.0654,56,2240.05,0.0444878057,40,13.9,12.2,0.37986019
0.0654,57,2244.55,0.0444279214,35.65,12,11.65,0.34700907000000003
0.0654,58,2221.2,0.0439057047,34.75,12.6,9.55,0.36863854
0.0654,59,2194.65,0.04352036105,29.5,9.7,10.1,0.34912621
0.0654,60,2132.95,0.0421784268,33.7,12.6,8.5,0.359725365
0.0654,61,2091.85,0.04157590145,30.9,11.65,7.6,0.334744875
0.0654,62,2100.85,0.0416743097,32.25,11.55,9.15,0.3281493355
0.0654,63,2070.85,0.04116181089,36.7,14.5,7.7,0.335298795
0.0654,64,2053.2,0.040505375975,34.75,13.2,8.35,0.30695285099999997
0.0654,65,2034.75,0.040124181995,37.7,14,9.7,0.31567524
0.0654,66,2041.8,0.040365334485,32.7,12.6,7.5,0.3146656335
0.0654,67,2032.6,0.040013509395,35.3,14.45,6.4,0.297232869
0.0654,68,2023.45,0.039768865615,31.6,12.35,6.9,0.3019296065
0.0654,69,1981.35,0.0390920798,31.25,11.2,8.85,0.29658864
0.0654,70,1956.05,0.03854855189,25.15,9.85,5.45,0.27770641
0.0654,71,1952,0.03849479716,30.75,12.1,6.55,0.308515893
