a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.0694,0,3579.9,0.069662995,94.6,47.3,0,1
0.0694,1,3711.25,0.07191853,115.65,57,1.65,0.9831605
0.0694,2,3663.05,0.07110447,113.85,53.95,5.95,0.94027055
0.0694,3,3679.15,0.07172977,105.1,47.75,9.6,0.9110824
0.0694,4,3692.6,0.07224457,97.05,42.85,11.35,0.8853788499999999
0.0694,5,3740.4,0.07321063,85.3,36.45,12.4,0.84468355
0.0694,6,3732.2,0.07355127,87.45,37.2,13.05,0.8429675
0.0694,7,3693.1,0.07296926,86.65,35.85,14.95,0.81391825
0.0694,8,3682.3,0.072519095,77.2,31.55,14.1,0.80496235
0.0694,9,3726.9,0.073241455,86.95,35.55,15.85,0.80873515
0.0694,10,3739.1,0.073698685,76.5,31.35,13.8,0.80527475
0.0694,11,3749.9,0.07411024,77.3,29.95,17.4,0.7586695
0.0694,12,3760.55,0.07441774,76.2,30.65,14.9,0.77499165
0.0694,13,3804.3,0.07540913,79.3,30.1,19.1,0.73232415
0.0694,14,3809.3,0.07581417,72.75,28.95,14.85,0.7572067
0.0694,15,3845.25,0.07637887,72.45,27.8,16.85,0.7453444
0.0694,16,3831.95,0.076201045,75.3,29.15,17,0.74707265
0.0694,17,3844.85,0.07619561,73.7,28.8,16.1,0.75414275
0.0694,18,3836.3,0.07605983,72.8,27.95,16.9,0.765239
0.0694,19,3818.5,0.07562229,75.45,29.5,16.45,0.7482031
0.0694,20,3841.45,0.076206465,70,26.65,16.7,0.72216055
0.0694,21,3834.65,0.07594934,67.9,25.05,17.8,0.71328905
0.0694,22,3847.2,0.076002165,67.05,24.7,17.65,0.70455355
0.0694,23,3853.8,0.076359185,69.9,25.6,18.7,0.70166905
0.0694,24,3821.95,0.07578164,61.45,23,15.45,0.73078625
0.0694,25,3819.2,0.075751495,61.8,22.2,17.4,0.680096
0.0694,26,3830.75,0.075897805,68.6,25.55,17.5,0.6910670999999999
0.0694,27,3802.25,0.07557785,63.9,24.55,14.8,0.6969529
0.0694,28,3812.95,0.075813355,60.65,21.7,17.25,0.68783175
0.0694,29,3843.6,0.07642735,59.6,22.1,15.4,0.65917465
0.0694,30,3828.05,0.076143365,63.8,24.05,15.7,0.69628815
0.0694,31,3845.05,0.07642359,60,21.8,16.4,0.65080275
0.0694,32,3879.95,0.077107775,57.9,20.65,16.6,0.6669792
0.0694,33,3881.3,0.076803585,62.15,22.9,16.35,0.6656728000000001
0.0694,34,3844.95,0.076168215,66.9,24.4,18.1,0.6768391
0.0694,35,3856.75,0.076383135,69.9,26.45,17,0.6914277
0.0694,36,3841.75,0.07627463,61.25,22.05,17.15,0.6306577
0.0694,37,3811.35,0.075563775,63.4,23.05,17.3,0.6762206
0.0694,38,3818.1,0.07550042,61.4,22.1,17.2,0.64624753
0.0694,39,3827.7,0.075724555,62.65,22.7,17.25,0.64003414
0.0694,40,3822.8,0.0756013435,64.3,23.65,17,0.654707835
0.0694,41,3801.75,0.075444012,66.9,25.2,16.5,0.63140925
0.0694,42,3791.75,0.075281468,67.6,25.6,16.4,0.62479765
0.0694,43,3784.55,0.074880266,64.65,24.65,15.35,0.65000868999999994
0.0694,44,3797.15,0.075284266,63.75,23.8,16.15,0.63927446
0.0694,45,3812,0.0754943985,58.7,22.85,13,0.6475938
0.0694,46,3794.9,0.07493717849999999,61.35,22.15,17.05,0.637041075
0.0694,47,3818.9,0.075688454,67.25,26.7,13.85,0.64088395
0.0694,48,3835.4,0.076135512,64.5,25.3,13.9,0.64533865
0.0694,49,3785.1,0.0749170945,62.5,24.6,13.3,0.6556713
0.0694,50,3805.1,0.0755048935,65.15,25.55,14.05,0.62188895
0.0694,51,3809.65,0.075375236,63.6,24.3,15,0.6284905
0.0694,52,3810.75,0.0754823925,62.35,24.2,13.95,0.591793245
0.0694,53,3820.3,0.075502947,64.35,25.55,13.25,0.6149729
0.0694,54,3810.1,0.07553010995,68.5,27.4,13.7,0.599832305
0.0694,55,3786.35,0.07514830975,61.2,24.55,12.1,0.573825415
0.0694,56,3810.75,0.07523141929999999,55,22,11,0.59272331
0.0694,57,3810.8,0.0749303167,61.25,24.9,11.45,0.574437505
0.0694,58,3830.85,0.0757427708,57.35,23.2,10.95,0.579301055
0.0694,59,3865.5,0.07632967985,64.15,26.05,12.05,0.58147555
0.0694,60,3849.6,0.07615253995,51.8,21.15,9.5,0.54436188
0.0694,61,3823.35,0.0755903883,61.25,25.55,10.15,0.57917835
0.0694,62,3857.6,0.0760721099,56.3,23.35,9.6,0.5727293450000001
0.0694,63,3876.05,0.07621458327,58.1,24.75,8.6,0.564134175
0.0694,64,3860,0.076044657965,59.1,25,9.1,0.585814445
0.0694,65,3879.1,0.07646342485,62,26.6,8.8,0.55397917
0.0694,66,3978.6,0.07822806061,54.9,23.75,7.4,0.57282587
0.0694,67,4010.55,0.07869255701,53.15,21.6,9.95,0.542483976
0.0694,68,4030.45,0.079408598,56.75,23.75,9.25,0.545509265
0.0694,69,4293.263157894737,0.08386615736842105,53.1578947368421,21.789473684210527,9.578947368421053,0.5627494736842105
0.0694,70,4354.263157894737,0.08496382842105263,63.10526315789474,26.42105263157895,10.263157894736842,0.5670712263157894
0.0694,71,4341.789473684211,0.08501043521052631,60.63157894736842,25.894736842105264,8.842105263157896,0.5627649052631579
0.0694,72,4357.368421052632,0.08550254831578948,59.526315789473685,25.263157894736842,9,0.5558954673684211
0.0694,73,4425,0.08700101510526316,70,30.105263157894736,9.789473684210526,0.5684468168421053
0.0694,74,4428.315789473684,0.08707579052631578,61.578947368421055,26.473684210526315,8.631578947368421,0.5505086315789474
0.0694,75,4482.736842105263,0.0884189107368421,58,25.63157894736842,6.7368421052631575,0.5538899052631578
