a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.025,0,1300.1,0.02522035,103.1,51.55,0,1
0.025,1,1283.85,0.024912905,77.55,30.95,15.65,0.76216725
0.025,2,1193.15,0.023276045,48.2,14.35,19.5,0.5603643
0.025,3,1134.75,0.022159485,43.75,11.85,20.05,0.45506245
0.025,4,1050.25,0.02061945,30.25,6.8,16.65,0.37450255
0.025,5,1005.2,0.01968978,28,5.7,16.6,0.305826775
0.025,6,936.3,0.01841021,30.8,6.7,17.4,0.3128496
0.025,7,862.85,0.01690464,22,3.8,14.4,0.25079395
0.025,8,787.9,0.015422005,19.2,3.35,12.5,0.21343723
0.025,9,709.25,0.0138764145,13.85,1.7,10.45,0.15528415
0.025,10,630.8,0.012347051,13.1,1.35,10.4,0.14424472
0.025,11,555.6,0.010879419,10.9,1.1,8.7,0.11870797
0.025,12,488.55,0.009574355,10.45,0.95,8.55,0.113280345
0.025,13,433.35,0.00847462,9.7,1.05,7.6,0.09737778
0.025,14,374.2,0.00731486,7.2,0.65,5.9,0.080752105
0.025,15,318.2,0.006240453,6.6,0.3,6,0.0664482055
0.025,16,270.1,0.005286864,4,0.3,3.4,0.04046538
0.025,17,238.3,0.004641279,3.6,0.05,3.5,0.033179201
0.025,18,207.6,0.004046103,3.15,0,3.15,0.033473121
0.025,19,174.4,0.0033941255,2.55,0.05,2.45,0.024460829
0.025,20,151.45,0.0029443515,2.6,0.15,2.3,0.0255185305
0.025,21,131.4,0.002559619,1.7,0,1.7,0.015987535
0.025,22,112.05,0.0021771615,1.75,0.05,1.65,0.015697246
0.025,23,98,0.001900733,1.4,0.05,1.3,0.01450386
0.025,24,81.05,0.0015702474,0.55,0.05,0.45,0.00649663
0.025,25,71.65,0.00139288865,0.95,0,0.95,0.010243144
0.025,26,57.75,0.00112075995,1.1,0,1.1,0.0108844855
0.025,27,47.35,9.2225235e-4,0.85,0,0.85,0.0083100645
0.025,28,39.45,7.6744385e-4,0.35,0,0.35,0.003367731
0.025,29,33.9,6.5877355e-4,0.3,0,0.3,0.00275038
0.025,30,28.25,5.4866355e-4,0.4,0,0.4,0.004379381
0.025,31,20.6,4.00100235e-4,0.15,0,0.15,0.00149123
0.025,32,18,3.50545055e-4,0.25,0,0.25,0.0028080149999999996
0.025,33,15.55,3.01571745e-4,0.15,0,0.15,0.001574035
0.025,34,15.6,3.0209784e-4,0.15,0,0.15,0.00125
0.025,35,12.944444444444445,2.511959111111111e-4,0.2222222222222222,0,0.2222222222222222,0.0015327861111111112
0.025,36,11.470588235294118,2.2242202352941177e-4,0,0,0,0
0.025,37,11.866666666666667,2.3002545333333332e-4,0,0,0,0
0.025,38,9.714285714285714,0.00018883332142857144,0.2857142857142857,0,0.2857142857142857,0.00238095
0.025,39,8.76923076923077,1.7061941538461538e-4,0.07692307692307693,0,0.07692307692307693,6.747638461538462e-4
0.025,40,6.916666666666667,1.3469503333333332e-4,0,0,0,0
0.025,41,7.181818181818182,1.3974068181818182e-4,0,0,0,0
0.025,42,5.5,1.0711131e-4,0.1,0,0.1,9.090910000000001e-4
0.025,43,4.444444444444445,8.639912222222222e-5,0,0,0,0
0.025,44,4.5,8.79676625e-5,0,0,0,0
0.025,45,4.25,8.32810625e-5,0,0,0,0
0.025,46,3.625,7.10720375e-5,0,0,0,0
0.025,47,3.3333333333333335,6.51253e-5,0,0,0,0
0.025,48,2.2,4.295922e-5,0,0,0,0
0.025,49,4,7.821826666666667e-5,0,0,0,0
0.025,50,7.5,1.4648455e-4,1,0,1,0.0086207
0.025,51,6,1.1682550000000002e-4,0,0,0,0
0.025,52,5,9.687035e-5,0,0,0,0
0.025,53,2,3.89283e-5,0,0,0,0
0.025,54,2.5,4.85147e-5,0,0,0,0
0.025,55,1.5,2.887045e-5,0,0,0,0
0.025,56,0.5,9.5734e-6,0,0,0,0
0.025,57,3,5.80002e-5,0,0,0,0
0.025,58,5,9.63131e-5,0,0,0,0
0.025,59,4,7.78513e-5,0,0,0,0
0.025,60,2,3.88018e-5,0,0,0,0
0.025,61,1,1.95503e-5,0,0,0,0
0.025,62,1,1.96456e-5,0,0,0,0
0.025,63,1,1.96897e-5,0,0,0,0
0.025,64,3,5.90528e-5,0,0,0,0
0.025,65,3,5.91926e-5,0,0,0,0
0.025,66,9,1.76706e-4,0,0,0,0
0.025,67,10,1.97052e-4,0,0,0,0
0.025,68,8,1.55479e-4,0,0,0,0
0.025,69,4,7.83055e-5,0,0,0,0
0.025,70,4,7.7694e-5,0,0,0,0
0.025,71,2,3.89029e-5,0,0,0,0
0.025,72,0,0,0,0,0,0
