a,sigma,k,u_hat,delta,p_increase
0.074087248,0.01,0.2,0.4,5.85876e-4,0.9
0.074751678,0.01,0.2,0.4,5.86664e-4,0.94
0.075416107,0.01,0.2,0.4,5.87408e-4,0.94
0.076080537,0.01,0.2,0.4,5.88112e-4,0.96
0.076744966,0.01,0.2,0.4,5.88778e-4,0.92
0.077409396,0.01,0.2,0.4,5.89407e-4,0.96
0.078073826,0.01,0.2,0.4,5.90001e-4,1
0.078738255,0.01,0.2,0.4,5.90563e-4,1
0.079402685,0.01,0.2,0.4,5.91094e-4,1
0.080067114,0.01,0.2,0.4,5.91596e-4,1
0.080731544,0.01,0.2,0.4,5.9207e-4,1
0.081395973,0.01,0.2,0.4,5.92517e-4,1
0.082060403,0.01,0.2,0.4,5.9294e-4,1
0.082724832,0.01,0.2,0.4,5.9334e-4,0.98
0.083389262,0.01,0.2,0.4,5.93717e-4,1
0.084053691,0.01,0.2,0.4,5.94074e-4,1
0.084718121,0.01,0.2,0.4,5.9441e-4,1
0.08538255,0.01,0.2,0.4,5.94728e-4,1
0.08604698,0.01,0.2,0.4,5.95028e-4,1
0.086711409,0.01,0.2,0.4,5.95311e-4,1
0.087375839,0.01,0.2,0.4,5.95578e-4,1
0.088040268,0.01,0.2,0.4,5.95831e-4,1
0.088704698,0.01,0.2,0.4,5.96069e-4,1
0.089369128,0.01,0.2,0.4,5.96293e-4,1
0.090033557,0.01,0.2,0.4,5.96506e-4,1
0.090697987,0.01,0.2,0.4,5.96706e-4,1
0.091362416,0.01,0.2,0.4,5.96895e-4,1
0.092026846,0.01,0.2,0.4,5.97073e-4,1
0.092691275,0.01,0.2,0.4,5.97241e-4,1
0.093355705,0.01,0.2,0.4,5.974e-4,1
0.094020134,0.01,0.2,0.4,5.97549e-4,1
0.094684564,0.01,0.2,0.4,5.9769e-4,1
0.095348993,0.01,0.2,0.4,5.97823e-4,1
0.096013423,0.01,0.2,0.4,5.97949e-4,1
0.096677852,0.01,0.2,0.4,5.98067e-4,1
0.097342282,0.01,0.2,0.4,5.98179e-4,1
0.098006711,0.01,0.2,0.4,5.98284e-4,1
0.098671141,0.01,0.2,0.4,5.98384e-4,1
0.09933557,0.01,0.2,0.4,5.98477e-4,1
0.1,0.01,0.2,0.4,5.98565e-4,1
0.12,0.01,0.2,0.4,5.99767e-4,1
0.128888889,0.01,0.2,0.4,5.99897e-4,1
0.137777778,0.01,0.2,0.4,5.99955e-4,1
0.146666667,0.01,0.2,0.4,5.9998e-4,1
0.155555556,0.01,0.2,0.4,5.99991e-4,1
0.164444444,0.01,0.2,0.4,5.99996e-4,1
0.173333333,0.01,0.2,0.4,5.99998e-4,1
0.182222222,0.01,0.2,0.4,5.99999e-4,1
0.191111111,0.01,0.2,0.4,6e-4,1
0.2,0.01,0.2,0.4,6e-4,1
0.208888889,0.01,0.2,0.4,6e-4,1
0.217777778,0.01,0.2,0.4,6e-4,1
0.226666667,0.01,0.2,0.4,6e-4,1
0.235555556,0.01,0.2,0.4,6e-4,1
0.244444444,0.01,0.2,0.4,6e-4,1
0.253333333,0.01,0.2,0.4,6e-4,1
0.262222222,0.01,0.2,0.4,6e-4,1
0.271111111,0.01,0.2,0.4,6e-4,1
0.28,0.01,0.2,0.4,6e-4,1
0.288888889,0.01,0.2,0.4,6e-4,1
0.297777778,0.01,0.2,0.4,6e-4,1
0.306666667,0.01,0.2,0.4,6e-4,1
0.315555556,0.01,0.2,0.4,6e-4,1
0.324444444,0.01,0.2,0.4,6e-4,1
0.333333333,0.01,0.2,0.4,6e-4,1
0.342222222,0.01,0.2,0.4,6e-4,1
0.351111111,0.01,0.2,0.4,6e-4,1
0.36,0.01,0.2,0.4,6e-4,1
0.368888889,0.01,0.2,0.4,6e-4,1
0.377777778,0.01,0.2,0.4,6e-4,1
0.386666667,0.01,0.2,0.4,6e-4,1
0.395555556,0.01,0.2,0.4,6e-4,1
0.404444444,0.01,0.2,0.4,6e-4,1
0.413333333,0.01,0.2,0.4,6e-4,1
0.422222222,0.01,0.2,0.4,6e-4,1
0.431111111,0.01,0.2,0.4,6e-4,1
0.44,0.01,0.2,0.4,6e-4,1
0.448888889,0.01,0.2,0.4,6e-4,1
0.457777778,0.01,0.2,0.4,6e-4,1
0.466666667,0.01,0.2,0.4,6e-4,1
0.475555556,0.01,0.2,0.4,6e-4,1
0.484444444,0.01,0.2,0.4,6e-4,1
0.493333333,0.01,0.2,0.4,6e-4,1
0.502222222,0.01,0.2,0.4,6e-4,1
0.511111111,0.01,0.2,0.4,6e-4,1
0.52,0.01,0.2,0.4,6e-4,1
0.528888889,0.01,0.2,0.4,6e-4,1
0.537777778,0.01,0.2,0.4,6e-4,1
0.546666667,0.01,0.2,0.4,6e-4,1
0.555555556,0.01,0.2,0.4,6e-4,1
0.564444444,0.01,0.2,0.4,6e-4,1
0.573333333,0.01,0.2,0.4,6e-4,1
0.582222222,0.01,0.2,0.4,6e-4,1
0.591111111,0.01,0.2,0.4,6e-4,1
0.6,0.01,0.2,0.4,6e-4,1
0.608888889,0.01,0.2,0.4,6e-4,1
0.617777778,0.01,0.2,0.4,6e-4,1
0.626666667,0.01,0.2,0.4,6e-4,1
0.635555556,0.01,0.2,0.4,6e-4,1
0.644444444,0.01,0.2,0.4,6e-4,1
0.653333333,0.01,0.2,0.4,6e-4,1
0.662222222,0.01,0.2,0.4,6e-4,1
0.671111111,0.01,0.2,0.4,6e-4,1
0.68,0.01,0.2,0.4,6e-4,1
0.688888889,0.01,0.2,0.4,6e-4,1
0.697777778,0.01,0.2,0.4,6e-4,1
0.706666667,0.01,0.2,0.4,6e-4,1
0.715555556,0.01,0.2,0.4,6e-4,1
0.724444444,0.01,0.2,0.4,6e-4,1
0.733333333,0.01,0.2,0.4,6e-4,1
0.742222222,0.01,0.2,0.4,6e-4,1
0.751111111,0.01,0.2,0.4,6e-4,1
0.76,0.01,0.2,0.4,6e-4,1
0.768888889,0.01,0.2,0.4,6e-4,1
0.777777778,0.01,0.2,0.4,6e-4,1
0.786666667,0.01,0.2,0.4,6e-4,1
0.795555556,0.01,0.2,0.4,6e-4,1
0.804444444,0.01,0.2,0.4,6e-4,1
0.813333333,0.01,0.2,0.4,6e-4,1
0.822222222,0.01,0.2,0.4,6e-4,1
0.831111111,0.01,0.2,0.4,6e-4,1
0.84,0.01,0.2,0.4,6e-4,1
0.848888889,0.01,0.2,0.4,6e-4,1
0.857777778,0.01,0.2,0.4,6e-4,1
0.866666667,0.01,0.2,0.4,6e-4,1
0.875555556,0.01,0.2,0.4,6e-4,1
0.884444444,0.01,0.2,0.4,6e-4,1
0.893333333,0.01,0.2,0.4,6e-4,1
0.902222222,0.01,0.2,0.4,6e-4,1
0.911111111,0.01,0.2,0.4,6e-4,1
0.92,0.01,0.2,0.4,6e-4,1
0.928888889,0.01,0.2,0.4,6e-4,1
0.937777778,0.01,0.2,0.4,6e-4,1
0.946666667,0.01,0.2,0.4,6e-4,1
0.955555556,0.01,0.2,0.4,6e-4,1
0.964444444,0.01,0.2,0.4,6e-4,1
0.973333333,0.01,0.2,0.4,6e-4,1
0.982222222,0.01,0.2,0.4,6e-4,1
0.991111111,0.01,0.2,0.4,6e-4,1
1,0.01,0.2,0.4,6e-4,1
