a,sigma,k,u_hat,delta,p_increase
1e-4,0.01,0.2,0.4,-1.59e-5,0
0.001614141,0.01,0.2,0.4,-2.23254e-4,0
0.003128283,0.01,0.2,0.4,-3.74504e-4,0
0.004642424,0.01,0.2,0.4,-4.77557e-4,0
0.006156566,0.01,0.2,0.4,-5.40213e-4,0
0.007670707,0.01,0.2,0.4,-5.6975e-4,0
0.009184848,0.01,0.2,0.4,-5.72734e-4,0
0.01069899,0.01,0.2,0.4,-5.5493e-4,0
0.012213131,0.01,0.2,0.4,-5.213e-4,0
0.013727273,0.01,0.2,0.4,-4.76036e-4,0
0.015241414,0.01,0.2,0.4,-4.22622e-4,0
0.016755556,0.01,0.2,0.4,-3.63911e-4,0
0.018269697,0.01,0.2,0.4,-3.02201e-4,0
0.019783838,0.01,0.2,0.4,-2.39314e-4,0
0.02129798,0.01,0.2,0.4,-1.76665e-4,0
0.022812121,0.01,0.2,0.4,-1.1533e-4,0
0.024326263,0.01,0.2,0.4,-5.61e-5,0
0.025840404,0.01,0.2,0.4,4.49e-7,0
0.027354545,0.01,0.2,0.4,5.39e-5,0
0.028868687,0.01,0.2,0.4,1.0417e-4,0
0.030382828,0.01,0.2,0.4,1.50997e-4,0
0.03189697,0.01,0.2,0.4,1.94408e-4,0
0.033411111,0.01,0.2,0.4,2.34451e-4,0
0.034925253,0.01,0.2,0.4,2.71223e-4,0
0.036439394,0.01,0.2,0.4,3.04861e-4,0
0.037953535,0.01,0.2,0.4,3.35524e-4,0
0.039467677,0.01,0.2,0.4,3.63386e-4,0
0.040981818,0.01,0.2,0.4,3.88633e-4,0
0.04249596,0.01,0.2,0.4,4.11451e-4,0
0.044010101,0.01,0.2,0.4,4.32025e-4,0
0.045524242,0.01,0.2,0.4,4.50538e-4,0
0.047038384,0.01,0.2,0.4,4.67162e-4,0
0.048552525,0.01,0.2,0.4,4.82063e-4,0
0.050066667,0.01,0.2,0.4,4.95399e-4,0
0.051580808,0.01,0.2,0.4,5.07314e-4,0
0.053094949,0.01,0.2,0.4,5.17946e-4,0
0.054609091,0.01,0.2,0.4,5.27419e-4,0
0.056123232,0.01,0.2,0.4,5.3585e-4,0
0.057637374,0.01,0.2,0.4,5.43344e-4,0
0.059151515,0.01,0.2,0.4,5.49998e-4,0
0.060665657,0.01,0.2,0.4,5.55901e-4,0.02
0.062179798,0.01,0.2,0.4,5.61132e-4,0.02
0.063693939,0.01,0.2,0.4,5.65764e-4,0.04
0.065208081,0.01,0.2,0.4,5.69861e-4,0.14
0.066722222,0.01,0.2,0.4,5.73483e-4,0.28
0.068236364,0.01,0.2,0.4,5.76682e-4,0.46
0.069750505,0.01,0.2,0.4,5.79506e-4,0.6
0.071264646,0.01,0.2,0.4,5.81996e-4,0.64
0.072778788,0.01,0.2,0.4,5.84191e-4,0.76
0.074292929,0.01,0.2,0.4,5.86125e-4,0.88
0.075807071,0.01,0.2,0.4,5.87827e-4,0.96
0.077321212,0.01,0.2,0.4,5.89325e-4,0.94
0.078835354,0.01,0.2,0.4,5.90642e-4,0.98
0.080349495,0.01,0.2,0.4,5.918e-4,1
0.081863636,0.01,0.2,0.4,5.92818e-4,1
0.083377778,0.01,0.2,0.4,5.93711e-4,1
0.084891919,0.01,0.2,0.4,5.94495e-4,1
0.086406061,0.01,0.2,0.4,5.95183e-4,1
0.087920202,0.01,0.2,0.4,5.95786e-4,1
0.089434343,0.01,0.2,0.4,5.96315e-4,1
0.090948485,0.01,0.2,0.4,5.96778e-4,1
0.092462626,0.01,0.2,0.4,5.97184e-4,1
0.093976768,0.01,0.2,0.4,5.9754e-4,1
0.095490909,0.01,0.2,0.4,5.97851e-4,1
0.097005051,0.01,0.2,0.4,5.98123e-4,1
0.098519192,0.01,0.2,0.4,5.98361e-4,1
0.100033333,0.01,0.2,0.4,5.9857e-4,1
0.101547475,0.01,0.2,0.4,5.98752e-4,1
0.103061616,0.01,0.2,0.4,5.98911e-4,1
0.104575758,0.01,0.2,0.4,5.9905e-4,1
0.106089899,0.01,0.2,0.4,5.99172e-4,1
0.10760404,0.01,0.2,0.4,5.99278e-4,1
0.109118182,0.01,0.2,0.4,5.9937e-4,1
0.110632323,0.01,0.2,0.4,5.99451e-4,1
0.112146465,0.01,0.2,0.4,5.99522e-4,1
0.113660606,0.01,0.2,0.4,5.99583e-4,1
0.115174747,0.01,0.2,0.4,5.99637e-4,1
0.116688889,0.01,0.2,0.4,5.99684e-4,1
0.11820303,0.01,0.2,0.4,5.99725e-4,1
0.119717172,0.01,0.2,0.4,5.9976e-4,1
0.121231313,0.01,0.2,0.4,5.99791e-4,1
0.122745455,0.01,0.2,0.4,5.99818e-4,1
0.124259596,0.01,0.2,0.4,5.99842e-4,1
0.125773737,0.01,0.2,0.4,5.99863e-4,1
0.127287879,0.01,0.2,0.4,5.9988e-4,1
0.12880202,0.01,0.2,0.4,5.99896e-4,1
0.130316162,0.01,0.2,0.4,5.9991e-4,1
0.131830303,0.01,0.2,0.4,5.99921e-4,1
0.133344444,0.01,0.2,0.4,5.99932e-4,1
0.134858586,0.01,0.2,0.4,5.99941e-4,1
0.136372727,0.01,0.2,0.4,5.99948e-4,1
0.137886869,0.01,0.2,0.4,5.99955e-4,1
0.13940101,0.01,0.2,0.4,5.99961e-4,1
0.140915152,0.01,0.2,0.4,5.99966e-4,1
0.142429293,0.01,0.2,0.4,5.99971e-4,1
0.143943434,0.01,0.2,0.4,5.99974e-4,1
0.145457576,0.01,0.2,0.4,5.99978e-4,1
0.146971717,0.01,0.2,0.4,5.99981e-4,1
0.148485859,0.01,0.2,0.4,5.99983e-4,1
0.15,0.01,0.2,0.4,5.99985e-4,1
0.17,0.01,0.2,0.4,5.99998e-4,1
0.186938776,0.01,0.2,0.4,6e-4,1
0.203877551,0.01,0.2,0.4,6e-4,1
0.220816327,0.01,0.2,0.4,6e-4,1
0.237755102,0.01,0.2,0.4,6e-4,1
0.254693878,0.01,0.2,0.4,6e-4,1
0.271632653,0.01,0.2,0.4,6e-4,1
0.288571429,0.01,0.2,0.4,6e-4,1
0.305510204,0.01,0.2,0.4,6e-4,1
0.32244898,0.01,0.2,0.4,6e-4,1
0.339387755,0.01,0.2,0.4,6e-4,1
0.356326531,0.01,0.2,0.4,6e-4,1
0.373265306,0.01,0.2,0.4,6e-4,1
0.390204082,0.01,0.2,0.4,6e-4,1
0.407142857,0.01,0.2,0.4,6e-4,1
0.424081633,0.01,0.2,0.4,6e-4,1
0.441020408,0.01,0.2,0.4,6e-4,1
0.457959184,0.01,0.2,0.4,6e-4,1
0.474897959,0.01,0.2,0.4,6e-4,1
0.491836735,0.01,0.2,0.4,6e-4,1
0.50877551,0.01,0.2,0.4,6e-4,1
0.525714286,0.01,0.2,0.4,6e-4,1
0.542653061,0.01,0.2,0.4,6e-4,1
0.559591837,0.01,0.2,0.4,6e-4,1
0.576530612,0.01,0.2,0.4,6e-4,1
0.593469388,0.01,0.2,0.4,6e-4,1
0.610408163,0.01,0.2,0.4,6e-4,1
0.627346939,0.01,0.2,0.4,6e-4,1
0.644285714,0.01,0.2,0.4,6e-4,1
0.66122449,0.01,0.2,0.4,6e-4,1
0.678163265,0.01,0.2,0.4,6e-4,1
0.695102041,0.01,0.2,0.4,6e-4,1
0.712040816,0.01,0.2,0.4,6e-4,1
0.728979592,0.01,0.2,0.4,6e-4,1
0.745918367,0.01,0.2,0.4,6e-4,1
0.762857143,0.01,0.2,0.4,6e-4,1
0.779795918,0.01,0.2,0.4,6e-4,1
0.796734694,0.01,0.2,0.4,6e-4,1
0.813673469,0.01,0.2,0.4,6e-4,1
0.830612245,0.01,0.2,0.4,6e-4,1
0.84755102,0.01,0.2,0.4,6e-4,1
0.864489796,0.01,0.2,0.4,6e-4,1
0.881428571,0.01,0.2,0.4,6e-4,1
0.898367347,0.01,0.2,0.4,6e-4,1
0.91530612200000006,0.01,0.2,0.4,6e-4,1
0.932244898,0.01,0.2,0.4,6e-4,1
0.949183673,0.01,0.2,0.4,6e-4,1
0.966122449,0.01,0.2,0.4,6e-4,1
0.983061224,0.01,0.2,0.4,6e-4,1
1,0.01,0.2,0.4,6e-4,1
