a,change
0.001859297,3
0.001859297,-8
0.001859297,26
0.001859297,-11
0.001859297,17
0.001859297,-33
0.001859297,28
0.001859297,25
0.001859297,30
0.001859297,-1
0.001859297,16
0.001859297,27
0.001859297,-15
0.001859297,45
0.001859297,20
0.001859297,13
0.001859297,46
0.001859297,3
0.001859297,30
0.001859297,-15
0.001859297,1
0.001859297,-1
0.001859297,24
0.001859297,2
0.001859297,-4
0.001859297,31
0.001859297,29
0.001859297,7
0.001859297,26
0.001859297,21
0.001859297,-29
0.001859297,-3
0.001859297,33
0.001859297,-1
0.001859297,6
0.001859297,-2
0.001859297,24
0.001859297,18
0.001859297,-32
0.001859297,44
0.001859297,-1
0.001859297,-6
0.001859297,19
0.001859297,40
0.001859297,7
0.001859297,19
0.001859297,-40
0.001859297,24
0.001859297,40
0.001859297,-15
0.001859297,6
0.001859297,31
0.001859297,6
0.001859297,-4
0.001859297,-4
0.001859297,30
0.001859297,-19
0.001859297,-1
0.001859297,-17
0.001859297,-9
0.001859297,-1
0.001859297,10
0.001859297,-24
0.001859297,4
0.001859297,15
0.002311558,31
0.002311558,23
0.002311558,27
0.002311558,25
0.002311558,61
0.002311558,13
0.002311558,-12
0.002311558,-1
0.002311558,50
0.002311558,16
0.002311558,27
0.002311558,-1
0.002311558,12
0.002311558,-11
0.002311558,-26
0.002311558,-40
0.002311558,17
0.002311558,12
0.002311558,5
0.002311558,9
0.002311558,-11
0.002311558,-16
0.002311558,18
0.002311558,33
0.002311558,-14
0.002311558,10
0.002311558,34
0.002311558,37
0.002311558,-10
0.002311558,9
0.002311558,1
0.002311558,25
0.002311558,-3
0.002311558,-6
0.002311558,9
0.002311558,27
0.002311558,-5
0.002311558,13
0.002311558,18
0.002311558,5
0.002311558,9
0.002311558,28
0.002311558,3
0.002311558,21
0.002311558,27
0.002311558,24
0.002311558,4
0.002311558,49
0.002311558,2
0.002311558,8
0.002311558,23
0.002311558,9
0.002311558,-7
0.002311558,4
0.002311558,11
0.002311558,31
0.002311558,16
0.002311558,21
0.002311558,2
0.002311558,33
0.002311558,-13
0.002311558,-2
0.002311558,19
0.002311558,-10
0.002311558,-15
0.002311558,51
0.002311558,10
0.002311558,-12
0.002311558,12
0.002311558,-11
0.002311558,38
0.002311558,23
0.002311558,-11
0.002311558,7
0.002311558,14
0.002311558,17
0.002311558,-8
0.002311558,29
0.002311558,1
0.002311558,32
0.002311558,-3
0.002311558,33
0.002311558,3
0.002311558,-23
0.002311558,14
0.002311558,-6
0.002311558,24
0.002311558,-5
0.002311558,21
0.002311558,9
0.002311558,11
0.002311558,11
0.002311558,29
0.002311558,5
0.002311558,22
0.002311558,20
0.002311558,43
0.002311558,-25
0.002311558,21
0.002311558,-29
0.002763819,47
0.002763819,22
0.002763819,-19
0.002763819,1
0.002763819,16
0.002763819,3
0.002763819,7
0.002763819,10
0.002763819,-3
0.002763819,35
0.002763819,1
0.002763819,0
0.002763819,18
0.002763819,-12
0.002763819,-16
0.002763819,28
0.002763819,-3
0.002763819,-2
0.002763819,-15
0.002763819,25
0.002763819,27
0.002763819,21
0.002763819,6
0.002763819,21
0.002763819,28
0.002763819,21
0.002763819,-7
0.002763819,6
0.002763819,9
0.002763819,17
0.002763819,-35
0.002763819,52
0.002763819,-12
0.002763819,30
0.002763819,24
0.002763819,-9
0.002763819,9
0.002763819,-6
0.002763819,13
0.002763819,41
0.002763819,21
0.002763819,1
0.002763819,22
0.002763819,42
0.002763819,18
0.002763819,-7
0.002763819,23
0.002763819,60
0.002763819,-8
0.002763819,25
0.002763819,-4
0.002763819,30
0.002763819,-14
0.002763819,31
0.002763819,-9
0.002763819,8
0.002763819,8
0.002763819,-6
0.002763819,36
0.002763819,-27
0.002763819,2
0.002763819,-21
0.002763819,18
0.002763819,2
0.002763819,-1
0.002763819,28
0.002763819,44
0.002763819,-14
0.002763819,-1
0.002763819,-14
0.002763819,20
0.002763819,-11
0.002763819,30
0.002763819,33
0.002763819,51
0.002763819,44
0.002763819,9
0.002763819,14
0.002763819,28
0.002763819,-13
0.002763819,13
0.002763819,30
0.002763819,12
0.002763819,4
0.002763819,90
0.002763819,-10
0.002763819,36
0.002763819,7
0.002763819,32
0.002763819,-7
0.002763819,36
0.002763819,65
0.002763819,-9
0.002763819,35
0.002763819,-14
0.002763819,6
0.002763819,43
0.002763819,-26
0.002763819,-13
0.002763819,62
0.003216081,52
0.003216081,20
0.003216081,-6
0.003216081,15
0.003216081,14
0.003216081,7
0.003216081,23
0.003216081,29
0.003216081,-30
0.003216081,27
0.003216081,-30
0.003216081,4
0.003216081,6
0.003216081,6
0.003216081,6
0.003216081,82
0.003216081,32
0.003216081,-24
0.003216081,31
0.003216081,53
0.003216081,4
0.003216081,20
0.003216081,-5
0.003216081,23
0.003216081,-32
0.003216081,0
0.003216081,20
0.003216081,62
0.003216081,23
0.003216081,38
0.003216081,51
0.003216081,-24
0.003216081,33
0.003216081,32
0.003216081,36
0.003216081,-4
0.003216081,42
0.003216081,12
0.003216081,47
0.003216081,56
0.003216081,-23
0.003216081,-6
0.003216081,-22
0.003216081,5
0.003216081,9
0.003216081,37
0.003216081,14
0.003216081,33
0.003216081,24
0.003216081,54
0.003216081,57
0.003216081,26
0.003216081,43
0.003216081,28
0.003216081,52
0.003216081,46
0.003216081,12
0.003216081,41
0.003216081,9
0.003216081,24
0.003216081,31
0.003216081,29
0.003216081,1
0.003216081,24
0.003216081,43
0.003216081,-2
0.003216081,3
0.003216081,27
0.003216081,22
0.003216081,29
0.003216081,11
0.003216081,40
0.003216081,1
0.003216081,33
0.003216081,13
0.003216081,21
0.003216081,51
0.003216081,26
0.003216081,23
0.003216081,9
0.003216081,-8
0.003216081,14
0.003216081,15
0.003216081,16
0.003216081,0
0.003216081,1
0.003216081,6
0.003216081,-6
0.003216081,10
0.003216081,20
0.003216081,-27
0.003216081,8
0.003216081,34
0.003216081,29
0.003216081,22
0.003216081,10
0.003216081,-14
0.003216081,24
0.003216081,2
0.003216081,16
0.0036683419999999998,54
0.0036683419999999998,54
0.0036683419999999998,-15
