a,sigma,k,u_hat,delta,outcome
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.015,0.01,0.2,0.05,0.00096558,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.02,0.01,0.2,0.05,0.001395999,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
0.04,0.01,0.2,0.05,0.002382804,increase
