a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.0739,0,-1,2004,0,4008,2164.32,27730
0.0739,0,0,1700,734,4134,2144.28,26467
0.0739,0,1,1551,968,4070,2081.64,25888
0.0739,0,2,1522,1099,4143,2105.34,25788
0.0739,0,3,1406,1178,3990,2013.24,25336
0.0739,0,4,1348,1270,3966,1989.24,25404
0.0739,0,5,1361,1360,4082,2041.08,24880
0.0739,0,6,1418,1459,4295,2144.22,24953
0.0739,0,7,1386,1466,4238,2112.6,25076
0.0739,0,8,1252,1519,4023,1990.14,24830
0.0739,0,9,1338,1519,4195,2083.02,24903
0.0739,0,10,1466,1493,4425,2210.34,24892
0.0739,0,11,1372,1646,4390,2173.08,24947
0.0739,0,12,1451,1682,4584,2273.52,25334
0.0739,0,13,1516,1679,4711,2342.46,25309
0.0739,0,14,1449,1717,4615,2286.06,24680
0.0739,0,15,1446,1759,4651,2300.46,25332
0.0739,0,16,1587,1709,4883,2431.74,25235
0.0739,0,17,1494,1692,4680,2324.16,25002
0.0739,0,18,1650,1664,4964,2480.88,25047
0.0739,0,19,1716,1714,5146,2573.16,25150
0.0739,0,20,1875,1742,5492,2756.64,25432
0.0739,0,21,1778,1753,5309,2656.5,25139
0.0739,0,22,1786,1838,5410,2700.84,25366
0.0739,0,23,1875,1745,5495,2757.9,25433
0.0739,0,24,1914,1777,5605,2813.46,24908
0.0739,0,25,2039,1710,5788,2920.32,24675
0.0739,0,26,2130,1633,5893,2986.26,25327
0.0739,0,27,2131,1780,6042,3049.08,25445
0.0739,0,28,2124,1743,5991,3025.98,25713
0.0739,0,29,2170,1650,5990,3036.6,25919
0.0739,0,30,2278,1672,6228,3162.48,26011
0.0739,0,31,2276,1740,6292,3188.88,25973
0.0739,0,32,2213,1818,6244,3153.6,25614
0.0739,0,33,2308,1771,6387,3236.46,25277
0.0739,0,34,2409,1783,6601,3350.58,25646
0.0739,0,35,2294,1854,6442,3256.2,24998
0.0739,0,36,2331,1760,6422,3256.68,25282
0.0739,0,37,2384,1790,6558,3326.52,25274
